StockName,precision_0,precision_1,precision_accuracy,precision_macro avg,precision_weighted avg,recall_0,recall_1,recall_accuracy,recall_macro avg,recall_weighted avg,f1-score_0,f1-score_1,f1-score_accuracy,f1-score_macro avg,f1-score_weighted avg,support_0,support_1,support_accuracy,support_macro avg,support_weighted avg,Matthew,MAE,MSE,RMSE,10F-Score-mean,10F-Score-std
1210,0.5032258064516129,0.5928571428571429,0.5457627118644067,0.5480414746543778,0.551839412637663,0.5777777777777777,0.51875,0.5457627118644067,0.5482638888888889,0.5457627118644067,0.5379310344827586,0.5533333333333335,0.5457627118644067,0.545632183908046,0.5462848236898501,135.0,160.0,0.5457627118644067,295.0,295.0,0.0963051067135542,5.669223282249018,47.27116271910899,6.875402731412102,-2.3521997600330002,4.619521690556816
1231,0.4253731343283582,0.7391304347826086,0.5966101694915255,0.5822517845554834,0.6338356119183007,0.5757575757575758,0.6071428571428571,0.5966101694915255,0.5914502164502164,0.5966101694915255,0.4892703862660945,0.6666666666666666,0.5966101694915255,0.5779685264663805,0.6071336776508814,99.0,196.0,0.5966101694915255,295.0,295.0,0.17345827741581585,9.174544707195789,145.83654827039055,12.076280398797907,-4.745289153301108,12.588755785886026
2344,0.5620437956204379,0.7848101265822784,0.6813559322033899,0.6734269611013581,0.70098957493223,0.6936936936936937,0.6739130434782609,0.6813559322033899,0.6838033685859772,0.6813559322033899,0.6209677419354839,0.7251461988304092,0.6813559322033899,0.6730569703829465,0.6859468472529967,111.0,184.0,0.6813559322033899,295.0,295.0,0.35707959703158,2.2784702459488084,10.638795997816835,3.2617167255629105,-1.7101141806365923,4.984897878585058
2449,0.45901639344262296,0.7456647398843931,0.6271186440677966,0.602340566663508,0.648495808887183,0.56,0.6615384615384615,0.6271186440677966,0.6107692307692307,0.6271186440677966,0.5045045045045045,0.7010869565217391,0.6271186440677966,0.6027957305131217,0.6344488371938629,100.0,195.0,0.6271186440677966,295.0,295.0,0.21294305197215488,3.562704387834397,20.835461538419842,4.564587773109401,-0.4552614472451406,0.9562194427833227
2603,0.3263888888888889,0.6821192052980133,0.5084745762711864,0.5042540470934511,0.5675619847594817,0.49473684210526314,0.515,0.5084745762711864,0.5048684210526315,0.5084745762711864,0.39330543933054396,0.586894586894587,0.5084745762711864,0.49010001311256546,0.5245523190349799,95.0,200.0,0.5084745762711864,295.0,295.0,0.009101756408219978,57.383824418958795,5686.324574870482,75.40772224958451,-0.08258633295640253,0.09015835224572478
2633,0.6451612903225806,0.5846153846153846,0.6141732283464567,0.6148883374689826,0.6165569254215433,0.5970149253731343,0.6333333333333333,0.6141732283464567,0.6151741293532338,0.6141732283464567,0.6201550387596899,0.608,0.6141732283464567,0.6140775193798449,0.614412500762986,67.0,60.0,0.6141732283464567,127.0,127.0,0.23006228931166087,0.15914344539268066,0.03672517175246275,0.1916381270845203,-2.3847229318151526,4.687530090327346
3596,0.5878378378378378,0.7074829931972789,0.6474576271186441,0.6476604155175584,0.6547580094795591,0.6692307692307692,0.6303030303030303,0.6474576271186441,0.6497668997668997,0.6474576271186441,0.6258992805755396,0.6666666666666666,0.6474576271186441,0.6462829736211031,0.6487013778807463,130.0,165.0,0.6474576271186441,295.0,295.0,0.2974198557618972,3.3492593795460435,28.93267988854135,5.378910660026001,-1.713742603165055,2.7312276892141685
1215,0.5255474452554745,0.7088607594936709,0.6237288135593221,0.6172041023745727,0.6355354337983923,0.6101694915254238,0.632768361581921,0.6237288135593221,0.6214689265536724,0.6237288135593221,0.5647058823529413,0.6686567164179105,0.6237288135593221,0.6166812993854258,0.6270763827919228,118.0,177.0,0.6237288135593221,295.0,295.0,0.238634922030503,3.342176460638012,16.18622749894213,4.023211093012909,-0.7753695749635784,0.8954196187540351
1232,0.4878048780487805,0.6030534351145038,0.5389830508474577,0.5454291565816421,0.5514845892410276,0.6060606060606061,0.48466257668711654,0.5389830508474577,0.5453615913738613,0.5389830508474577,0.5405405405405406,0.5374149659863945,0.5389830508474577,0.5389777532634675,0.538813528159775,132.0,163.0,0.5389830508474577,295.0,295.0,0.09079072281495755,20.643938901856796,632.3420010382935,25.146411295417355,-7.189390688890562,12.53407485013188
2345,0.5804195804195804,0.5328947368421053,0.5559322033898305,0.5566571586308429,0.557704316201194,0.538961038961039,0.574468085106383,0.5559322033898305,0.5567145620337111,0.5559322033898305,0.558922558922559,0.5529010238907851,0.5559322033898305,0.555911791406672,0.5560444692972026,154.0,141.0,0.5559322033898305,295.0,295.0,0.11337170613204582,33.862096823302444,1716.6656313790702,41.432663821905905,-191.8373078841243,540.5492372191397
2454,0.40425531914893614,0.6493506493506493,0.5322033898305085,0.5268029842497928,0.5571283386645809,0.5135135135135135,0.5434782608695652,0.5322033898305085,0.5284958871915393,0.5322033898305085,0.4523809523809524,0.591715976331361,0.5322033898305085,0.5220484643561567,0.5392882215568005,111.0,184.0,0.5322033898305085,295.0,295.0,0.05527295235750306,201.114415913933,51631.60241635757,227.2258841249332,-194.41519423039364,513.1113824235098
