date,real_close,predict_close,Prediction_Result
109/12/07,109.05,110.174805,0.0
109/12/08,109.05,110.11532,0.0
109/12/09,109.0,110.066635,0.0
109/12/10,108.9,109.9809,0.0
109/12/11,108.8,109.86448,0.0
109/12/14,108.8,109.74825,0.0
109/12/15,108.8,109.66528,0.0
109/12/16,108.85,109.63388,1.0
109/12/17,108.95,109.65322,1.0
109/12/18,108.95,109.72345,1.0
109/12/21,109.05,109.84072,1.0
109/12/22,109.0,109.99333,1.0
109/12/23,109.0,110.1177,1.0
109/12/24,108.95,110.17666,0.0
109/12/25,108.95,110.16704,0.0
109/12/28,109.05,110.12737,0.0
109/12/29,109.05,110.10554,0.0
109/12/30,109.1,110.09774,1.0
109/12/31,109.05,110.12887,1.0
110/01/04,109.0,110.19185,1.0
110/01/05,109.0,110.24715,1.0
110/01/06,109.05,110.28795,1.0
110/01/07,109.1,110.305756,0.0
110/01/08,109.3,110.301834,1.0
110/01/11,109.55,110.33085,1.0
110/01/12,109.7,110.44416,1.0
110/01/13,109.95,110.66068,1.0
110/01/14,110.15,110.93604,1.0
110/01/15,110.35,111.24251,1.0
110/01/18,110.55,111.51483,1.0
110/01/19,110.7,111.71292,1.0
110/01/20,110.65,111.84444,0.0
110/01/21,110.6,111.83491,0.0
110/01/22,110.45,111.68518,0.0
110/01/25,110.25,111.43497,0.0
110/01/26,110.0,111.14482,0.0
110/01/27,109.75,110.857346,0.0
110/01/28,109.45,110.60759,0.0
110/01/29,109.15,110.37741,0.0
110/02/01,108.95,110.128365,0.0
110/02/02,108.75,109.93005,0.0
110/02/03,108.75,109.78035,0.0
110/02/04,108.7,109.65032,0.0
110/02/05,108.7,109.52303,0.0
110/02/17,108.65,109.45412,0.0
110/02/18,108.65,109.45332,1.0
110/02/19,108.65,109.47453,1.0
110/02/22,108.6,109.51334,1.0
110/02/23,108.75,109.54176,1.0
110/02/24,108.8,109.609856,1.0
110/02/25,108.95,109.756966,1.0
110/02/26,109.0,109.98678,1.0
110/03/02,109.15,110.22911,1.0
110/03/03,109.25,110.44518,1.0
110/03/04,109.35,110.62826,1.0
110/03/05,109.5,110.765396,1.0
110/03/08,109.6,110.845825,1.0
110/03/09,109.8,110.908035,1.0
110/03/10,109.9,110.98202,1.0
110/03/11,110.05,111.061104,1.0
110/03/12,110.1,111.138435,1.0
110/03/15,110.2,111.22977,1.0
110/03/16,110.3,111.2876,1.0
110/03/17,110.4,111.342224,1.0
110/03/18,110.55,111.39077,1.0
110/03/19,110.55,111.45663,1.0
110/03/22,110.6,111.463936,0.0
110/03/23,110.65,111.44962,1.0
110/03/24,110.7,111.45209,1.0
110/03/25,110.75,111.47222,1.0
110/03/26,110.8,111.51316,1.0
110/03/29,110.95,111.58899,1.0
