date,real_close,predict_close,Prediction_Result
109/12/04,61.05,61.153435,0.0
109/12/07,61.06,61.050644,0.0
109/12/08,61.07000000000001,61.023293,0.0
109/12/09,61.07000000000001,60.99861,0.0
109/12/10,61.05,60.996155,1.0
109/12/11,61.019999999999996,61.010998,1.0
109/12/14,60.89,61.02126,0.0
109/12/15,60.85,61.008797,0.0
109/12/16,60.910000000000004,60.972565,1.0
109/12/17,61.0,61.001225,1.0
109/12/18,60.980000000000004,61.06023,1.0
109/12/21,61.0,61.065876,1.0
109/12/22,61.029999999999994,61.106884,1.0
109/12/23,61.05,61.15006,1.0
109/12/24,61.02,61.15669,0.0
109/12/25,61.010000000000005,61.12205,0.0
109/12/28,61.06999999999999,61.061066,0.0
109/12/29,61.13000000000001,61.04319,1.0
109/12/30,61.19,61.07241,1.0
109/12/31,61.169999999999995,61.18113,1.0
110/01/04,61.23,61.27951,1.0
110/01/05,61.21999999999999,61.314606,1.0
110/01/06,61.24000000000001,61.32384,0.0
110/01/07,61.260000000000005,61.30634,0.0
110/01/08,61.39,61.29686,1.0
110/01/11,61.510000000000005,61.35135,1.0
110/01/12,61.580000000000005,61.44819,1.0
110/01/13,61.71999999999999,61.580463,1.0
110/01/14,61.75,61.774807,1.0
110/01/15,61.760000000000005,61.951145,1.0
110/01/18,61.77,62.024284,0.0
110/01/19,61.73,61.99607,0.0
110/01/20,61.629999999999995,61.895626,0.0
110/01/21,61.529999999999994,61.72128,0.0
110/01/22,61.36999999999999,61.51024,0.0
110/01/25,61.25,61.30305,0.0
110/01/26,61.10999999999999,61.140133,0.0
110/01/27,60.86,60.996902,0.0
110/01/28,60.65999999999999,60.845825,0.0
110/01/29,60.529999999999994,60.6838,0.0
110/02/01,60.4,60.492428,0.0
110/02/02,60.31,60.320057,0.0
110/02/03,60.269999999999996,60.182606,0.0
110/02/04,60.23,60.053535,0.0
110/02/05,60.21,59.96327,0.0
110/02/17,60.15999999999999,59.939663,1.0
110/02/18,60.120000000000005,59.986248,1.0
110/02/19,60.089999999999996,60.027733,0.0
110/02/22,60.07000000000001,60.001144,0.0
110/02/23,60.09000000000001,59.977936,1.0
110/02/24,60.17,60.049927,1.0
110/02/25,60.31,60.234207,1.0
110/02/26,60.5,60.495693,1.0
110/03/02,60.7,60.832726,1.0
110/03/03,60.92,61.19776,1.0
110/03/04,61.09000000000001,61.543835,1.0
110/03/05,61.33,61.77346,1.0
110/03/08,61.54,61.932095,1.0
110/03/09,61.83,62.038166,1.0
110/03/10,62.14,62.170242,1.0
110/03/11,62.370000000000005,62.348164,1.0
110/03/12,62.510000000000005,62.550808,1.0
110/03/15,62.59000000000001,62.720387,1.0
110/03/16,62.69000000000001,62.797634,1.0
110/03/17,62.75,62.86074,1.0
110/03/18,62.879999999999995,62.912846,1.0
110/03/19,62.99000000000001,62.966015,1.0
110/03/22,63.07000000000001,63.021133,0.0
110/03/23,63.05,62.99829,0.0
110/03/24,63.029999999999994,62.942142,0.0
110/03/25,63.04,62.916805,0.0
110/03/26,63.06,62.91442,1.0
110/03/29,63.14,62.93201,1.0
110/03/30,63.21999999999999,62.981087,1.0
110/03/31,63.33,63.067123,1.0
110/04/01,63.410000000000004,63.21142,1.0
110/04/06,63.55999999999999,63.383896,1.0
110/04/07,63.81999999999999,63.605194,1.0
110/04/08,64.03,63.879135,1.0
110/04/09,64.24,64.11769,1.0
110/04/12,64.45,64.34054,1.0
110/04/13,64.67999999999999,64.52083,1.0
110/04/14,64.86999999999999,64.67762,1.0
110/04/15,65.05,64.80163,1.0
110/04/16,65.22,64.91739,1.0
110/04/19,65.4,65.02814,1.0
110/04/20,65.54,65.13871,1.0
110/04/21,65.66,65.26443,1.0
110/04/22,65.84,65.40741,1.0
110/04/23,65.98,65.542114,1.0
110/04/26,66.09,65.665504,1.0
110/04/27,66.13,65.761536,1.0
110/04/28,66.11,65.83148,1.0
110/04/29,66.06,65.87032,0.0
110/05/03,65.91999999999999,65.85997,0.0
110/05/04,65.72,65.786545,0.0
110/05/05,65.48999999999998,65.63974,0.0
110/05/06,65.32000000000001,65.467896,0.0
110/05/07,65.22,65.294876,0.0
110/05/10,65.16,65.15868,0.0
110/05/11,65.10999999999999,65.08534,0.0
110/05/12,64.92999999999999,65.07458,0.0
110/05/13,64.75,64.97569,0.0
110/05/14,64.72999999999999,64.84934,0.0
110/05/17,64.71000000000001,64.725006,0.0
110/05/18,64.74,64.56861,0.0
110/05/19,64.71,64.4231,0.0
110/05/20,64.63,64.28763,0.0
110/05/21,64.53,64.17019,0.0
110/05/24,64.35,64.13479,0.0
110/05/25,64.21,64.114746,1.0
110/05/26,64.24,64.130295,1.0
