date,real_close,0
107/12/21,223.5,261.68643
107/12/22,223.0,252.9726
107/12/24,225.0,245.9987
107/12/25,221.0,246.2298
107/12/26,220.0,245.22928
107/12/27,225.0,244.37636
107/12/28,229.5,247.8494
108/01/02,220.5,249.78856
108/01/03,223.5,250.16206
108/01/04,217.0,248.78464
108/01/07,219.0,248.2946
108/01/08,222.0,246.73447
108/01/09,226.0,243.70464
108/01/10,226.0,249.94083
108/01/11,227.5,244.30896
108/01/14,231.5,245.76831
108/01/15,233.0,251.60165
108/01/16,237.0,255.00128
108/01/17,237.0,257.2547
108/01/18,244.0,257.74054
108/01/21,244.5,264.83014
108/01/22,242.0,265.15817
108/01/23,241.0,266.49634
108/01/24,244.5,264.61087
108/01/25,248.0,269.0337
108/01/28,248.5,270.40988
108/01/29,245.5,268.98798
108/01/30,243.0,269.34784
108/02/11,259.5,269.24634
108/02/12,257.5,288.15363
108/02/13,259.0,275.68445
108/02/14,255.5,276.41974
108/02/15,252.0,274.88528
108/02/18,253.5,276.4527
108/02/19,250.0,276.10168
108/02/20,255.5,275.48627
108/02/21,259.0,281.00885
108/02/22,264.0,279.70438
108/02/25,282.5,293.6991
108/02/26,276.5,304.72794
108/02/27,280.0,303.5355
108/03/04,277.0,298.02234
108/03/05,273.0,298.41153
108/03/06,280.0,296.12122
108/03/07,274.0,301.9871
108/03/08,267.5,296.90793
108/03/11,270.0,298.15576
108/03/12,270.5,292.4182
108/03/13,273.0,294.2791
108/03/14,272.5,292.24426
108/03/15,276.0,295.79034
108/03/18,278.0,296.66196
108/03/19,275.5,298.28925
108/03/20,274.5,299.53674
108/03/21,277.5,296.32758
108/03/22,284.0,298.40414
108/03/25,276.5,310.5853
108/03/26,281.0,300.04633
108/03/27,279.5,298.0916
108/03/28,276.5,297.57434
108/03/29,282.5,300.15018
108/04/01,285.5,302.6549
108/04/02,290.5,306.85114
108/04/03,290.5,312.23093
108/04/08,294.5,310.1466
108/04/09,299.5,313.7668
108/04/10,300.0,318.21674
108/04/11,291.5,324.99716
108/04/12,293.5,324.46655
108/04/15,296.5,315.23325
108/04/16,300.0,316.5713
108/04/17,288.5,319.62653
108/04/18,291.0,330.98676
108/04/19,290.0,319.32605
108/04/22,289.0,310.19373
108/04/23,290.0,307.84793
108/04/24,289.5,309.76154
108/04/25,288.0,309.41522
108/04/26,290.0,309.69263
108/04/29,287.5,309.96524
108/04/30,295.5,310.70712
108/05/02,298.0,317.09525
108/05/03,309.0,335.8725
108/05/06,306.0,335.17767
108/05/07,311.0,327.92288
108/05/08,310.0,330.1223
108/05/09,300.0,328.47495
108/05/10,298.5,327.57495
