date,real_close,predict_close,Prediction_Result
109/12/02,490.1,535.6754,1.0
109/12/03,490.8,536.0542,1.0
109/12/04,492.3,536.2637,1.0
109/12/07,494.05,536.744,1.0
109/12/08,497.25,538.002,1.0
109/12/09,500.55,539.8559,1.0
109/12/10,502.85,542.2198,1.0
109/12/11,505.55,543.81537,1.0
109/12/14,508.3,545.0702,1.0
109/12/15,509.7,545.7881,1.0
109/12/16,511.0,546.03424,1.0
109/12/17,512.1,546.4571,1.0
109/12/18,512.8,546.75653,1.0
109/12/21,513.0,546.8404,1.0
109/12/22,511.5,546.91284,0.0
109/12/23,510.4,546.6715,0.0
109/12/24,510.2,546.12787,0.0
109/12/25,509.7,545.59674,0.0
109/12/28,510.4,545.28265,0.0
109/12/29,511.5,545.1706,1.0
109/12/30,512.8,545.2346,1.0
109/12/31,515.0,545.88495,1.0
110/01/04,517.6,547.258,1.0
110/01/05,520.2,549.31793,1.0
110/01/06,524.2,551.82605,1.0
110/01/07,529.8,555.26685,1.0
110/01/08,536.8,559.4511,1.0
110/01/11,544.1,564.8198,1.0
110/01/12,551.7,570.27246,1.0
110/01/13,560.7,575.7118,1.0
110/01/14,567.4,581.39417,1.0
110/01/15,574.5,586.1468,1.0
110/01/18,581.6,591.44226,1.0
110/01/19,590.1,595.8311,1.0
110/01/20,599.9,600.09467,1.0
110/01/21,610.7,604.7808,1.0
110/01/22,617.6,609.99774,1.0
110/01/25,622.5,614.9595,1.0
110/01/26,625.1,618.8142,1.0
110/01/27,626.1,621.3868,1.0
110/01/28,627.0,622.9115,1.0
110/01/29,626.0,623.19666,0.0
110/02/01,626.4,622.9187,0.0
110/02/02,626.9,622.3643,1.0
110/02/03,625.2,622.3823,1.0
110/02/04,620.6,623.0968,1.0
110/02/05,618.9,623.8269,1.0
110/02/17,621.9,624.6961,1.0
110/02/18,626.2,626.37775,1.0
110/02/19,629.9,628.5134,1.0
110/02/22,634.8,630.3806,1.0
110/02/23,639.8,631.9058,1.0
110/02/24,641.2,632.78125,1.0
110/02/25,641.5,632.87415,0.0
110/02/26,639.1,632.751,0.0
110/03/02,637.3,632.0206,0.0
110/03/03,636.3,631.0051,0.0
110/03/04,630.1,630.0067,0.0
110/03/05,624.2,628.5353,0.0
110/03/08,618.8,626.63245,0.0
110/03/09,613.3,624.74854,0.0
110/03/10,608.9,622.4944,0.0
110/03/11,607.3,620.3096,0.0
110/03/12,605.2,618.45795,0.0
110/03/15,605.7,617.16455,0.0
110/03/16,606.1,616.22485,0.0
110/03/17,604.3,615.50555,0.0
110/03/18,604.4,614.6697,0.0
110/03/19,603.4,613.8599,0.0
110/03/22,602.9,612.5887,0.0
110/03/23,602.8,611.09827,0.0
110/03/24,600.7,609.6691,0.0
110/03/25,597.3,607.30286,0.0
110/03/26,594.9,604.9092,0.0
110/03/29,593.7,603.0271,0.0
110/03/30,592.1,601.9757,0.0
110/03/31,590.4,601.41895,0.0
110/04/01,590.4,600.92,1.0
110/04/06,592.3,600.9523,1.0
110/04/07,594.0,601.81946,1.0
110/04/08,595.9,603.0727,1.0
110/04/09,599.3,604.2241,1.0
110/04/12,602.3,605.478,1.0
110/04/13,603.8,606.359,1.0
110/04/14,605.1,606.95776,1.0
110/04/15,607.3,607.445,1.0
110/04/16,609.6,607.9882,1.0
110/04/19,609.7,608.2449,0.0
110/04/20,608.9,608.1842,0.0
110/04/21,607.1,607.73035,0.0
110/04/22,604.9,606.93945,0.0
110/04/23,604.1,605.9914,0.0
110/04/26,604.6,605.1732,0.0
110/04/27,605.1,604.7931,1.0
110/04/28,604.1,604.86816,1.0
110/04/29,602.2,605.0017,1.0
110/05/03,600.0,605.1087,0.0
110/05/04,598.8,604.66376,0.0
110/05/05,597.1,603.8717,0.0
110/05/06,596.6,602.9195,0.0
110/05/07,597.4,601.742,0.0
110/05/10,596.1,601.0163,0.0
110/05/11,592.2,600.2807,0.0
110/05/12,587.2,598.7505,0.0
110/05/13,581.7,596.1154,0.0
110/05/14,577.4,593.18524,0.0
110/05/17,573.5,590.301,0.0
110/05/18,571.6,587.02783,0.0
110/05/19,569.8,584.6818,0.0
110/05/20,567.8,583.1654,0.0
110/05/21,565.2,582.0962,0.0
110/05/24,563.1,581.71924,0.0
110/05/25,564.3,581.38605,1.0
110/05/26,566.8,581.8655,1.0
110/05/27,570.3,583.05884,1.0
110/05/28,573.6,584.3618,1.0
110/05/31,578.4,586.06384,1.0
110/06/01,581.0,588.12024,1.0
110/06/02,583.8,590.3263,1.0
110/06/03,586.7,592.38043,1.0
110/06/04,588.9,594.30133,1.0
110/06/07,591.3,595.5331,1.0
110/06/08,591.9,596.31134,1.0
110/06/09,592.0,596.736,0.0
110/06/10,593.7,596.6021,1.0
110/06/11,594.9,596.6734,1.0
110/06/15,596.1,597.141,1.0
110/06/16,596.8,598.0834,1.0
110/06/17,597.9,599.22723,1.0
110/06/18,598.6,600.17505,1.0
110/06/21,597.4,601.0562,0.0
110/06/22,596.0,601.0526,0.0
110/06/23,596.6,600.45654,0.0
110/06/24,597.0,599.7935,0.0
110/06/25,596.2,599.3519,0.0
110/06/28,595.0,599.0997,0.0
110/06/29,593.6,598.6587,0.0
110/06/30,592.6,598.5101,1.0
110/07/01,591.3,598.6849,1.0
110/07/02,589.8,598.83374,0.0
110/07/05,590.6,598.62537,0.0
110/07/06,592.0,598.4505,0.0
110/07/07,591.9,598.32715,0.0
110/07/08,591.7,598.15967,0.0
110/07/09,591.0,597.8035,0.0
110/07/12,591.3,597.1299,0.0
110/07/13,592.5,597.02026,1.0
110/07/14,594.3,597.55096,1.0
110/07/15,596.4,598.9374,1.0
110/07/16,596.5,600.63135,1.0
110/07/19,595.6,601.26373,0.0
110/07/20,594.5,601.0388,0.0
110/07/21,593.6,600.2759,0.0
110/07/22,593.9,599.2894,0.0
110/07/23,594.0,598.6521,0.0
110/07/26,592.7,597.97754,0.0
110/07/27,590.0,597.23096,0.0
110/07/28,586.6,596.359,0.0
110/07/29,583.5,595.1239,0.0
110/07/30,582.6,594.2433,0.0
110/08/02,583.4,593.30206,0.0
110/08/03,584.7,592.7782,1.0
110/08/04,585.8,592.896,1.0
110/08/05,586.3,593.5835,1.0
110/08/06,586.9,594.4892,1.0
110/08/09,588.4,595.1288,1.0
110/08/10,589.5,595.6448,1.0
110/08/11,590.6,595.9796,1.0
110/08/12,590.9,596.0808,0.0
110/08/13,591.0,595.8913,0.0
110/08/16,590.4,595.3511,0.0
110/08/17,589.0,594.69183,0.0
110/08/18,586.8,593.8252,0.0
110/08/19,583.1,592.4702,0.0
110/08/20,579.2,590.7985,0.0
110/08/23,576.3,588.71106,0.0
110/08/24,574.4,586.8387,0.0
110/08/25,573.9,585.6447,0.0
110/08/26,574.7,585.21533,1.0
110/08/27,576.5,586.30853,1.0
110/08/30,578.6,588.16614,1.0
110/08/31,582.0,590.59357,1.0
110/09/01,585.9,593.3987,1.0
110/09/02,590.7,596.4463,1.0
110/09/03,597.5,599.1916,1.0
110/09/06,604.0,601.84985,1.0
110/09/07,609.1,604.78894,1.0
110/09/08,612.5,607.6826,1.0
110/09/09,615.0,609.9005,1.0
110/09/10,617.3,611.27423,1.0
110/09/13,618.3,612.2416,1.0
110/09/14,618.2,612.78955,1.0
110/09/15,617.6,613.0255,0.0
110/09/16,616.9,612.84204,0.0
110/09/17,614.9,612.20337,0.0
110/09/22,610.4,611.3088,0.0
110/09/23,606.9,609.7225,0.0
110/09/24,604.8,607.9134,0.0
110/09/27,603.1,606.1931,0.0
110/09/28,600.3,604.796,0.0
110/09/29,596.8,603.4908,0.0
110/09/30,593.5,601.6767,0.0
110/10/01,590.2,599.9259,0.0
110/10/04,587.4,597.98157,0.0
110/10/05,584.6,595.95624,0.0
110/10/06,583.1,593.5615,0.0
110/10/07,582.3,591.40204,0.0
110/10/08,580.0,589.9676,0.0
110/10/12,577.3,588.9512,0.0
110/10/13,575.0,587.8895,0.0
110/10/14,574.3,586.9336,0.0
110/10/15,576.3,586.4181,1.0
110/10/18,577.9,587.1203,1.0
110/10/19,580.7,588.751,1.0
110/10/20,583.3,590.6518,1.0
110/10/21,585.8,592.702,1.0
110/10/22,587.8,594.5502,1.0
110/10/25,589.6,596.2079,1.0
110/10/26,592.0,597.1982,1.0
110/10/27,594.8,598.1439,1.0
110/10/28,597.0,598.8474,1.0
110/10/29,596.0,599.1711,1.0
110/11/01,596.0,599.18085,0.0
110/11/02,595.2,598.9942,0.0
110/11/03,594.6,598.79126,0.0
110/11/04,593.7,598.6356,0.0
110/11/05,593.7,598.2066,1.0
110/11/08,594.6,598.2633,1.0
110/11/09,595.8,598.62823,1.0
110/11/10,597.1,599.65466,1.0
110/11/11,598.2,600.9687,1.0
110/11/12,599.6,601.87787,1.0
110/11/15,601.4,602.70135,1.0
110/11/16,603.2,603.5668,1.0
110/11/17,605.0,604.4639,1.0
110/11/18,607.6,605.383,1.0
110/11/19,609.4,606.20374,1.0
110/11/22,610.7,607.3141,1.0
110/11/23,610.8,608.3841,1.0
110/11/24,609.9,609.14874,1.0
110/11/25,609.6,609.4179,0.0
110/11/26,608.8,609.2465,0.0
110/11/29,607.3,608.53143,0.0
110/11/30,605.9,607.4683,0.0
110/12/01,604.9,606.355,0.0
110/12/02,605.1,605.4617,0.0
110/12/03,604.1,605.0882,1.0
110/12/06,602.6,605.2663,1.0
110/12/07,602.1,605.2853,0.0
110/12/08,602.0,605.2273,1.0
110/12/09,602.5,605.3165,1.0
110/12/10,603.4,605.5276,1.0
110/12/13,604.2,605.553,0.0
110/12/14,604.5,605.4683,0.0
110/12/15,604.5,605.1262,0.0
110/12/16,603.5,604.6742,0.0
110/12/17,603.4,604.5121,0.0
110/12/20,603.2,604.4142,0.0
110/12/21,602.2,604.2255,0.0
110/12/22,602.0,603.88074,0.0
110/12/23,601.8,603.552,0.0
110/12/24,601.7,603.5484,1.0
110/12/27,602.2,603.6926,1.0
110/12/28,603.8,603.9529,1.0
110/12/29,605.4,604.5508,0.0
