date,dividend,PE,netWorth,volume,price,open,high,low,close,diff,times,result
110/07/19,3.04,17.42,2.61,142678384,7534630142,53.40,53.40,52.50,52.60,-1.10,50529,0
110/07/20,3.05,17.35,2.60,111149026,5832518586,52.30,53.10,52.10,52.40,-0.20,41707,0
110/07/21,3.15,16.82,2.52,201374400,10355744297,53.00,53.10,50.20,50.80,-1.60,78205,0
110/07/22,3.08,17.22,2.58,233371650,12120562781,51.10,52.80,50.80,52.00,X0.00,66632,0
110/07/23,3.04,17.45,2.62,208158788,11110269848,53.00,54.10,52.70,52.70,+0.70,68362,1
110/07/26,2.98,17.78,2.67,137792338,7429437189,54.00,54.40,53.60,53.70,+1.00,42572,1
110/07/27,3.01,17.58,2.64,118561484,6355294561,54.20,54.30,53.10,53.10,-0.60,35962,0
110/07/28,3.09,17.15,2.57,199999316,10261061610,52.40,52.60,50.50,51.80,-1.30,68871,0
110/07/29,2.93,15.87,2.82,437075578,23760926840,53.90,55.00,53.30,54.60,+2.80,132593,1
110/07/30,2.77,16.80,2.99,690359467,39827899349,55.80,59.90,55.80,57.80,+3.20,241096,1
110/08/02,2.78,16.72,2.97,340901871,19876433538,59.30,59.70,56.80,57.50,-0.30,120660,0
110/08/03,2.69,17.27,3.07,262067103,15357827071,57.60,59.40,57.30,59.40,+1.90,93176,1
110/08/04,2.64,17.59,3.13,311901869,18746703345,60.20,60.80,59.10,60.50,+1.10,106594,1
110/08/05,2.52,18.43,3.28,483378173,30193203959,61.00,63.90,60.20,63.40,+2.90,179708,1
110/08/06,2.58,18.05,3.21,348569245,21849829382,63.50,63.80,61.60,62.10,-1.30,127312,0
110/08/09,2.58,17.99,3.20,208521248,12882147367,61.60,62.90,60.70,61.90,-0.20,76369,0
110/08/10,2.68,17.38,3.09,315261153,19021842833,62.00,62.30,59.20,59.80,-2.10,117643,0
110/08/11,2.67,17.41,3.10,237426777,14202448567,59.70,61.00,58.80,59.90,+0.10,89120,1
110/08/12,2.66,17.47,3.11,166046386,10067001494,60.30,61.50,59.80,60.10,+0.20,63743,1
110/08/13,2.78,16.74,2.98,224287962,13139069298,60.30,60.40,57.50,57.60,-2.50,92591,0
110/08/16,2.80,16.60,2.95,142298113,8116696727,56.50,58.00,56.40,57.10,-0.50,53394,0
110/08/17,2.85,16.31,2.90,152522836,8722680594,58.00,58.40,56.00,56.10,-1.00,60872,0
110/08/18,2.75,16.89,3.00,191647664,10854557110,55.30,58.20,55.30,58.10,+2.00,72968,1
110/08/19,2.88,16.13,2.87,176910444,9958487679,57.20,57.40,55.50,55.50,-2.60,75363,0
110/08/20,2.87,16.19,2.88,142080089,7894698421,56.30,56.40,54.40,55.70,+0.20,54324,1
110/08/23,2.73,17.03,3.03,163631951,9501111840,57.40,58.80,57.00,58.60,+2.90,63137,1
110/08/24,2.74,16.98,3.02,177627550,10503233062,59.60,60.10,58.30,58.40,-0.20,62833,0
110/08/25,2.67,17.44,3.10,224638879,13469417911,59.40,60.60,59.20,60.00,+1.60,80289,1
110/08/26,2.61,17.79,3.16,260011814,15956594885,62.40,62.70,60.30,61.20,+1.20,91121,1
110/08/27,2.59,17.94,3.19,170082864,10410623518,61.00,61.80,60.40,61.70,+0.50,56210,1
110/08/30,2.55,18.26,3.25,205442250,12840138404,62.40,63.00,61.70,62.80,+1.10,72017,1
110/08/31,2.54,18.34,3.26,180847429,11272433572,62.40,63.10,61.50,63.10,+0.30,64334,1
110/09/01,2.50,18.63,3.31,259821175,16598177753,62.80,64.50,62.60,64.10,+1.00,96807,1
