,volume,price,close,times,K,D,J,rsi10,rsi5,macd,WR5,WR10,Prediction_Result
1825,5683228,91953383,14.815000000000001,1807,71.40112302,55.31934232,23.15578092,76.99772283254069,85.15370654391964,-0.0302610208387103,0.0,0.0,1
1057,1106200,15318956,14.285,417,19.01946149,33.01127179,60.99489239,45.25452059688026,35.663156617562095,0.2208667680644887,-87.49999999999983,-94.73684210526308,0
1033,2119165,29419803,13.290000000000001,791,71.67023318,68.99275331,63.63779358,64.70227483793384,64.93595259515709,-0.0025292142718665,-53.33333333333338,-34.78260869565219,1
2311,1867158,37907110,19.68,803,80.94457502,79.97553115,78.03744342,71.03947238997074,75.18304682524366,0.2903755365158286,0.0,0.0,1
964,1229789,16680317,13.879999999999999,432,26.00144092,24.49685269,21.48767621,39.30018619347151,33.835677572102426,-0.0489198390351727,-20.000000000000284,-84.61538461538466,0
2073,1674002,32486831,19.075,682,63.61702788,67.71460634,75.90976327,69.67748292207384,70.20420892674035,0.4526818130030743,0.0,-9.523809523809314,1
12,2436762,32090778,13.49,625,17.76209456,32.76042715,62.75709234,76.87702550144779,51.381763920595134,-0.0157376898236956,-100.0,-100.0,0
361,889289,14265133,16.36,288,18.66502874,24.5299044,36.25965572,33.38051836033545,33.547049178713536,-0.3652720699385459,-80.00000000000043,-84.61538461538491,0
2117,1111183,20273814,18.16,366,41.48522629,37.16337995,28.51968728,51.31723724219569,55.28740634235484,-0.1710728270032283,-45.4545454545454,-53.84615384615389,0
1826,9274848,157729060,15.125,2800,79.564219,63.40096788,31.07446565,83.31409854067398,90.654955558724,0.0479413303955449,0.0,0.0,1
1238,88816,1077179,12.045,58,58.76076291,41.89307937,8.157712305,50.74391165147551,50.65533486578733,0.0331058038120224,-50.0,-39.99999999999986,0
2558,2595447,63216422,24.255000000000003,970,32.7515983,30.93031947,27.28776182,58.25528965627614,61.40420873173763,0.3582153648269648,0.0,-36.84210526315807,0
380,15227060,290021330,18.085,4371,79.76965665,73.79978023,61.86002738,78.78402969459572,84.90614401491662,0.2671280864940176,0.0,0.0,1
998,839488,11194129,13.39,285,17.84923843,28.20568985,48.9185927,38.72942217174798,34.21707548133897,-0.1125922703873729,-100.0,-100.0,0
275,1606804,28563805,18.035000000000004,575,28.02883519,33.78382661,45.29380945,45.43905929573408,43.58380478613904,-0.0123832643046422,-76.1904761904762,-76.1904761904762,0
1410,327052,3435089,10.55,89,70.69665568,73.87778372,80.24003981,41.08790625388685,41.85487174392809,-0.2912535327901246,-100.0,-62.49999999999994,1
1059,1169565,15951177,14.084999999999999,732,12.5536231,21.98255736,40.84042588,40.5420235636599,30.10197845452333,0.1609559796578012,-89.99999999999986,-94.73684210526308,0
108,8202491,117550669,14.354999999999999,2290,47.45802163,62.16533307,91.57995594,59.29790246817584,54.05105877909546,0.5101504013630233,-83.3333333333333,-65.2173913043478,1
2426,356724,7626316,21.255000000000003,139,71.75476133,66.16470725,54.9845991,61.56923588378864,62.30358877784732,0.3009967029955178,-50.00000000000089,-14.285714285714503,1
413,2721553,49438104,17.695,867,50.08097299,36.77826497,10.17284893,43.82298500863342,46.34768424676408,-0.4031820564300863,-20.0,-31.034482758620825,0
888,631145,9386545,14.940000000000001,263,48.2013046,57.99877892,77.59372756,51.27175309767203,45.889083058594046,0.1061478980108176,-83.33333333333363,-62.49999999999994,1
546,1415932,24382234,17.025,549,41.38266317,37.68931311,30.30261299,59.26623267073955,57.894331593689415,0.4471155854093678,-25.000000000000444,-10.000000000000142,1
2219,2093319,36815171,17.355,531,86.2360011,77.41046613,59.75939621,76.14012439250124,87.16320913695438,0.2717186006564268,0.0,0.0,1
646,1523094,24886620,16.244999999999997,631,57.63224064,64.01494438,76.78035187,57.68223101291129,51.460676568807294,0.2515966602698952,-100.0,-53.84615384615389,1
1554,2163434,28043992,12.275,922,69.27626752,51.08834177,14.71249027,65.80053863422486,81.28816322781638,-0.1054044213328197,0.0,0.0,1
658,1300892,20854935,16.065,429,11.6871533,18.47397986,32.04763297,43.35422428550896,34.85224768755948,0.1014649380176348,-100.0,-93.33333333333326,0
470,1413335,19638008,14.885000000000002,429,8.4312131,12.4088811,20.3642171,24.74201425431165,11.744447547666844,-0.2084037575830511,-100.0,-100.0,0
1860,6460766,146489373,21.7,2234,87.83535987,90.06767892,94.53231701,78.00836506492266,74.11542677833229,1.3824401403665028,-78.57142857142875,-13.414634146341486,1
446,565776,8707525,15.175,272,68.73681351,73.74416383,83.75886448,47.25769978256522,48.6244225247917,-0.5351319609209851,-100.0,-47.05882352941183,1
1893,1245673,22351304,18.325,432,34.45711011,37.21640829,42.73500464,34.40424779653473,32.152200062371755,-0.5396400059454541,-72.72727272727302,-87.50000000000011,0
1528,15059173,218867990,12.969999999999999,5801,80.93089772,85.14778979,93.58157394,78.2199122272212,76.771321127057,0.2989592927387905,-30.76923076923078,-18.604651162790717,1
439,1066411,15883074,14.459999999999999,1209,53.05047174,34.78827672,-1.736113325,45.04485502487247,55.75148045037697,-0.9069874647704722,0.0,0.0,1
483,432181,6092856,14.225,235,23.26170358,33.9807075,55.41871533,39.80459863056488,38.4546022590965,-0.3732787957923896,-100.0,-100.0,0
11,3063368,40712754,13.544999999999998,736,26.64314184,40.25959345,67.49249666,79.75090525180984,56.99446900761879,-0.0061565243408503,-100.0,-100.0,1
2288,870010,16130628,18.645000000000003,424,69.88330547,74.86635588,84.8324567,44.61493406858184,35.12885765425238,0.1316282892774044,-100.0,-100.0,0
2559,1185479,28785912,24.244999999999997,616,35.60251481,32.48771792,26.25812414,54.3478128151832,53.009680635678514,0.338979523740178,-33.33333333333333,-57.894736842105374,0
1061,1371639,18819468,13.95,783,19.3360018,20.19155756,21.90266907,43.978167879635365,38.93295227758146,0.1070837679069198,-50.0,-79.99999999999994,0
1557,613471,7936831,12.52,284,74.49455546,67.14506942,52.44609735,62.03215790157268,69.23428921062612,-0.0365247928793335,-18.18181818181815,-8.69565217391301,1
531,1507520,24396440,15.944999999999999,553,64.86828897,57.69131456,43.33736573,62.78917580757272,61.57394340715281,0.4006191008721126,-30.000000000000423,-23.076923076923396,1
1332,195516,2367592,12.235,115,16.29251851,18.33263665,22.41287293,33.094550520919505,28.62666861415903,-0.1133473428489638,-100.0,-100.0,0
2234,621181,11156984,17.910000000000004,300,48.05184579,48.19429688,48.47919906,56.08868275723841,55.304292026687776,0.2748860787702382,-16.666666666666863,-10.000000000000142,1
2488,271509,5463003,19.9,152,60.16549417,42.16803128,6.173105501,39.40965502935752,47.1152442175017,-0.5137849325050295,0.0,0.0,1
902,557470,7912824,14.564999999999998,247,13.25250778,18.0706651,27.70697974,32.856940414690634,23.761545937696265,-0.0241469705046414,-100.0,-100.0,0
815,2030683,30467045,14.439999999999998,807,53.23610093,36.40947865,2.756234083,55.13627361380317,67.47024145089105,-0.2824007495304191,0.0,0.0,1
474,680214,9747455,14.354999999999999,273,31.32514255,21.09790396,0.643426772,41.26688959094855,46.12460761463568,-0.3666832776376995,0.0,-51.85185185185182,0
2051,741636,12682491,17.095,236,42.91528518,33.97831055,16.10436128,47.94260714055078,48.42361313746788,-0.0045201603662481,0.0,-49.9999999999994,0
2391,480991,9578115,19.740000000000002,135,90.91706937,84.62103244,72.02895857,64.47611785462053,78.95518391324809,-0.0568419060073939,0.0,0.0,1
1105,2841039,38274264,13.169999999999998,963,66.76868534,57.26470446,38.2567427,63.29103265003619,75.55632775562803,-0.012216143908772,0.0,0.0,1
2527,877102,20139177,22.55,433,88.18716784,86.7319162,83.82141291,58.86753420679347,65.242938664406,-0.0354038163784,-79.99999999999972,-9.302325581395325,1
23,810397,9404331,11.870000000000001,259,11.78089045,11.20632062,10.05718097,45.213440803674274,32.177784369818866,-0.2841164747838668,-55.55555555555565,-84.61538461538466,0
730,2348360,38256485,15.725,896,76.95163774,77.83562001,79.60358453,66.06130260782356,80.46465173960739,-0.0944847921230092,0.0,0.0,1
166,5130760,82594535,16.86,1679,12.11234916,14.06798082,17.97924416,34.79834667673401,31.65735238806161,-0.2348991749869767,-70.83333333333319,-89.06249999999996,0
1388,308307,3590553,11.764999999999999,162,37.55884387,43.20282224,54.490779,42.57270082137307,39.475305624959525,-0.0613544334268976,-100.0,-92.857142857143,0
1492,634481,7448222,11.794999999999998,147,56.36940259,55.68874078,54.32741715,51.788384193341486,47.149082720103976,0.1848499675085406,-66.66666666666745,-87.50000000000028,0
1269,276037,3298734,11.885,106,63.48871567,65.30628511,68.941424,50.09107520173314,52.451367281195225,-0.0331103424681206,-49.99999999999911,-49.99999999999911,1
1330,463051,5618515,12.344999999999999,173,19.15816665,19.3096547,19.6126308,36.29950190820544,34.571618680180784,-0.088486857532614,-50.00000000000044,-86.66666666666671,0
949,12704889,190473751,14.395000000000001,3921,57.00229449,54.28492662,48.85019088,56.00954412585645,53.40073041272828,0.0952955274960159,-57.14285714285714,-54.05405405405407,1
778,681211,10613465,15.679999999999998,303,28.14078212,29.18743543,31.28074204,39.80738260214407,35.28305751830596,-0.0668847160148003,-100.0,-100.0,0
1732,541385,8131975,14.965,245,62.26074539,42.16576224,1.975795938,43.30957672414228,52.04158844741309,-0.2383132326948679,0.0,-14.285714285713995,1
828,588368,8636067,14.625,293,32.59806487,27.39629153,16.99274486,50.05035980060271,56.280308153250566,-0.143058800683698,0.0,-42.857142857143,0
1598,266332,3558763,13.194999999999999,122,66.40982587,62.56716989,54.88185793,61.67199425892066,61.87890586336093,0.1793597133401743,-100.0,-16.666666666666618,1
2359,1013553,20582169,20.205,477,54.10154381,47.89619639,35.48550154,57.10462659400901,66.04203983151831,-0.0484431193476562,0.0,-12.499999999999334,1
2103,1516275,27350515,17.65,599,59.84651167,38.7870993,-3.331725437,46.98555714843432,54.98777558009541,-0.3132636895039035,0.0,0.0,1
391,7382336,168204934,21.38,2647,85.84550434,87.30712952,90.23037988,78.00458375659032,76.74925195795666,1.0690051808652823,-10.000000000000142,-3.8961038961039502,1
1804,579186,8592308,14.879999999999999,157,46.20818695,37.1989072,19.18034769,46.603974349305474,49.47263855341081,-0.0823891503560709,-42.85714285714278,-42.85714285714278,0
2190,530650,8457505,15.809999999999999,250,72.69409675,75.18281434,80.16024951,51.46965802099176,60.34405424054594,-0.4377250710358351,-25.000000000000444,-31.250000000000043,1
128,5439652,91867537,17.244999999999997,1654,33.01415805,47.78910469,77.33899798,53.99520934234865,42.331015152568895,0.9341406169648954,-100.0,-100.0,0
2021,1711435,29311379,16.970000000000002,547,51.06712697,51.15243575,51.32305332,58.16345652056516,66.34747919191598,0.0034307360231995,0.0,-24.99999999999956,1
713,538381,8423632,15.7,257,48.91597937,45.2618457,37.95357836,42.93127275693068,45.21267809320529,-0.1927157703896933,-57.14285714285751,-62.50000000000022,0
2006,1054701,17282232,16.439999999999998,575,36.72949519,35.50544304,33.05733873,42.87802091503227,45.43727593367057,-0.2084093522797895,-55.55555555555565,-58.33333333333344,0
1540,669515,8273002,12.905000000000001,438,10.23225133,15.0145408,24.57911973,39.40959240359794,28.88050601245053,0.2129943212191945,-92.85714285714278,-95.83333333333329,0
433,1061816,15872019,15.395000000000001,1206,21.62827448,19.91011176,16.47378633,36.29182664598011,38.92405385572938,-0.83219044553564,0.0,-69.81132075471696,0
