,volume,price,close,times,K,D,J,rsi10,rsi5,macd,WR5,WR10,Prediction_Result
1220,24014330,225527621,9.356,4515,66.27498055,71.45514655,81.81547854,54.7460524261615,53.41707759521923,0.0998474635249651,-75.75757575757575,-42.25352112676047,1
1360,5623995,45380964,8.212,2188,33.94942901,34.14317994,34.53068182,36.31499030991328,35.47883410352833,-0.3548524034736477,-90.90909090909103,-97.36842105263165,0
2579,17298562,228965199,13.444999999999999,4063,36.64444754,43.72038147,57.87224934,43.937551870996806,37.43038578287891,0.0542875071662482,-100.0,-83.33333333333347,0
1970,55666514,1319303536,24.604999999999997,16630,21.03158383,26.29990642,36.83655162,30.020824326568924,20.097080638372532,-0.685235930725662,-100.0,-100.0,0
500,25691606,110908699,4.196,3295,57.00814979,63.27025089,75.79445309,58.30395584676329,63.93885546623332,-0.0923597746027636,-18.749999999999915,-12.2448979591836,1
2017,70320320,1419388276,19.285,18710,57.79162708,49.25977715,32.19607729,49.0992067179065,61.5527989927584,-1.1077981524874223,0.0,0.0,1
1818,35156851,603674351,16.7,6840,73.09827174,64.26919697,46.61104742,55.79808221730567,58.13902977107207,0.3248979799801592,-37.49999999999978,-13.636363636363532,1
825,22232236,184335936,8.488,4113,28.49706425,45.97004898,80.91601842,58.93717397436218,50.14923500694312,0.6006724985687542,-96.9696969696965,-98.68421052631558,0
1521,21514715,215735224,9.447,4879,87.04480838,87.12657428,87.2901061,78.95345069298844,85.92491992846047,0.395445596120777,0.0,0.0,1
2466,58359658,1159264861,19.625,12031,46.11630168,43.3521942,37.82397926,68.85725394112796,72.76181151205333,0.5137449995667667,0.0,0.0,1
984,14013179,107067039,7.3100000000000005,2905,60.02750221,49.20301252,27.55403316,63.83399396327915,69.61015955168983,-0.0152750076842684,-15.68627450980394,-14.545454545454565,1
832,37610643,322044918,8.370000000000001,6128,38.94984787,34.29671048,24.99043572,61.57662003131921,60.42702559572643,0.4745779027273973,-18.18181818181833,-14.63414634146353,0
1177,29240825,274015716,9.141,6397,47.57280871,34.40927623,8.082211272,49.49507608669898,64.28489879850139,-0.3337125553178355,0.0,0.0,1
2183,34583100,469352217,12.895,8231,69.91223926,66.49163421,59.65042411,50.06154922466119,51.07164857194447,-0.4497850239681205,-100.0,-34.54545454545452,1
27,13194264,94996996,7.483,2882,23.47246575,16.97633122,3.984062137,41.2072228498527,44.0628618800849,-0.3166223007650829,-42.8571428571429,-66.66666666666671,0
810,65897897,472878900,6.443,8957,91.11285725,82.74268218,66.00233204,78.64792784342058,85.91186706252849,0.1734535372158755,0.0,0.0,1
