,volume,price,close,times,K,D,J,rsi10,rsi5,macd,WR5,WR10,Prediction_Result
1683,845428,36521854,44.035,587,26.32140093,19.74116447,6.580691545,42.17201587737513,37.46963096793047,0.0711072220396056,-42.85714285714278,-76.11940298507452,0
1638,2099541,86014404,40.38,1057,52.92724842,49.07859434,41.38128617,45.50572816014999,50.4445276900642,-1.1007455062340197,-16.666666666666863,-37.83783783783796,1
1537,3010167,166091385,54.660000000000004,1662,60.47220017,68.09905881,83.3527761,60.2054482319855,59.138758119281306,1.3083514466457438,-79.99999999999972,-36.36363636363627,1
1729,742770,36432159,49.245,520,37.13554281,36.32767173,34.71192956,58.40826357622836,55.96377473011025,1.0478702741166446,-10.526315789473802,-37.037037037037,0
890,2419450,83445351,34.855,1172,27.1425009,44.26996475,78.52489244,49.66475292845613,46.51672059372957,-0.1479323824145099,-100.0,-100.0,0
1128,1826508,56485744,30.325,817,52.86450096,35.32822778,0.255681418,44.410162477868695,51.64852429341207,-0.6559975125858983,-7.1428571428572525,-3.7037037037037615,1
470,2914917,103813229,39.63,1295,7.642176472,16.01338882,32.75581352,22.00152937486906,9.1188010831226,-0.1256281089647857,-100.0,-100.0,0
1653,3609147,152643475,42.08,2012,60.0696007,59.04094316,56.98362809,60.33604261635775,67.0868883637837,-0.0385813857500685,0.0,0.0,1
1000,1105599,33521708,30.354999999999997,598,52.72324466,67.68055613,97.59517907,60.78652544503554,55.05271678746553,0.5542156623588749,-89.99999999999986,-59.99999999999991,1
322,3355507,265913194,78.14000000000001,1745,51.52963852,53.86441428,58.53396581,54.664632065258544,52.72847238102801,0.8365819826972426,-100.0,-42.22222222222204,1
2242,13314494,934223892,67.02000000000001,8770,52.88401351,61.3217129,78.19711168,61.6512479593444,62.70902588208863,1.3305881270706592,-47.05882352941152,-19.99999999999993,1
214,991444,55711319,57.23,551,23.63175939,24.80567253,27.1534988,37.65043171020434,38.192947969277,-0.7528937092406132,-26.923076923076746,-75.64102564102558,0
1199,476210,12972821,26.445,290,83.02370298,71.06904096,47.15971692,48.51611766096376,59.27118710509034,-1.1555155398795762,-24.99999999999985,-5.660377358490516,1
679,2832803,120622472,43.45,1493,27.32373976,46.61952818,85.21110503,40.3978838767207,32.61828642051122,-0.2739677566077406,-100.0,-100.0,0
110,1845600,151575400,78.76,829,78.95936039,76.05198329,70.23722909,62.24066798848342,70.54193607197006,-0.4919776530656213,0.0,0.0,1
1717,3384452,168305129,48.105000000000004,1921,88.43873159,85.13887381,78.53915827,72.52798699831138,77.45163087480296,0.9704491732974668,0.0,0.0,1
77,1018813,82395778,82.22999999999999,565,22.11271842,27.55393718,38.43637471,37.525853960608906,29.86577566802453,-0.1969183009140193,-100.0,-100.0,0
2292,2565401,225685447,90.21000000000001,1775,32.32437482,29.6424331,24.27854967,47.83474675427442,46.76873080123213,2.019873202629484,-5.882352941176348,-51.14503816793887,0
1132,534840,15997612,30.395,370,30.54709861,39.29523637,56.79151188,37.11977887340667,36.23770276391728,-0.6745682146704334,-80.0,-80.76923076923079,0
64,1163900,97300312,86.69,715,27.6412551,34.63817555,48.63201644,40.66001208784546,29.950220691654668,1.903184548957052,-100.0,-100.0,0
2030,5790758,643849455,115.55,3283,18.71525737,21.52970207,27.15859148,37.21720410046685,28.63792755493366,0.7049392160449593,-71.42857142857143,-95.23809523809524,0
141,2023042,140198318,67.67,1062,57.9905012,45.74735963,21.2610765,43.75023562044186,48.83968754269495,-2.3768320932275904,-42.55319148936167,-33.33333333333333,1
35,2670661,207441026,74.81,1487,82.49918392,77.77332287,68.32160077,57.20238893095537,71.86454175208625,-0.7950338272127858,0.0,0.0,1
486,597420,18081589,30.910000000000004,339,36.31977757,27.5130542,9.89960746,33.4889168705086,37.59727730276703,-2.4109241959163925,-42.42424242424242,-75.49019607843138,0
1675,1455996,66917795,45.96,1022,12.91694796,16.44525878,23.50188043,50.8683110558169,47.35479501475085,0.9804274826671532,0.0,-85.48387096774185,0
1310,6131097,231731695,37.595,2755,30.40562363,24.73539872,13.3949489,50.06767162145261,51.0512429462899,0.3939968333960842,-6.451612903225451,-25.641025641025607,0
