,volume,price,close,times,K,D,J,rsi10,rsi5,macd,WR5,WR10,Prediction_Result
1443,36082,1002327,27.95,32,38.57254054,52.82238922,81.32208658,57.192475194835055,52.73141838975768,0.3105568445468175,-66.66666666666627,-64.28571428571425,1
1256,306649,9446669,30.520000000000003,204,44.98754447,30.43875951,1.341189599,51.214369056056384,57.12019920669565,-0.0797954870287868,0.0,-24.99999999999989,0
2306,378246,16390192,45.06,285,33.58177586,42.44870915,60.18257574,39.19795179704541,31.13353926495493,0.5672751729138508,-100.0,-100.0,0
379,1172075,48036663,41.04,575,42.97238854,53.41725949,74.30700139,63.75524142475033,61.31508039166518,1.5460565974085771,-33.33333333333333,-33.33333333333333,1
1292,179534,5999627,33.239999999999995,143,69.54274788,76.8132279,91.35418793,67.48968131990097,60.93532009412696,0.6562605759110668,-100.0,-31.147540983606643,1
83,962003,15726698,16.045,311,57.57149395,62.76334286,73.14704069,65.25406887629515,61.53812545975599,0.4845269064759993,-86.36363636363619,-34.54545454545452,1
2139,197186,7134145,37.2,167,24.14272011,33.51162604,52.24943789,23.91937351865828,15.336267932860864,-0.1821937969081331,-100.0,-100.0,0
879,2896552,155377525,49.365,1779,84.62182361,89.81254876,100.193999,71.35130176062907,66.90595397923202,1.9468679522913728,-52.3076923076924,-31.48148148148152,1
788,3468213,136516541,37.93,440,71.44957549,71.83849631,72.61633794,69.86667787340276,69.94979731974527,0.4310639682647175,-38.88888888888911,-20.58823529411774,1
1797,222483,7624161,34.82,157,17.23121698,28.23154725,50.23220778,53.31360596881265,42.38907733618327,0.6649375205422774,-92.85714285714228,-95.65217391304311,0
1323,297499,10157538,35.084999999999994,197,23.77943111,21.42017581,16.70166521,45.19185608790456,42.519861531835375,0.4904890066474435,-37.14285714285706,-60.71428571428572,0
2412,299116,11997880,41.13,224,11.29506971,20.55795184,39.08371611,23.88248010413393,17.35452687997584,-0.7000666897936145,-100.0,-100.0,0
1096,159427,6426342,40.019999999999996,109,73.78133093,67.34459833,54.47113314,61.606199793155895,72.95616902301937,0.1009832331503674,0.0,0.0,1
432,751580,28283100,39.07,467,19.31691095,17.18575141,12.92343233,36.401881802405626,34.730011970041566,-1.159422326080161,-38.000000000000114,-77.69784172661875,0
2420,155459,6465376,40.92,128,73.6756606,60.93072869,35.44086488,52.85351935680945,61.764208011317024,-0.5440462042133288,-31.578947368421407,-17.142857142857387,1
493,1604919,56772873,33.655,778,57.89417436,35.97073564,-7.876141803,53.56513613754329,62.694936925068646,-1.1655132946559237,0.0,0.0,1
2034,183289,6390128,34.94500000000001,123,49.1980902,50.37347602,52.72424764,51.431005822024176,46.59157991463455,0.1466737138410803,-100.0,-71.42857142857115,0
2615,198022,8555243,42.085,159,83.46686009,70.33903602,44.08338788,59.95378401660725,77.44829561989121,-0.3655960816348838,0.0,0.0,1
1444,128049,3590467,28.035000000000004,85,40.86654218,48.83710687,64.77823626,62.776597635086,64.97894735359435,0.3173377346531965,0.0,-54.99999999999972,0
1901,85337,2903209,34.160000000000004,65,44.04509106,38.88461693,28.56366868,38.545052152739565,38.43464497052606,-0.4848956856589279,-100.0,-57.14285714285671,0
2307,262388,11351991,44.775,233,24.1194523,36.33895687,60.777966,37.36115068219292,28.81397693855929,0.4769877831636421,-100.0,-100.0,0
184,840026,20029274,24.715,330,20.22076232,18.77062337,15.87034545,37.89937182363776,34.5739947871909,-0.2612557077754406,-57.89473684210501,-77.77777777777767,0
279,569200,14533650,26.395,266,9.419026025,10.43939251,12.48012547,24.47847670083609,15.404318639102238,-0.4206438022444302,-100.0,-100.0,0
747,370817,13520546,35.47,226,77.60863964,61.11042381,28.11399215,72.3010026172267,82.5523385472277,0.102616011603093,0.0,0.0,1
2319,280515,12463175,44.714999999999996,239,76.83497632,74.30135561,69.23411419,51.9740272436492,50.3517462346297,0.1270677123953475,-100.0,-45.94594594594599,1
1597,147616,4617030,31.22,87,52.58781276,47.40255832,37.03204945,55.05520800047356,52.15583249526284,0.3858358159403443,-47.36842105263154,-37.499999999999964,1
2062,191251,6946478,35.760000000000005,148,76.32781459,79.04303206,84.473467,72.15563610515788,75.04778086260087,0.2256283850335552,-7.692307692307272,-4.545454545454311,1
233,520294,14300354,27.26,248,67.59692456,62.18754843,51.36879616,52.49315326423313,48.60635184603205,0.5033736412952914,-90.9090909090908,-32.25806451612902,1
201,658030,15563461,23.985,230,36.12780345,38.73908766,43.96165608,40.426124694750165,36.43690758788903,-0.3219811740185569,-87.49999999999977,-94.73684210526308,0
661,207403,7774771,38.36,139,11.73470254,13.20931837,16.15855004,33.22118414661032,23.75262408546904,0.1252163119978612,-100.0,-100.0,0
2471,177304,7283535,41.41,155,19.66212622,22.85408298,29.23799649,42.6886009392097,41.40121377731564,0.0725413852544687,-20.000000000000284,-63.63636363636381,0
211,2582731,69394754,24.360000000000003,689,77.63400063,61.46340399,29.1222107,76.29876887464629,85.98787306389806,-0.1214096982212033,0.0,0.0,1
