,volume,price,close,times,K,D,J,rsi10,rsi5,macd,WR5,WR10,Prediction_Result
169,288223,17636526,59.959999999999994,217,55.21394643,43.96547647,21.46853656,52.00363114816986,57.504455689767575,-1.0234799193276516,-31.818181818181795,-25.92592592592591,1
2030,1487623,77307696,52.96,1001,30.03321168,32.17605251,36.46173415,47.30202525093569,42.29894296438162,0.6108349741737485,-46.666666666666856,-78.94736842105269,0
794,418476,15689520,38.755,277,20.00768703,34.17328644,62.50448527,42.46087753309661,33.840646888398794,0.7044971339130389,-100.0,-100.0,0
1560,7042174,302828508,45.83,4252,8.571691289,15.47133732,29.27062938,29.26498425986846,16.203931547093593,-0.1608818758842805,-100.0,-100.0,0
156,473209,29136873,62.06,265,34.96310469,33.92810793,31.8581144,40.07818406261915,36.36512409779494,-0.7772972170349526,-100.0,-100.0,0
1262,640228,27208785,43.705,507,15.95357694,19.38750063,26.25534802,42.129281961715904,33.405895256613064,0.406312396603404,-100.0,-100.0,0
2347,13049159,1280603628,94.07,9158,67.88389978,75.94854102,92.0778235,67.18271326435729,73.54884029317648,1.7181170241394876,0.0,0.0,1
2406,5890850,533702750,92.64,4118,19.99686491,20.57318039,21.72581134,35.588784366621056,33.92358264284878,-2.242509097001273,-100.0,-100.0,0
2408,2674813,239959826,91.57000000000001,1837,17.97840461,18.09893577,18.33999809,38.44966067368116,40.25983430079309,-2.3905871199664404,-59.61538461538475,-69.1176470588236,0
1014,4336838,229798089,51.71,2348,64.13450838,62.84972254,60.28015086,63.44740944811685,59.8701856974652,1.9585380118189877,-50.0,-20.45454545454543,1
853,1711769,68679240,42.675,835,16.14779239,20.45837137,29.07952935,29.78068937156913,16.546149968008983,0.1448942452062224,-100.0,-100.0,0
36,432041,34107819,78.91999999999999,245,49.72286935,62.82338972,89.02443046,41.42045435817431,46.90824918976001,-0.7405928064020768,-80.00000000000114,-79.31034482758645,1
764,1758764,69047937,35.285,1006,92.41750931,86.79434982,75.54803085,86.48147252880389,90.13846813996292,1.9853251279780155,-2.272727272727306,-1.2195121951219683,1
1885,5920142,317598977,49.195,3532,76.26467976,69.03906839,54.58784564,75.44792252542055,85.08990556804879,0.1069858111568898,0.0,0.0,1
497,432323,14367373,32.129999999999995,253,77.0493434,70.66863349,57.90721368,53.72803903355825,62.60006649201898,-0.6817514873663818,-42.85714285714228,-3.999999999999962,1
358,329001,15428647,48.53,219,19.1373007,34.42962843,65.01428387,42.85146852716399,34.84826227725259,0.1296557992257561,-100.0,-100.0,0
1628,14430860,973305840,59.99000000000001,7709,89.86632037,77.51998496,52.82731413,83.88941388802151,92.87687164555513,1.0719397694022328,0.0,0.0,1
332,1182118,53630728,47.36,782,13.56844487,19.42728184,31.14495579,28.73605245899847,22.85644651508621,-1.155122567175085,-100.0,-100.0,0
473,453140,15166708,34.245,261,21.66235693,17.99758563,10.66804304,38.4150017906515,36.58329683908846,-0.4485770961867856,-17.391304347826356,-77.10843373493985,0
