,volume,price,close,times,K,D,J,rsi10,rsi5,macd,WR5,WR10,Prediction_Result
517,61714218,920510850,14.220000000000002,12658,66.79377876,67.07379837,67.63383759,65.48393124065369,69.41191536157464,0.3041566214082509,0.0,0.0,1
1709,8484526,81046831,9.594999999999999,2539,31.55816945,41.81954944,62.34230942,50.59920973653421,46.8925249004844,0.0474010294229587,-100.0,-76.53061224489792,0
1386,18007312,258336413,14.179999999999998,4531,59.79562511,59.41069959,58.64084857,51.69793089261875,48.7132249541706,0.1248443181133011,-100.0,-52.94117647058838,1
1922,18554695,213956081,11.495000000000001,2781,72.84091871,67.15375215,55.77941902,47.424111962126815,48.533124434588224,-0.0514932433539156,-71.42857142857115,-41.66666666666657,1
1470,18639122,206647545,10.9,3623,49.70912895,41.56032545,25.26271845,46.95179831599655,51.91190086320941,-0.1797488246874316,-44.44444444444436,-44.44444444444436,1
2049,8727342,91063565,10.45,2110,30.28633382,25.2570318,15.19842776,37.82133037096413,39.14664511145809,-0.1870112195846,-50.0,-60.00000000000014,0
911,5949148,61938773,10.485,1501,49.25054464,37.17775918,13.03218826,40.01371409114959,44.54432375796885,-0.1759601253653563,-33.33333333333373,-28.5714285714285,0
1235,27373972,376368493,14.25,6318,22.68681951,32.22067417,51.28838348,47.3512270579689,37.067480002224166,0.5466088211290537,-100.0,-100.0,0
1718,5244279,49934722,9.516000000000002,2319,41.03382474,37.55649526,30.60183631,49.6038856748174,45.24729306971847,0.0377053825987649,-100.0,-58.33333333333308,0
1496,19722702,224587845,11.345,4214,31.32003417,26.63822568,17.2746087,50.9794015326047,53.9149780762617,0.0231154887300247,0.0,-27.272727272727398,0
2029,6425453,69002386,10.98,2101,16.01260559,18.68583627,24.03229762,33.0034082938576,32.32583520597603,-0.2143597255089531,-62.49999999999994,-76.92307692307688,0
573,11759077,132717055,11.325,2770,29.20817295,29.9529938,31.44263548,36.95353146562784,39.22011257806423,-0.4954799367437429,-100.0,-100.0,0
16,23194129,244112375,11.045,3674,7.276856072,13.66859623,26.45207655,48.1944504164166,17.879986169150758,-0.0627921153577381,-100.0,-100.0,0
393,21615482,363963310,17.14,4124,12.64848952,13.6467603,15.64330187,26.25591154863417,22.098809418964265,-0.424860629805218,-100.0,-100.0,0
75,33259888,439665191,12.745,5946,79.62786312,73.16035643,60.22534304,70.10379976523569,74.139476853436,0.401564231735173,0.0,0.0,1
565,6591764,76146134,11.565,1660,39.7522358,30.55329163,12.15540329,34.32983567918148,38.51686657877266,-0.535731066071757,-66.66666666666666,-56.24999999999999,0
1117,3870020,39321872,10.115,834,44.71005585,41.15797036,34.05379938,51.6138207574072,52.59947753662079,-0.0186128934576907,-60.00000000000014,-50.0,0
1691,5157963,48297653,9.428,1887,37.68739004,44.90402827,59.33730472,46.379135182834986,43.04263344126594,0.0019131601353336,-74.99999999999926,-87.99999999999955,0
2535,10798992,75841474,7.15,3200,37.46396374,45.05257102,60.22978557,49.27504368837992,48.3856038702632,-0.0938567174696656,-68.42105263157907,-86.36363636363645,0
1652,11880194,114043229,9.383,3504,86.21188903,69.92234267,37.34324997,65.59554779576801,81.40762657560397,-0.0584719147509294,0.0,0.0,1
2364,7814817,71878711,9.434000000000001,2760,13.46227067,14.21384399,15.71699063,27.79761013249115,23.2149909832482,-0.0912582257463392,-100.0,-100.0,0
2275,3391179,33397399,9.812000000000001,1051,70.8160934,57.82208825,31.83407795,41.79603517925386,44.82091754774566,-0.1406099975952099,-100.0,-29.999999999999883,1
2311,4857582,45870762,9.405,1618,60.36665615,48.78478007,25.62102791,45.03623749297582,48.566508058563045,-0.1094235698132441,-24.99999999999945,-34.374999999999794,1
375,10888655,207388399,19.380000000000003,2502,21.5946952,40.10010209,77.11091588,47.3475942452114,38.21862130727106,0.1693265330685312,-100.0,-100.0,0
158,59733498,1227643724,20.805,8778,46.45022537,57.49574038,79.58677039,57.53784897714846,49.25479218364888,0.9572907418683482,-100.0,-59.99999999999991,1
2534,11420132,78899734,7.178,3940,36.47763575,48.84687465,73.58535246,47.16762430151441,42.741181240684256,-0.1057112152934432,-100.0,-100.0,0
1958,16007923,189092438,11.67,3181,75.05520704,78.3163179,84.83853963,55.22699957950374,55.09238807692969,-0.0039144283975787,-58.3333333333333,-43.74999999999992,1
2168,9608328,86719727,9.233,2970,18.79279824,30.17046017,52.92578403,39.38699743072894,36.763119461100224,-0.0360494072994619,-85.71428571428602,-87.23404255319173,0
1693,4915397,45672156,9.397,1694,25.08328446,33.90175776,51.53870436,42.8076308973102,40.9893922437213,-0.0082926612717372,-47.826086956522175,-72.72727272727288,0
1494,16658479,187410807,11.43,2710,24.63674354,25.45595652,27.09438248,45.19792591462544,41.95193071647837,0.0527985052566266,-37.49999999999978,-73.68421052631578,0
1577,10249807,103434506,10.08,2389,62.52370891,49.4361979,23.26117589,36.28185346059738,43.7941545769721,-0.2485206837387829,-50.00000000000089,-50.00000000000089,1
174,65050092,1345298217,20.165,13543,58.2620773,49.73376786,32.67714899,58.396955231877016,63.25135219093949,0.2779382419224205,0.0,-6.666666666666761,1
2546,22631759,183147724,7.834999999999999,5467,61.07718052,62.42283172,65.11413412,65.11081773732764,68.9554596392898,0.1529756583310076,0.0,-16.814159292035356,1
2344,5751496,56495650,9.822,975,33.78367743,28.6548829,18.39729383,48.42733144121821,45.496219516201,0.0413021097018228,-42.85714285714232,-55.555555555555415,0
2523,20669803,136502415,6.632000000000001,5336,50.89219391,53.46473225,58.60980893,42.91130426980595,48.4300247801124,-0.4286433697288304,-48.14814814814818,-41.75824175824174,1
1258,12980537,212490340,15.98,2797,72.78474091,64.88948822,49.09898284,66.63866010527457,69.63065042353873,0.5523448563894745,0.0,0.0,1
1526,13041557,152872806,11.584999999999999,2706,66.06237137,61.62697918,52.75619479,62.7666498257607,67.21331869417476,0.0649517758457241,-33.33333333333373,-14.285714285714503,1
144,70863555,1346791509,17.939999999999998,10777,73.81240007,63.60884197,43.20172577,69.92773930053325,75.48515845970888,0.515746130328262,0.0,0.0,1
2517,32929642,232410668,6.449000000000001,7801,53.96719709,32.79033163,-9.563399307,47.753443475035866,58.672039292272174,-0.5045153675814837,0.0,-15.16853932584272,1
847,7833176,91967145,11.93,2148,60.40271867,73.8661887,100.7931287,48.98267297360617,39.79177426242052,0.114782201972258,-100.0,-90.00000000000021,1
1467,7490645,81409710,10.9,1558,33.72984866,34.03624973,34.64905187,34.60550121938596,29.645902894685804,-0.1856244280966988,-100.0,-100.0,0
781,8139527,99622611,12.385,1627,22.98194837,25.80020141,31.4367075,35.51887647868224,27.20073156292263,0.0088622236674696,-100.0,-100.0,0
1038,6763079,69118289,10.27,1678,22.85051757,33.06195641,53.48483409,32.954956715438094,27.22418972620013,-0.0815812105938504,-100.0,-100.0,0
170,81113080,1531108016,19.794999999999998,13134,40.93390919,51.1421066,71.55850141,40.675592086537385,31.681689448645884,0.3987154656246599,-100.0,-93.74999999999991,0
1434,15553017,181462593,11.34,2896,68.32276461,56.05431998,31.5174307,56.153599654627165,63.20870716434904,-0.1343321749409471,-10.000000000000142,-6.666666666666761,1
2002,13227933,154183914,12.065000000000001,3177,25.3970906,22.65454595,17.16945665,38.71624081265926,36.12501348221285,0.0035627068212736,-64.70588235294129,-72.72727272727282,0
936,5692231,60933727,10.905,1232,19.0090931,35.41811808,68.23616804,36.222428490498274,22.744519905085426,0.0277187590166634,-100.0,-100.0,0
733,6680022,79752142,11.879999999999999,1617,61.6916117,68.6223831,82.4839259,61.50722784683869,62.64656279022659,0.0624531067602874,0.0,-40.0000000000001,1
1968,6062108,73276046,12.045,1857,70.62863356,75.08692154,84.00349751,58.11048362115262,56.18211848866228,0.1299173944260835,-100.0,-27.272727272727305,1
278,63733990,1249942390,20.935,14395,8.908449133,14.71050702,26.31462281,22.66898497578132,18.901298290793097,-0.8042225831787749,-100.0,-100.0,0
2506,15109961,121487129,8.116,4370,23.96196987,24.64862106,26.02192345,37.83502651092847,36.74317533373612,-0.1317210773863261,-97.05882352941182,-97.05882352941182,0
2653,16453000,141463758,8.463,3779,71.95601977,67.01239085,57.12513301,50.53732222454157,54.248490471667,-0.0280161488042578,-27.27272727272801,-11.111111111111477,1
1428,24562293,274560639,11.35,3530,31.98076698,38.23286241,50.73705327,46.6875398484428,49.47286061508108,-0.2115855066799169,-49.99999999999985,-64.70588235294107,0
2140,9211655,87277082,9.401,1957,56.05414713,58.2218158,62.55715314,51.963429537203,59.05083594083867,-0.0771239651484687,0.0,0.0,1
2287,5991693,59548108,9.91,1360,76.58609738,78.84011946,83.34816362,53.13864145050727,57.61257659049558,-0.0538605834598742,-41.66666666666753,-20.833333333333613,1
1911,10106515,115358663,11.855,1707,16.15784393,18.02136953,21.74842073,37.9418755400207,25.83945216722115,0.2570675584854526,-100.0,-100.0,0
1105,5924253,59709530,10.129999999999999,911,30.95275996,39.97699298,58.02545903,38.20442978485652,30.684719387161877,-0.0198122310668782,-100.0,-100.0,0
2022,9651390,108077513,11.139999999999999,2005,47.08477616,40.09470561,26.1145645,42.19238353482731,47.48625403238926,-0.2239321226050242,-50.00000000000089,-25.000000000000444,1
2157,12201478,112656813,9.264999999999999,2211,43.45603245,49.13949544,60.50642143,44.83925815777175,44.07818255310591,-0.0504986124664856,-100.0,-63.63636363636422,1
2199,71942733,775307388,10.285,10546,71.94737719,68.47511664,61.53059556,78.91855317380777,84.09249124772278,0.2462503712584214,0.0,0.0,1
673,20591681,243470891,11.52,4628,62.665747,48.26093962,19.45132485,58.27491453919304,74.6121170485352,-0.2303463713438044,0.0,0.0,1
1532,11128403,128293882,11.610000000000001,2950,37.18517389,41.75598107,50.89759543,51.518822702499975,48.49531496498315,0.0655406437817664,-24.99999999999956,-57.142857142857,0
2331,19806697,199343469,9.849,4757,81.56275981,74.30450279,59.78798875,72.5308948347519,80.26477015094913,0.0505097276451114,0.0,0.0,1
1217,93692670,1234283919,12.48,13438,55.90496121,48.08413471,32.44248172,76.23833517277123,82.37418987947355,0.4261596249294976,0.0,0.0,1
1044,4744471,47618223,10.184999999999999,748,26.01156807,25.43323931,24.2765818,35.849627271280376,36.579267724942646,-0.084241508754097,-60.00000000000014,-66.66666666666686,0
1586,2053323,21364786,10.37,445,83.60603381,81.3158541,76.73549466,56.672750459164845,64.70564498414298,-0.0965316836707724,0.0,-12.500000000000169,1
712,4816866,55497895,11.485000000000001,1493,51.2334437,46.85714104,38.1045357,40.54883334463157,40.30043051406272,-0.1332203170553546,-100.0,-50.0000000000003,1
1959,12994991,151956989,11.7,2403,64.85161951,73.82808511,91.7810163,52.09455385439211,49.29225624743366,0.0120654440925463,-100.0,-56.25000000000008,1
2003,8831697,102839280,11.98,2502,30.82028262,25.37645818,14.48880928,37.73498983546578,34.608817206539364,-0.0231226167225112,-66.66666666666666,-72.22222222222223,0
1730,2520439,23401781,9.291999999999998,661,12.23910085,9.241987223,3.247759967,39.41999608181956,36.7658870060956,-0.0395369402000601,-40.00000000000213,-78.57142857142911,0
319,15269556,279383909,18.595,3484,50.19609425,63.71049399,90.73929346,49.72567703664578,46.18849231628193,-0.1321574090156452,-100.0,-94.44444444444436,1
490,17672162,216152333,12.195,3998,31.58328637,17.5122848,-10.62971833,45.22443604533329,53.36317211461513,-0.4995796151748637,0.0,-20.833333333333343,0
