X,data,volume,price,open,high,low,close,diff,times,result,K,D,J,rsi10,rsi5,macd,WR5,WR10,Prediction_Result
2658,109/10/21,4070054,1152036691,282.0,285.0,280.5,281.5,-0.5,2979,0,57.60122162,66.22961718,83.48640829,63.14034143774067,65.03907289248102,5.586189312123921,-10.0,-43.75,1
2659,109/10/22,3385914,940634036,281.0,282.5,276.0,277.0,-4.5,2006,1,42.84525886,58.43483107,89.6139755,56.41849900235994,49.956290763551465,5.699786370162281,-100.0,-100.0,0
2660,109/10/23,1824132,509671460,277.5,282.0,276.5,279.0,2.0,1296,0,39.23017257,52.03327824,77.63948957,58.57454893719126,55.46451971950729,5.739708569444141,-60.0,-75.0,0
2661,109/10/26,1472068,411004536,278.5,280.5,277.5,278.5,-0.5,1249,0,35.48678171,46.5177794,68.57977476,57.78835505940781,53.69159596099946,5.710300842091324,-70.0,-70.0,0
2662,109/10/27,2197425,608821926,276.0,279.0,275.5,278.0,-0.5,1555,1,31.65785448,41.56447109,61.37770432,56.94756312964423,51.70817341373085,5.617987922858137,-77.77777777777779,-80.0,0
2663,109/10/28,4054333,1126476276,276.5,281.5,275.0,278.5,0.5,2670,0,32.77190298,38.63361505,50.35703919,57.62574006206911,53.75804368793428,5.486259120895388,-25.0,-70.0,0
2664,109/10/29,3042444,833355648,275.0,277.5,269.5,274.5,-4.0,2069,0,32.60062349,36.62261787,44.66660661,50.6101306003552,38.19408451201458,5.260408690610398,-100.0,-100.0,0
2665,109/10/30,3605783,974092096,274.0,276.0,267.0,267.0,-7.5,2443,0,21.733749,31.65966158,51.51148674,40.45257855231449,23.12806670432312,4.855756444752371,-100.0,-100.0,0
2666,109/11/02,5919265,1556565713,268.0,271.0,259.0,264.0,-3.0,4024,0,20.89942241,28.07291519,42.41990075,37.17012703472565,19.446126610621857,4.301316725224591,-100.0,-100.0,0
2667,109/11/03,5031195,1326905120,267.5,269.0,260.5,263.5,-0.5,3773,1,20.315927,25.48725246,35.82990338,36.6252801149593,18.846075412589297,3.66427698647113,-100.0,-100.0,0
2668,109/11/04,5479166,1470157947,264.0,274.0,262.5,273.0,9.5,4014,0,33.8338064,28.26943711,17.14069851,51.48741392324029,52.36165392766103,3.1520751547667776,-13.636363636363637,-38.70967741935484,0
2669,109/11/05,5287717,1428439515,274.5,274.5,267.5,270.0,-3.0,3663,1,38.85216723,31.79701381,17.68670698,47.609079676664734,45.27594070834989,2.6899223063397817,-31.57894736842105,-58.06451612903226,0
2670,109/11/06,5338886,1466913570,273.0,277.5,271.0,273.0,3.0,3913,1,46.64218556,36.7454044,16.95184207,51.61794232113596,52.92096717785948,2.325098377818768,0.0,-36.66666666666666,0
2671,109/11/09,17521634,5169768858,290.0,299.5,290.0,293.0,20.0,11629,0,59.07832947,44.18971275,14.41247932,69.00838874258517,77.76785615287436,2.35419195346256,0.0,0.0,1
