X,data,volume,price,open,high,low,close,diff,times,result,K,D,J,rsi10,rsi5,macd,WR5,WR10,Prediction_Result
2658,109/10/21,5780956,893528243,152.5,156.5,152.0,151.55,2.0,3326,0,58.68315838,58.84283564,59.16219016,53.46919692970241,58.28314048248399,-0.9245151959692808,0.0,-25.0,1
2659,109/10/22,1724972,262934744,152.5,154.0,152.0,151.3,-1.0,923,0,52.45543892,56.7137034,65.23023236,50.96187146554886,52.7113093780912,-0.8084702899403025,-50.0,-22.22222222222222,1
2660,109/10/23,583016,88603938,153.0,153.0,151.0,151.65,0.0,468,0,48.30362595,53.91034425,65.12378085,50.96187146554886,52.7113093780912,-0.7024604167535414,-50.0,-28.57142857142857,1
2661,109/10/26,1834380,274263579,152.5,152.5,147.5,151.45,-3.0,1335,1,37.75797285,48.52622045,70.06271564,43.54892135001649,37.30481986681509,-0.6545597189471857,-100.0,-100.0,1
2662,109/10/27,1025401,153211528,148.0,150.5,148.0,151.25,1.0,670,0,34.43124116,43.82789402,62.62119974,46.40731885707913,43.86740566528476,-0.6281454702809146,-75.0,-75.0,0
2663,109/10/28,2215737,329724759,150.0,151.5,147.5,150.9,-2.5,1474,0,22.95416077,36.86998294,64.70162727,40.73511282851954,33.3840353678326,-0.6550375595350162,-100.0,-100.0,0
2664,109/10/29,2341310,339541604,146.0,146.0,144.0,150.45,-2.5,1677,0,17.96944052,30.56980213,55.77052536,35.90739279648971,25.94397128033704,-0.7523243777138465,-100.0,-100.0,0
2665,109/10/30,6980770,984351802,142.0,143.5,139.5,149.25,-4.0,4559,0,14.92080348,25.35346925,46.21880078,29.710242635787253,18.169359759228374,-0.9507362768236696,-100.0,-100.0,0
2666,109/11/02,3787071,530211444,142.0,144.5,138.0,147.85,-3.0,2894,1,9.947202321,20.21804694,40.75973617,26.007222536455394,14.309936158019417,-1.247826665505398,-100.0,-100.0,0
2667,109/11/03,2174291,301885906,139.5,140.0,138.0,146.65,1.0,1620,1,8.714801547,16.38363181,31.72129233,29.240949142911,21.020474123461764,-1.572394385302998,-89.47368421052632,-93.33333333333331,0
2668,109/11/04,2452197,339842747,140.0,140.5,137.0,145.3,0.5,1836,1,11.01820103,14.59515488,21.74906258,30.90184764889859,24.56494438255468,-1.885608974881148,-78.57142857142857,-89.28571428571429,0
2669,109/11/05,2171181,302535606,139.5,141.0,137.5,144.15,1.0,1679,0,14.87234907,14.68755295,14.31796069,34.29484277163818,31.89987431399609,-2.155036315808528,-16.666666666666664,-82.14285714285714,0
2670,109/11/06,2609134,366372564,140.5,142.0,139.0,143.0,0.0,1853,1,17.96087639,15.77866076,11.4142295,34.29484277163819,31.89987431399609,-2.3779830674798386,0.0,-79.16666666666666,0
2671,109/11/09,1688148,237868591,141.0,141.5,140.0,142.2,0.5,1167,0,21.1693199,17.57554714,10.38800163,36.19049027435242,36.3555712513842,-2.546712336754933,0.0,-75.0,0
2672,109/11/10,1347602,189241668,141.5,141.5,139.5,141.2,-1.0,1030,1,25.22399104,20.12502844,9.927103239,34.03051244265278,31.421495395569423,-2.682764014715972,-66.66666666666666,-78.94736842105263,0
2673,109/11/11,1394076,195825230,140.0,141.0,139.5,140.5,0.5,1111,0,32.37154958,24.20720215,7.878507298,36.12719884891492,36.5853686203706,-2.7771101879039413,-50.0,-64.28571428571429,0
2674,109/11/12,1114064,156588806,140.5,141.5,140.0,140.0,-0.5,849,1,34.91436639,27.7762569,13.50003792,34.90682361490843,33.55352396309489,-2.842017988479209,-100.0,-33.33333333333333,0
2675,109/11/13,943323,132123639,140.0,141.0,139.0,139.95,0.5,800,1,46.60957759,34.05403046,8.942936206,37.238897705176186,39.5635921560279,-2.8706170714015937,-50.0,-16.666666666666664,0
2676,109/11/16,1703530,241465442,141.0,143.0,140.5,140.25,0.5,1212,1,53.29527395,40.46777829,14.81278698,39.61849516610796,45.48106232632928,-2.860439417382308,0.0,0.0,1
2677,109/11/17,1456694,206745272,141.5,143.0,141.0,140.5,0.5,1040,1,59.77260688,46.90272115,21.16294971,42.03598191718604,51.21325197391435,-2.811994057302853,0.0,0.0,0
2678,109/11/18,3022727,436273372,142.5,146.0,142.0,140.95,2.5,2176,0,63.65792839,52.48779023,30.14751391,52.49640671743256,70.08503447695537,-2.6958076831105235,0.0,0.0,1
2679,109/11/19,1408715,201279955,144.0,144.0,142.0,141.15,-1.5,1037,0,59.1052856,54.69362202,45.87029487,46.90922229508736,54.81766870065235,-2.5610405682738024,-42.85714285714285,-37.5,1
2680,109/11/20,2069239,292299239,143.0,143.0,140.5,141.2,-1.5,1391,1,48.92733325,52.77152577,60.45991079,41.99298475714742,43.45749951565235,-2.439786614453072,-100.0,-75.0,1
2681,109/11/23,1487222,211599104,142.0,144.0,141.0,141.25,0.5,1006,0,44.52298407,50.02201187,61.02006746,44.13958042963101,47.78575816085876,-2.319820805596034,-83.33333333333334,-62.5,0
2682,109/11/24,1672811,235703945,142.0,142.5,140.0,141.3,-1.0,1267,0,36.82484653,45.62295675,63.21917721,40.8165897209046,40.369240789321466,-2.217618262068063,-100.0,-87.5,0
2683,109/11/25,1334599,187176713,141.0,141.5,139.0,141.25,-0.5,1008,0,29.31180245,40.18590532,61.93411106,39.19373275914402,36.93022085860612,-2.134829822710053,-100.0,-100.0,0
2684,109/11/26,1346008,187579538,140.0,140.5,138.5,141.2,-0.5,1043,1,23.98564607,34.7858189,56.38616456,37.55139569054944,33.5050973178946,-2.071661173504208,-100.0,-100.0,0
