X,data,volume,price,open,high,low,close,diff,times,result,K,D,J,rsi10,rsi5,macd,WR5,WR10,Prediction_Result
2658,109/10/21,1226551,53929042,44.1,44.7,43.5,42.68,1.3999999999999986,900,0,45.64305669,46.53351741,48.31443884,63.68666433251765,69.76872791919487,-0.006131422502906,0.0,0.0,1
2659,109/10/22,1171542,50345555,43.7,43.75,42.6,42.66,-1.0499999999999972,640,1,36.83896087,43.30199856,56.22807395,49.65696030197663,48.68984943591824,0.0039496668291543,-69.9999999999998,-69.9999999999998,0
2660,109/10/23,275731,11859515,43.0,43.15,42.85,42.695,0.4499999999999957,241,1,36.73879443,41.11426385,49.8652027,54.39331691445501,55.59018375272854,0.0174527865689187,-42.857142857143,-40.0000000000001,1
2661,109/10/26,217264,9416241,43.2,43.55,43.15,42.775,0.3000000000000042,195,0,40.51817064,40.91556611,41.71035706,57.33678901986304,59.90396626208494,0.0371394591782801,-21.42857142857125,-19.999999999999808,1
2662,109/10/27,348483,15050035,43.45,43.45,43.0,42.81,-0.2000000000000028,181,0,40.47365222,40.76826148,41.35748001,54.74569691181013,55.58456577135452,0.0563943234912209,-47.61904761904775,-33.33333333333333,1
2663,109/10/28,203002,8763336,43.4,43.4,43.0,42.835,-0.1499999999999985,156,1,38.52089635,40.01913977,43.01562661,52.77800805022246,52.197232837003305,0.071847470461245,-46.666666666666856,-43.33333333333324,1
2664,109/10/29,175444,7532803,42.85,43.3,42.7,42.915,0.25,155,0,40.05968254,40.03265403,39.97859701,55.69730339579981,57.390493988743664,0.087932544223122,-28.571428571428864,-26.66666666666657,1
2665,109/10/30,207765,8927796,43.25,43.25,42.85,42.985,-0.3999999999999986,183,0,34.86972033,38.31167613,45.19558773,50.23185706391027,47.48559147301936,0.0969883088727797,-100.0,-57.142857142857,0
2666,109/11/02,157415,6732006,42.8,43.0,42.65,42.995,-0.0500000000000042,143,1,26.4210834,34.34814522,50.20226886,49.56312394048194,46.287297629716775,0.1001447438320087,-100.0,-60.71428571428588,1
2667,109/11/03,198711,8563165,42.85,43.2,42.85,43.075,0.25,131,1,30.65753386,33.11794143,38.03875658,53.00420786318261,53.35047274114251,0.1031984815541741,-44.4444444444448,-57.14285714285743,1
2668,109/11/04,118647,5103425,43.05,43.3,42.9,43.025,0.1000000000000014,85,1,38.95687442,35.06425243,27.27900844,54.37386983093805,56.1201510621422,0.1073880000413389,-22.2222222222224,-26.666666666667044,1
2669,109/11/05,168702,7300026,43.3,43.35,43.15,43.1,0.2000000000000028,134,0,51.89717554,40.6752268,18.23132932,57.12303682611359,61.59289246904321,0.1150159066427556,0.0,0.0,1
2670,109/11/06,200119,8656607,43.35,43.35,43.2,43.114999999999995,-0.1499999999999985,138,1,57.51478369,46.28841243,23.8356699,54.417935743086986,55.37689389997291,0.1217437539232467,-27.272727272726804,-27.272727272726804,1
2671,109/11/09,360940,15700926,43.2,43.9,43.2,43.114999999999995,0.1499999999999985,265,1,57.0098558,49.86222689,35.56696907,56.67480016518503,60.197205533896856,0.1296704603384873,0.0,0.0,1
2672,109/11/10,571022,25061892,43.55,44.1,43.5,43.2,0.6499999999999986,414,1,69.04105329,56.25516902,30.68340048,64.94746910341344,74.51346283274698,0.1480078825466997,0.0,0.0,1
