X,data,volume,price,open,high,low,close,diff,times,result,K,D,J,rsi10,rsi5,macd,WR5,WR10
0,1999/1/4,5429774,212092647,39.4,39.45,38.8,38.9,0.0,1941,0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0
1,1999/1/5,15419253,593951437,39.0,39.3,38.25,38.35,-0.5499999999999972,4711,1,36.11111111,45.37037037,63.88888889,0.0,0.0,-0.00685541310541598,0.0,0.0
2,1999/1/6,8292424,321546660,38.4,39.0,38.4,38.95,0.6000000000000014,2561,0,43.51851852,44.75308642,47.22222222,9.836065573770558,17.91044776119414,-0.002864390731089978,0.0,0.0
3,1999/1/7,18274471,699097948,38.6,38.8,37.95,38.0,-0.9500000000000028,5227,0,30.12345679,39.87654321,59.38271605,8.397480755773316,13.363028953229456,-0.01021517183166027,0.0,0.0
4,1999/1/8,13417535,510117980,38.0,38.2,37.9,38.0,0.0,3486,1,22.23284216,33.99530953,57.52024426,8.397480755773316,13.363028953229456,-0.018766353655316023,-100.0,0.0
5,1999/1/11,20173664,769306915,38.0,38.5,37.9,38.15,0.14999999999999858,3976,0,20.19823886,29.39628597,47.79238019,10.88751676390301,18.091468036721995,-0.02464895281781895,-84.21052631578966,0.0
6,1999/1/12,16585636,627437015,38.15,38.2,37.6,37.85,-0.29999999999999716,4443,0,17.96999708,25.58752301,40.82257486,10.273154262398734,15.996187128580184,-0.03216030775914249,-100.0,0.0
7,1999/1/13,13205671,496924994,37.8,38.05,37.45,37.55,-0.30000000000000426,3906,0,13.64666472,21.60723691,37.5283813,9.672756840331974,14.044319373576277,-0.04294041865381298,-100.0,0.0
8,1999/1/14,11586066,435192328,37.6,37.7,37.5,37.55,0.0,4253,0,10.76444315,17.99297232,32.45003068,9.672756840331976,14.044319373576277,-0.05417114678554645,-100.0,0.0
9,1999/1/15,10749516,403798163,37.7,37.85,37.45,37.5,-0.04999999999999716,3427,0,8.077196331,14.68771366,27.90874831,9.560081026806602,13.644733422563643,-0.0651373025368493,-100.0,-100.0
10,1999/1/18,11188860,416411632,37.35,37.45,37.1,37.2,-0.29999999999999716,3901,1,7.139183519,12.17153695,22.2362438,8.877557156692173,11.324813170950925,-0.07845427253278099,-100.0,-100.0
11,1999/1/19,7755833,289684914,37.1,37.6,37.1,37.5,0.29999999999999716,3204,1,12.60259293,12.31522228,11.74048096,15.512559920688604,26.351210260477863,-0.08836216198020433,-14.285714285713706,-82.85714285714302
12,1999/1/20,7865149,295811315,37.75,37.8,37.4,37.6,0.10000000000000142,2860,0,20.30649053,14.97897836,4.323954023,17.709592009860653,31.026363640824005,-0.09426204060296044,0.0,-57.89473684210522
13,1999/1/21,6585133,246739306,37.65,37.8,37.2,37.3,-0.30000000000000426,2720,0,18.29956511,16.08584061,11.6583916,16.30996825657677,25.254981788760777,-0.10087385750628593,-75.00000000000134,-89.47368421052687
14,1999/1/22,13468218,491777080,37.0,37.1,36.05,36.1,-1.1999999999999957,4177,0,12.97490387,15.0488617,19.19677735,12.101711567045804,13.3421358274105,-0.12198831297936197,-100.0,-100.0
15,1999/1/25,7963469,284625912,35.85,36.0,35.55,35.8,-0.30000000000000426,2591,0,11.98326925,14.02699755,18.11445415,11.29992743825848,11.688137609391086,-0.1538273825466216,-100.0,-100.0
16,1999/1/26,13694347,477302156,36.0,36.0,33.6,33.8,-2.0,4498,1,9.557473617,12.53715624,18.49652148,7.604969149143397,5.8682925467166625,-0.21513261867036185,-100.0,-100.0
17,1999/1/27,10545695,359652205,34.0,34.4,33.8,34.1,0.30000000000000426,3101,1,10.29321771,11.78917673,14.78109477,12.334794295543356,13.611068856646028,-0.2862533639717323,-91.4285714285713,-92.10526315789464
18,1999/1/28,5720104,197533803,34.6,34.8,34.15,34.35,0.25,2435,0,12.81452609,12.13095985,10.76382737,16.26413270145064,20.176895202834697,-0.3553262899434487,-76.086956521739,-85.52631578947359
19,1999/1/29,8147664,276425036,34.35,34.35,33.55,34.2,-0.14999999999999858,2700,0,13.64105661,12.63432543,10.62086309,15.79682188458141,19.130055882741857,-0.42038756890658546,-79.99999999999972,-89.47368421052619
20,1999/2/1,6257786,214007052,34.6,34.6,34.0,34.2,0.0,2194,1,14.19207695,13.15357594,11.07657392,15.796821884581409,19.130055882741853,-0.47836223775435366,-27.272727272726804,-89.47368421052619
21,1999/2/2,20391473,717255316,34.65,35.6,34.55,34.75,0.5499999999999972,5688,1,18.87314934,15.06010041,7.434002541,25.31716345066009,36.519947906249314,-0.5202058288865651,0.0,-74.99999999999996
22,1999/2/3,7310082,256967750,35.4,35.4,34.9,35.15,0.3999999999999986,2628,0,27.60557374,19.24192485,2.514627077,31.51198254380883,46.55063806129679,-0.5431027155569466,0.0,-61.42857142857139
23,1999/2/4,4335222,151107120,35.3,35.3,34.55,34.75,-0.3999999999999986,1708,0,34.73024644,24.40469871,3.753603266,28.87713988934875,39.13081311329801,-0.5572741955999352,-42.10526315789478,-58.69565217391299
24,1999/2/5,10519574,351419977,33.9,34.2,32.8,33.25,-1.5,3610,1,27.84099763,25.55013169,20.9683998,21.471465684646994,22.786686625300092,-0.5848863796819954,-100.0,-100.0
25,1999/2/6,4089290,136961736,33.5,33.65,32.95,33.55,0.29999999999999716,1363,0,27.48923651,26.19649996,23.61102686,25.6654227700148,29.82158222171795,-0.6137577000496918,-84.21052631578961,-84.21052631578961
26,1999/2/8,3901078,130700056,33.55,33.95,33.2,33.45,-0.09999999999999432,1609,1,26.06425291,26.15241761,26.32874701,25.172482867432677,28.772981097523243,-0.6418468998956185,-89.47368421052616,-89.47368421052616
27,1999/2/9,5601780,189886620,33.4,34.45,33.2,33.9,0.44999999999999574,2051,1,30.4714067,27.59208064,21.83342852,31.668835258169377,40.13919775098281,-0.660000323818522,-56.666666666666764,-65.78947368421058
28,1999/2/10,15159194,516048635,34.3,34.35,33.8,33.95,0.05000000000000426,4264,1,34.00474733,29.7296362,21.17941396,32.38628782893957,41.386319607204975,-0.6687336421883542,0.0,-63.157894736841925
29,1999/2/22,11702555,407015525,34.85,35.2,34.4,35.2,1.25,3978,1,51.24126012,36.90017751,8.218012285,47.53502786658834,63.93028544656348,-0.6513918419228423,0.0,0.0
30,1999/2/23,13120578,466198577,35.2,35.95,35.05,35.95,0.75,4278,0,67.49417341,47.09817614,6.306181605,54.29370480840784,71.75269910706372,-0.6062016819480213,0.0,0.0
31,1999/2/24,11838939,423972843,35.5,36.15,35.35,35.95,0.0,3135,0,76.33939919,56.84525049,17.8569531,54.29370480840784,71.7526991070637,-0.5446097267662934,0.0,0.0
32,1999/2/25,14364824,516490360,36.3,36.3,35.65,35.75,-0.20000000000000284,3704,0,78.98817089,64.22622396,34.7023301,52.12695531786902,66.23665547820569,-0.4777340012678368,-10.000000000000142,-7.407407407407505
33,1999/2/26,8553694,306046780,36.1,36.1,35.55,35.6,-0.14999999999999858,1649,1,79.0269398,69.15979591,49.42550812,50.465429299724576,61.95041826607518,-0.41222361461550366,-46.666666666666856,-12.962962962963001
34,1999/3/1,12567372,461302860,36.1,37.0,35.8,36.7,1.1000000000000014,3816,0,83.38638092,73.90199091,54.93321089,60.596840556271644,75.75620342116517,-0.3336048846705185,0.0,0.0
35,1999/3/2,9524978,348801522,37.0,37.0,36.2,36.45,-0.25,1644,0,84.09969254,77.30122479,63.70428928,57.649068844689545,68.93473456344822,-0.25392816382461264,-22.727272727272698,-7.6923076923076925
36,1999/3/3,15730927,566229990,36.3,36.55,35.7,35.8,-0.6500000000000057,3141,0,76.89979503,77.16741487,77.70265455,50.60813545473447,53.81572100706753,-0.18702884119431493,-81.81818181818224,-32.142857142857295
37,1999/3/4,14594246,521892017,36.3,36.3,35.1,35.45,-0.3499999999999943,3092,1,64.72806848,73.02096607,89.60676125,47.19406339582915,47.13578870807048,-0.13653228785898597,-100.0,-45.45454545454545
38,1999/3/5,8893246,321183993,36.0,36.5,35.75,36.2,0.75,2981,1,62.81016531,69.61736582,83.23176683,54.43895550436741,59.92649869831775,-0.08722919296402716,-40.0,-33.33333333333333
39,1999/3/8,5499354,199381695,36.2,36.45,36.1,36.25,0.04999999999999716,1880,0,62.04888214,67.09453792,77.1858495,54.89278902840403,60.687445243553974,-0.04030467475909025,-20.000000000000284,-36.00000000000023
40,1999/3/9,6016646,218741074,36.4,36.7,36.1,36.25,0.0,1996,0,61.54136002,65.24347862,72.64771583,54.89278902840403,60.687445243553974,0.002753601543293511,0.0,-36.00000000000023
41,1999/3/10,6643669,241509552,36.5,36.65,36.15,36.25,0.0,2221,0,61.20301194,63.8966564,69.2839453,54.89278902840403,60.687445243553974,0.04111936885486662,0.0,-36.00000000000023
42,1999/3/11,5393609,194546513,36.35,36.45,35.8,35.8,-0.45000000000000284,1912,0,53.08270972,60.2920075,74.71060308,49.041070739164276,46.8515547684411,0.06749685505392515,-100.0,-72.00000000000045
43,1999/3/12,7846395,281293265,35.9,36.0,35.7,35.75,-0.04999999999999716,1865,0,46.79198192,55.79199897,73.79203309,48.41032218766481,45.4693705225934,0.08405127882658622,-100.0,-76.00000000000023
44,1999/3/15,8273430,293462936,35.9,35.9,35.15,35.15,-0.6000000000000014,2783,1,32.23632128,47.94010641,79.34767667,41.38435053478514,31.91237287007813,0.08409435233207536,-100.0,-100.0
45,1999/3/16,7316183,257455153,35.3,35.5,35.1,35.3,0.14999999999999858,2047,1,25.65754752,40.51258678,70.2226653,43.63401732296698,37.50258027414175,0.07592813262472423,-86.36363636363652,-86.36363636363652
46,1999/3/17,11728494,420486790,35.8,36.1,35.6,36.05,0.75,3268,0,36.89669835,39.30729063,44.12847521,53.45846245532398,58.12901446413578,0.07454259824267857,0.0,-18.181818181818414
47,1999/3/18,13912868,499972748,36.1,36.4,35.65,35.75,-0.29999999999999716,3888,0,38.13946556,38.91801561,40.47511571,49.65070689262108,50.17967331878603,0.07263136208803618,-33.33333333333307,-45.454545454545396
48,1999/3/19,19487860,685836740,35.75,35.75,35.0,35.05,-0.7000000000000028,5803,1,26.40670253,34.74757792,51.42932869,41.97657784872276,36.28557850820088,0.05939513213843447,-100.0,-100.0
49,1999/3/22,12330098,432445962,35.3,35.4,34.8,35.3,0.25,3567,0,26.61347736,32.03621107,42.88167847,45.29812576734822,43.04427615878175,0.043531985775265486,-75.0,-79.16666666666671
50,1999/3/23,9429413,330203805,35.4,35.45,34.8,34.9,-0.3999999999999986,3757,0,19.76252026,27.9449808,44.30990187,41.152014520015975,35.76086930157847,0.02049114428627252,-100.0,-100.0
51,1999/3/24,10089113,351371054,35.0,35.05,34.6,34.65,-0.25,3645,0,14.10093943,23.33030034,41.78902216,38.71576764631639,31.733689721385645,-0.009805672019802314,-100.0,-100.0
52,1999/3/25,8713353,300520396,34.8,34.8,34.3,34.5,-0.14999999999999858,2627,0,12.57522946,19.74527672,34.08537122,37.25991961400103,29.35363311174013,-0.04539231176102621,-100.0,-100.0
53,1999/3/26,10909156,375957411,34.5,34.75,34.1,34.4,-0.10000000000000142,4184,1,12.7313124,17.40728861,26.75924104,36.26001723573694,27.692087029976815,-0.08389473940050855,-100.0,-100.0
54,1999/3/29,27103138,973197605,34.7,36.6,34.7,36.2,1.8000000000000043,8500,1,36.4875416,23.76737294,-1.672964377,58.37661349093527,67.46778931148144,-0.09368125091635873,0.0,0.0
55,1999/3/30,24115730,879433381,36.5,36.8,36.1,36.6,0.3999999999999986,6251,0,55.18922526,34.24132371,-7.654479384,61.6309852804933,71.62946545225968,-0.078443036945307,0.0,0.0
56,1999/3/31,9295868,337612348,36.6,36.6,36.15,36.15,-0.45000000000000284,2794,1,62.10145882,43.52803541,6.381188611,56.19392292447056,61.080889675140824,-0.05523944964718306,-20.45454545454556,-20.45454545454556
57,1999/4/1,31164685,1145315345,36.35,37.2,36.15,37.2,1.0500000000000043,8616,0,74.73430588,53.93012557,12.32176495,64.28164354263598,72.44361284298131,-0.0115624031325692,0.0,0.0
58,1999/4/2,19560748,725299126,37.2,37.3,36.8,37.15,-0.05000000000000426,5044,0,81.59370392,63.15131835,26.26654722,63.6659390574727,71.25484816479191,0.04189047377337155,-4.761904761905149,-1.7857142857144352
59,1999/4/6,11709032,434769304,37.5,37.6,36.65,36.7,-0.44999999999999574,4366,1,79.15770737,68.48678136,47.14492933,58.1517305589905,60.52792158168605,0.09145668566756535,-47.61904761904743,-17.85714285714283
60,1999/4/7,19896089,736068023,36.9,37.6,36.65,37.2,0.5,5703,0,82.29561444,73.08972572,54.67794828,62.15766748709587,67.12643912165295,0.14368790840457396,0.0,0.0
61,1999/4/8,10121128,374245634,37.2,37.2,36.7,36.95,-0.25,3333,0,82.0066001,76.06201718,64.17285134,59.04881252152088,61.007311415594565,0.19056462741952496,-50.0,-8.928571428571415
62,1999/4/9,7760398,285645554,36.8,37.0,36.6,36.7,-0.25,2472,0,77.65957248,76.59453561,74.46446188,55.96952622863994,54.991768368766905,0.22723259348572683,-100.0,-17.85714285714283
63,1999/4/12,10573398,388497545,36.9,36.95,36.65,36.7,0.0,2206,1,65.10638165,72.76515096,88.08268957,55.96952622863994,54.991768368766905,0.25506094676648833,-100.0,-47.61904761904743
64,1999/4/13,14919219,550039353,36.7,37.25,36.65,37.0,0.29999999999999716,3773,1,62.94448432,69.49159541,82.5858176,59.06880035263744,61.544148993464674,0.28006435371577193,-40.00000000000057,-19.04761904761924
65,1999/4/14,8343465,309139205,37.2,37.3,36.8,37.2,0.20000000000000284,2619,1,66.10092058,68.36137047,72.88227025,61.07791251357052,65.55571819414729,0.30451954881515775,0.0,0.0
66,1999/4/15,17276674,650611725,37.4,37.95,37.1,37.95,0.75,5490,0,77.40061372,71.37445155,59.32212722,67.63171502934887,76.5593150999541,0.33855578133162917,0.0,0.0
67,1999/4/16,9598366,360622654,37.9,37.9,37.2,37.75,-0.20000000000000284,2979,0,79.99547088,74.24812466,62.75343223,64.44846171757023,69.45872675721563,0.3728646574009356,-16.000000000000227,-16.000000000000227
68,1999/4/19,9828592,359665990,36.8,37.1,36.0,36.1,-1.6499999999999986,4061,1,55.03971563,67.84532165,93.4565337,45.15926016408735,36.210598821135065,0.37849092636815546,-100.0,-100.0
69,1999/4/20,9501296,346592270,36.25,37.2,35.3,36.95,0.8500000000000014,3512,0,57.44786073,64.37950134,78.24278257,53.11159756061525,50.77628617386413,0.37848586099248654,-54.05405405405401,-54.05405405405401
