X,data,volume,price,open,high,low,close,diff,times,result,K,D,J,rsi10,rsi5,macd,WR5,WR10
0,1999/1/4,12963867,157972089.0,12.15,12.35,12.0,12.25,0.0,2556,1,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0
1,1999/1/5,23725246,297202612.0,12.35,12.7,12.3,12.5,0.25,4167,1,57.14285714,52.38095238,42.85714286,0.0,0.0,0.0031160968660949428,0.0,0.0
2,1999/1/6,15153455,189513809.0,12.6,12.6,12.35,12.55,0.05000000000000071,2638,0,64.28571429,56.34920635,40.47619048,0.0,0.0,0.005403534072233394,0.0,0.0
3,1999/1/7,20727420,261647133.0,12.6,12.8,12.5,12.55,0.0,3692,1,65.77380952,59.49074074,46.92460317,0.0,0.0,0.006922996705364641,0.0,0.0
4,1999/1/8,25063455,319979383.0,12.55,12.95,12.55,12.75,0.1999999999999993,4589,1,70.16499582,63.04882577,48.81648566,0.0,0.0,0.010303449617739768,0.0,0.0
5,1999/1/11,27873517,363094517.0,12.7,13.15,12.7,13.15,0.40000000000000036,4780,0,80.10999722,68.73588292,45.98765432,0.0,0.0,0.018378727830862394,0.0,0.0
6,1999/1/12,13912021,180563180.0,13.2,13.2,12.85,13.0,-0.15000000000000036,2871,0,81.18444259,72.88540281,56.28732325,93.80321471551333,87.99184631539933,0.02551967851944057,-25.00000000000007,0.0
7,1999/1/13,22341128,282185679.0,12.85,12.9,12.45,12.5,-0.5,3479,1,68.01185061,71.26088541,77.758955,76.43581566561744,59.44085124139369,0.025737283135676803,-100.0,0.0
8,1999/1/14,7706303,97306933.0,12.5,12.7,12.5,12.65,0.15000000000000036,1549,1,63.3967893,68.63952004,79.12498152,77.79265268916387,63.68304715674128,0.02429585127285987,-76.92307692307688,0.0
9,1999/1/15,14378527,184212379.0,12.75,12.9,12.75,12.85,0.1999999999999993,2605,0,62.63489657,66.63797888,74.64414351,79.52204410581291,68.88936571946093,0.024364294965026893,-46.15384615384624,-33.3333333333334
10,1999/1/18,6347196,80721436.0,12.65,12.8,12.6,12.75,-0.09999999999999964,1482,0,57.44287222,63.57294333,75.83308554,76.25591865897735,63.43318086108726,0.023981973321660393,-50.0,-61.53846153846156
11,1999/1/19,7762040,97911486.0,12.85,12.9,12.5,12.5,-0.25,1749,1,40.51747037,55.88778568,86.62841629,68.5170628053554,51.25472894470602,0.02036106540823563,-100.0,-100.0
12,1999/1/20,7888103,99630515.0,12.75,12.75,12.55,12.6,0.09999999999999964,1626,0,33.67831358,48.48462831,78.09725777,69.86279561224275,55.367790597904374,0.016302566474164854,-71.4285714285715,-84.61538461538468
13,1999/1/21,6640873,83656672.0,12.6,12.75,12.5,12.55,-0.049999999999998934,1247,0,26.8966535,41.28863671,70.07260312,68.25807178106072,52.69974940672405,0.011600608214204824,-85.7142857142855,-92.30769230769221
14,1999/1/22,14487146,177674817.0,12.35,12.45,12.15,12.2,-0.3500000000000014,2518,0,19.51840392,34.03189244,63.05886949,57.999852944391364,37.514702710517156,0.0024769461679414787,-100.0,-100.0
15,1999/1/25,12231932,146725021.0,12.1,12.15,11.85,11.85,-0.34999999999999964,2129,0,13.01226928,27.02535139,55.05151561,49.771850420740385,27.87598848599549,-0.013085061771110221,-100.0,-100.0
