data,volume,price,open,high,low,close,diff,times,result
104/10/29,29809501,2598306587,88.00,88.30,86.60,86.80,-1.20,11766,0
104/10/30,25674963,2224536565,87.00,87.40,86.00,86.60,-0.20,9787,0
104/11/02,16294994,1416776084,87.20,87.40,86.20,87.40,+0.80,6960,1
104/11/03,25996506,2277591757,87.60,88.00,86.80,87.80,+0.40,13545,1
104/11/04,42234301,3741702432,88.20,89.00,87.80,88.70,+0.90,19101,1
104/11/05,20265895,1790940919,88.70,88.70,88.20,88.20,-0.50,13262,0
104/11/06,36227081,3153063823,87.90,88.50,86.50,86.60,-1.60,15412,0
104/11/09,22494042,1938429559,86.50,86.90,85.80,86.00,-0.60,11781,0
104/11/10,39128428,3319752285,85.10,85.40,84.50,84.50,-1.50,18400,0
104/11/11,47016010,3939712288,84.00,85.00,83.00,83.40,-1.10,20716,0
104/11/12,22272337,1864353620,83.50,84.30,83.40,83.90,+0.50,10651,1
104/11/13,27333176,2286155384,83.50,84.70,83.20,83.60,-0.30,11334,0
104/11/16,35694405,2957283774,82.70,83.50,82.60,82.80,-0.80,15014,0
104/11/17,37553065,3191648825,84.50,85.40,84.20,85.00,+2.20,18056,1
104/11/18,26482727,2247669282,85.50,85.50,84.20,84.80,-0.20,12023,0
104/11/19,18369447,1564077333,85.50,85.60,84.60,85.50,+0.70,9477,1
104/11/20,26810518,2305776448,86.30,86.30,85.60,86.00,+0.50,11731,1
104/11/23,17479587,1497502967,86.10,86.30,85.20,85.50,-0.50,7144,0
104/11/24,18971412,1608369240,85.20,85.50,84.30,84.30,-1.20,9086,0
104/11/25,17383169,1459511967,84.00,84.60,83.70,84.30,0.00,9261,0
104/11/26,18798540,1604888039,85.00,86.00,84.80,85.40,+1.10,8419,1
104/11/27,14448433,1224717105,85.10,85.40,84.30,85.00,-0.40,5479,0
104/11/30,71528936,6001811342,83.30,84.80,83.00,84.00,-1.00,16422,0
104/12/01,38201571,3259679297,85.10,86.00,84.50,86.00,+2.00,13875,1
104/12/02,20895883,1788756127,86.10,86.20,85.10,85.70,-0.30,9530,0
104/12/03,14450070,1226437450,84.60,85.30,84.60,84.70,-1.00,7620,0
104/12/04,20520063,1725826810,84.20,84.40,83.80,84.20,-0.50,8460,0
104/12/07,19528912,1662521802,84.60,85.80,84.60,84.70,+0.50,8446,1
104/12/08,24909273,2094142510,84.90,84.90,83.90,83.90,-0.80,9893,0
104/12/09,20179456,1685331013,83.90,84.30,83.20,83.30,-0.60,8699,0
104/12/10,29670293,2456073460,83.00,83.30,82.50,82.90,-0.40,12323,0
104/12/11,37343349,3109952200,83.90,84.00,82.80,83.10,+0.20,12488,1
104/12/14,41451457,3352411411,81.00,81.30,80.20,80.80,-2.30,18929,0
104/12/15,51309424,4110217407,80.90,81.30,79.60,80.00,-0.80,23177,0
104/12/16,30970728,2485320206,81.50,81.50,79.80,80.20,+0.20,14228,1
104/12/17,27078038,2202248163,80.50,82.40,80.20,82.40,+2.20,12418,1
104/12/18,29887332,2427897690,81.40,81.70,80.90,81.20,-1.20,9592,0
104/12/21,17792188,1441538823,80.50,82.00,80.30,81.40,+0.20,7334,1
104/12/22,18412580,1488918285,81.40,81.70,80.50,80.70,-0.70,8015,0
104/12/23,18028243,1466742122,81.00,81.70,80.80,81.30,+0.60,7304,1
104/12/24,11630742,949895215,81.70,81.90,81.40,81.60,+0.30,5579,1
