date,dividend,PE,netWorth,season
099年01月04日,-,0.00,1.08,0
099年01月05日,-,0.00,1.09,0
099年01月06日,-,0.00,1.17,0
099年01月07日,-,0.00,1.17,0
099年01月08日,-,0.00,1.16,0
099年01月11日,-,0.00,1.18,0
099年01月12日,-,0.00,1.17,0
099年01月13日,-,0.00,1.13,0
099年01月14日,-,0.00,1.14,0
099年01月15日,-,0.00,1.14,0
099年01月18日,-,0.00,1.13,0
099年01月19日,-,0.00,1.11,0
099年01月20日,-,0.00,1.15,0
099年01月21日,-,0.00,1.14,0
099年01月22日,-,0.00,1.12,0
099年01月25日,-,0.00,1.11,0
099年01月26日,-,0.00,1.05,0
099年01月27日,-,0.00,1.04,0
099年01月28日,-,0.00,1.05,0
099年01月29日,-,0.00,1.02,0
099年02月01日,-,0.00,0.98,0
099年02月02日,-,0.00,0.99,0
099年02月03日,-,0.00,1.06,0
099年02月04日,-,0.00,1.05,0
099年02月05日,-,0.00,1.00,0
099年02月06日,-,0.00,1.02,0
099年02月08日,-,0.00,1.02,0
099年02月09日,-,0.00,1.03,0
099年02月10日,-,0.00,1.03,0
099年02月22日,-,0.00,1.05,0
099年02月23日,-,0.00,1.04,0
099年02月24日,-,0.00,1.01,0
099年02月25日,-,0.00,0.98,0
099年02月26日,-,0.00,0.98,0
099年03月01日,-,0.00,1.02,0
099年03月02日,-,0.00,1.00,0
099年03月03日,-,0.00,1.01,0
099年03月04日,-,0.00,1.00,0
099年03月05日,-,0.00,1.02,0
099年03月08日,-,0.00,1.03,0
099年03月09日,-,0.00,1.04,0
099年03月10日,-,0.00,1.05,0
099年03月11日,-,0.00,1.06,0
099年03月12日,-,0.00,1.06,0
099年03月15日,-,0.00,1.04,0
099年03月16日,-,0.00,1.05,0
099年03月17日,-,0.00,1.07,0
099年03月18日,-,0.00,1.06,0
099年03月19日,-,0.00,1.08,0
099年03月22日,-,0.00,1.06,0
099年03月23日,-,0.00,1.05,0
099年03月24日,-,0.00,1.06,0
099年03月25日,-,0.00,1.06,0
099年03月26日,-,0.00,1.03,0
099年03月29日,55.83,0.00,1.02,0
099年03月30日,56.00,0.00,1.02,0
099年03月31日,56.17,0.00,1.02,0
099年04月01日,56.33,0.00,1.03,0
099年04月02日,55.83,0.00,1.02,0
099年04月06日,56.83,0.00,1.04,0
099年04月07日,57.33,0.00,1.05,0
099年04月08日,56.83,0.00,1.04,0
099年04月09日,56.50,2.95,1.03,0
099年04月12日,56.50,2.95,1.03,0
099年04月13日,55.33,3.01,1.01,0
099年04月14日,55.50,3.00,1.01,0
099年04月15日,55.33,3.01,1.01,0
099年04月16日,55.67,2.99,1.02,0
099年04月19日,54.00,3.09,0.98,0
099年04月20日,54.50,3.06,0.99,0
099年04月21日,54.50,3.06,0.99,0
099年04月22日,54.17,3.08,0.99,0
099年04月23日,54.00,3.09,0.98,0
099年04月26日,56.00,2.98,1.02,0
099年04月27日,55.50,3.00,1.01,0
099年04月28日,54.67,3.05,1.00,0
099年04月29日,53.67,3.11,0.98,0
099年04月30日,53.33,3.13,1.00,0
099年05月03日,13.28,3.16,0.99,0
099年05月04日,13.15,3.19,0.98,0
099年05月05日,12.35,3.40,0.92,0
099年05月06日,12.39,3.39,0.92,0
099年05月07日,12.44,3.38,0.93,0
099年05月10日,12.61,3.33,0.94,0
099年05月11日,12.69,3.31,0.94,0
099年05月12日,12.52,3.36,0.93,0
099年05月13日,12.86,3.27,0.96,0
099年05月14日,12.77,3.29,0.95,0
099年05月17日,12.52,3.36,0.93,0
099年05月18日,12.35,3.40,0.92,0
099年05月19日,12.14,3.46,0.90,0
099年05月20日,11.76,3.57,0.88,0
099年05月21日,11.76,3.57,0.88,0
099年05月24日,12.02,3.50,0.89,0
099年05月25日,11.60,3.62,0.86,0
099年05月26日,11.76,3.57,0.88,0
099年05月27日,11.85,3.55,0.88,0
099年05月28日,12.06,3.48,0.90,0
099年05月31日,12.69,3.31,0.94,0
099年06月01日,12.44,3.38,0.93,0
099年06月02日,12.10,3.47,0.90,0
099年06月03日,12.52,3.36,0.93,0
099年06月04日,12.31,3.41,0.92,0
