date,dividend,PE,netWorth,season
099年08月13日,12.31,5.65,4.20,0
099年08月16日,12.31,5.65,4.20,0
099年08月17日,12.20,5.70,4.16,0
099年08月18日,12.23,5.69,4.17,0
099年08月19日,12.25,5.68,4.18,0
099年08月20日,12.12,5.74,4.13,0
099年08月23日,11.99,5.81,4.09,0
099年08月24日,11.96,5.82,4.08,0
099年08月25日,11.53,6.03,3.93,0
099年08月26日,11.72,5.94,4.00,0
099年08月27日,11.76,5.96,4.01,0
099年08月30日,11.73,5.97,4.00,0
099年08月31日,11.76,5.96,4.59,0
099年09月01日,11.82,5.95,4.60,0
099年09月02日,12.02,5.84,4.68,0
099年09月03日,12.83,5.48,5.00,0
099年09月06日,12.89,5.45,5.02,0
099年09月07日,12.75,5.51,4.96,0
099年09月08日,12.62,5.57,4.91,0
099年09月09日,12.47,5.64,4.85,0
099年09月10日,12.83,5.48,5.00,0
099年09月13日,12.97,5.42,5.05,0
099年09月14日,13.10,5.36,5.10,0
099年09月15日,12.92,5.44,5.03,0
099年09月16日,12.83,5.48,5.00,0
099年09月17日,12.93,5.44,5.03,0
099年09月20日,12.79,5.49,4.98,0
099年09月21日,12.75,5.51,4.96,0
099年09月23日,12.56,5.59,4.89,0
099年09月24日,12.05,5.83,4.69,0
099年09月27日,12.21,5.75,4.75,0
099年09月28日,12.28,5.72,4.78,0
099年09月29日,12.13,5.79,4.72,0
099年09月30日,11.86,5.92,4.62,0
099年10月01日,12.13,5.79,4.72,0
099年10月04日,11.56,6.08,4.50,0
099年10月05日,11.23,6.26,4.37,0
099年10月06日,11.15,6.31,4.34,0
099年10月07日,11.20,6.28,4.36,0
099年10月08日,11.08,6.34,4.31,0
099年10月11日,11.08,6.34,4.31,0
099年10月12日,10.83,6.49,4.22,0
099年10月13日,10.94,6.42,4.26,0
099年10月14日,10.92,6.44,4.25,0
099年10月15日,10.54,6.67,4.10,0
099年10月18日,10.16,6.92,3.95,0
099年10月19日,10.28,6.84,4.00,0
099年10月20日,10.61,6.63,4.13,0
099年10月21日,10.46,6.72,4.07,0
099年10月22日,10.46,6.72,4.07,0
099年10月25日,10.67,6.58,4.15,0
099年10月26日,10.62,6.62,4.13,0
099年10月27日,10.35,6.79,4.03,0
099年10月28日,10.56,6.65,4.11,0
099年10月29日,10.40,6.76,4.05,0
099年11月01日,10.63,6.61,3.90,0
099年11月02日,11.88,6.71,3.84,0
099年11月03日,12.05,6.62,3.90,0
099年11月04日,12.32,6.47,3.99,0
099年11月05日,12.14,6.57,3.93,0
099年11月08日,11.80,6.76,3.82,0
099年11月09日,11.73,6.80,3.80,0
099年11月10日,11.68,6.83,3.78,0
099年11月11日,11.71,6.81,3.79,0
099年11月12日,11.59,6.88,3.75,0
099年11月15日,11.65,6.84,3.77,0
099年11月16日,11.80,6.76,3.82,0
099年11月17日,11.74,6.79,3.80,0
099年11月18日,11.66,6.84,3.78,0
099年11月19日,11.73,6.80,3.80,0
099年11月22日,12.14,6.57,3.93,0
099年11月23日,12.23,6.52,3.96,0
099年11月24日,12.26,6.50,3.97,0
099年11月25日,12.17,6.55,3.94,0
099年11月26日,12.20,6.54,3.95,0
099年11月29日,12.11,6.58,3.92,0
099年11月30日,11.97,6.66,3.87,0
099年12月01日,12.00,6.64,3.88,0
099年12月02日,12.11,6.58,3.92,0
099年12月03日,12.95,6.16,4.19,0
099年12月06日,12.98,6.14,4.20,0
099年12月07日,12.86,6.20,4.16,0
099年12月08日,13.00,6.13,4.21,0
099年12月09日,13.06,6.11,4.23,0
099年12月10日,12.81,6.22,4.15,0
099年12月13日,13.12,6.08,4.25,0
099年12月14日,13.21,6.03,4.28,0
099年12月15日,13.09,6.09,4.24,0
099年12月16日,12.92,6.17,4.18,0
099年12月17日,13.24,6.02,4.29,0
099年12月20日,13.18,6.05,4.27,0
099年12月21日,13.30,5.99,4.31,0
099年12月22日,13.14,6.07,4.25,0
099年12月23日,13.23,6.03,4.28,0
099年12月24日,12.98,6.14,4.20,0
099年12月27日,12.66,6.30,4.10,0
099年12月28日,12.69,6.28,4.11,0
099年12月29日,12.57,6.34,4.07,0
099年12月30日,12.49,6.38,4.04,0
099年12月31日,12.80,6.23,4.14,0
100年01月03日,12.72,6.27,4.12,0
100年01月04日,12.81,6.22,4.15,0
100年01月05日,12.88,6.19,4.17,0
100年01月06日,12.60,6.33,4.08,0
100年01月07日,11.96,6.67,3.87,0
100年01月10日,11.80,6.76,3.82,0
100年01月11日,12.20,6.54,3.95,0
100年01月12日,12.72,6.27,4.12,0
100年01月13日,12.60,6.33,4.08,0
100年01月14日,12.43,6.41,4.02,0
100年01月17日,12.19,6.54,3.94,0
100年01月18日,12.26,6.50,3.97,0
100年01月19日,12.31,6.48,3.98,0
100年01月20日,12.20,6.54,3.95,0
100年01月21日,12.12,6.58,3.92,0
100年01月24日,12.08,6.60,3.91,0
100年01月25日,12.14,6.57,3.93,0
100年01月26日,12.29,6.49,3.98,0
100年01月27日,12.45,6.41,4.03,0
100年01月28日,12.14,6.57,3.93,0
100年02月08日,11.30,7.06,3.66,0
100年02月09日,10.59,7.53,3.43,0
100年02月10日,10.84,7.36,3.51,0
100年02月11日,10.58,7.54,3.42,0
100年02月14日,10.67,7.47,3.45,0
100年02月15日,10.78,7.40,3.49,0
100年02月16日,10.67,7.47,3.45,0
100年02月17日,10.39,7.67,3.36,0
100年02月18日,10.52,7.58,3.40,0
100年02月21日,10.39,7.67,3.36,0
100年02月22日,10.16,7.85,3.29,0
100年02月23日,10.24,7.79,3.31,0
100年02月24日,10.24,7.79,3.31,0
100年02月25日,10.24,7.79,3.31,0
100年03月01日,10.06,7.93,3.25,0
100年03月02日,10.59,7.53,3.43,0
100年03月03日,10.44,7.64,3.38,0
100年03月04日,10.29,7.75,3.33,0
100年03月07日,10.18,7.83,3.29,0
100年03月08日,10.45,7.63,3.38,0
100年03月09日,10.52,7.58,3.40,0
100年03月10日,10.67,7.47,3.45,0
100年03月11日,10.58,7.54,3.42,0
100年03月14日,10.30,7.74,3.33,0
100年03月15日,9.76,8.17,3.16,0
100年03月16日,10.07,7.92,3.26,0
100年03月17日,10.55,7.56,3.41,0
100年03月18日,10.62,7.51,3.44,0
100年03月21日,10.45,7.63,3.38,0
100年03月22日,10.67,7.47,3.45,0
100年03月23日,10.67,7.47,3.45,0
100年03月24日,10.50,5.84,3.40,0
100年03月25日,10.52,5.83,3.40,0
100年03月28日,10.44,5.87,3.38,0
100年03月29日,10.45,5.87,3.38,0
100年03月30日,10.29,5.96,3.33,0
100年03月31日,10.36,5.92,3.35,0
100年04月01日,10.52,5.83,3.40,0
100年04月06日,10.71,5.72,3.47,0
100年04月07日,10.76,5.70,3.48,0
100年04月08日,10.73,5.71,3.47,0
100年04月11日,10.85,5.65,3.51,0
100年04月12日,10.61,5.78,3.43,0
100年04月13日,10.65,5.76,3.45,0
100年04月14日,10.39,5.90,3.36,0
100年04月15日,10.30,5.95,3.33,0
100年04月18日,9.81,6.25,3.18,0
100年04月19日,9.47,6.47,3.07,0
100年04月20日,9.44,6.49,3.06,0
100年04月21日,9.64,6.36,3.12,0
100年04月22日,9.53,6.43,3.09,0
100年04月25日,9.37,6.55,3.03,0
100年04月26日,9.60,6.39,3.11,0
