data,volume,price,open,high,low,close,diff,times,result
100/11/01,109079203,9268345884,84.00,87.00,82.60,86.90,+3.60,44266,1
100/11/02,78453341,6743409154,85.50,86.90,84.40,86.90,0.00,33897,0
100/11/03,80874765,6888047209,86.80,86.80,83.80,83.80,-3.10,30397,0
100/11/04,47602870,4064454189,85.90,86.40,84.50,84.60,+0.80,18737,1
100/11/07,27424148,2305145667,84.90,85.00,83.60,84.10,-0.50,12037,0
100/11/08,25076289,2117951181,83.60,85.10,83.60,84.20,+0.10,10760,1
100/11/09,41392298,3446062117,84.20,84.50,82.50,82.60,-1.60,17809,0
100/11/10,77484792,6175921167,80.30,81.00,78.00,79.10,-3.50,32089,0
100/11/11,51226686,4188264971,81.80,82.30,80.70,82.30,+3.20,23334,1
100/11/14,37442342,3134457163,83.80,84.10,83.10,83.80,+1.50,14518,1
100/11/15,25314596,2097899323,83.50,83.70,82.30,82.50,-1.30,11234,0
100/11/16,25768539,2125607598,83.00,83.50,81.40,82.00,-0.50,11938,0
100/11/17,24817446,2027209372,81.50,82.10,81.30,81.90,-0.10,11049,0
100/11/18,28112583,2257672567,80.10,81.00,80.10,80.10,-1.80,14088,0
100/11/21,31265664,2458363159,78.50,79.50,78.10,78.20,-1.90,15485,0
100/11/22,35171913,2757773814,79.10,79.40,77.50,77.60,-0.60,16074,0
100/11/23,43662957,3336696567,77.00,77.50,75.20,75.20,-2.40,18371,0
100/11/24,41025795,3079850220,74.60,76.60,73.10,76.00,+0.80,17759,1
100/11/25,37432477,2868415252,76.60,78.10,75.00,75.70,-0.30,15218,0
100/11/28,34884569,2699127727,76.70,78.40,76.70,77.90,+2.20,14406,1
100/11/29,33402475,2625973058,78.60,79.40,77.90,79.30,+1.40,13275,1
100/11/30,38695718,3071661335,80.00,80.00,78.50,79.70,+0.40,13575,1
100/12/01,52829523,4390678362,83.90,84.00,82.40,82.80,+3.10,22060,1
100/12/02,23260024,1914969247,82.60,83.40,81.70,81.80,-1.00,10762,0
100/12/05,19096638,1564141116,82.50,82.50,81.10,82.20,+0.40,9752,1
100/12/06,23824094,1927285320,82.00,82.00,80.00,80.00,-2.20,10051,0
100/12/07,21740708,1765841489,80.70,81.80,80.70,81.30,+1.30,9489,1
100/12/08,23038988,1870056920,81.80,81.80,80.50,81.60,+0.30,8596,1
100/12/09,25415088,2033867240,80.40,80.80,79.50,79.70,-1.90,10742,0
100/12/12,24478110,2006893227,82.20,82.50,81.50,81.90,+2.20,10855,1
100/12/13,21293150,1735524836,81.30,82.00,80.90,81.50,-0.40,8300,0
100/12/14,15852753,1294226066,81.90,81.90,80.90,81.90,+0.40,6481,1
100/12/15,38720965,3084414535,81.40,81.40,78.60,78.80,-3.10,17358,0
100/12/16,22237549,1764203020,78.80,80.00,78.30,80.00,+1.20,10668,1
100/12/19,28500915,2224234487,79.10,79.40,77.30,77.80,-2.20,13813,0
