date,dividend,PE,netWorth,season
099年01月04日,34.50,2.23,4.17,0
099年01月05日,33.65,2.29,4.06,0
099年01月06日,34.35,2.24,4.15,0
099年01月07日,33.25,2.32,4.02,0
099年01月08日,33.65,2.29,4.06,0
099年01月11日,33.30,2.31,4.02,0
099年01月12日,32.90,2.34,3.97,0
099年01月13日,32.50,2.37,3.93,0
099年01月14日,33.90,2.27,4.09,0
099年01月15日,33.75,2.28,4.08,0
099年01月18日,33.40,2.31,4.03,0
099年01月19日,32.55,2.37,3.93,0
099年01月20日,32.10,2.40,3.88,0
099年01月21日,31.20,2.47,3.77,0
099年01月22日,31.75,2.43,3.83,0
099年01月25日,31.95,2.41,3.86,0
099年01月26日,30.00,2.57,3.62,0
099年01月27日,30.00,2.57,3.62,0
099年01月28日,32.10,2.40,3.88,0
099年01月29日,31.45,2.45,3.80,0
099年02月01日,30.40,2.53,3.67,0
099年02月02日,28.50,2.70,3.44,0
099年02月03日,28.90,2.66,3.49,0
099年02月04日,29.10,2.65,3.51,0
099年02月05日,27.55,2.79,3.33,0
099年02月06日,28.20,2.73,3.41,0
099年02月08日,28.15,2.74,3.40,0
099年02月09日,28.70,2.68,3.47,0
099年02月10日,29.00,2.66,3.50,0
099年02月22日,28.75,2.68,3.47,0
099年02月23日,29.20,2.64,3.53,0
099年02月24日,28.95,2.66,3.50,0
099年02月25日,28.15,2.74,3.40,0
099年02月26日,27.65,2.78,3.34,0
099年03月01日,28.95,2.66,3.50,0
099年03月02日,28.85,2.67,3.48,0
099年03月03日,28.55,2.70,3.46,0
099年03月04日,28.65,2.69,3.47,0
099年03月05日,29.10,2.65,3.53,0
099年03月08日,30.20,2.55,3.66,0
099年03月09日,30.50,2.52,3.70,0
099年03月10日,30.25,2.55,3.67,0
099年03月11日,30.00,2.57,3.64,0
099年03月12日,29.70,2.59,3.60,0
099年03月15日,29.40,2.62,3.57,0
099年03月16日,29.55,2.61,3.58,0
099年03月17日,29.75,2.59,3.61,0
099年03月18日,29.55,2.61,3.58,0
099年03月19日,29.55,2.61,3.58,0
099年03月22日,29.00,2.66,3.52,0
099年03月23日,29.20,2.64,3.54,0
099年03月24日,29.25,2.63,3.55,0
099年03月25日,29.85,2.58,3.62,0
099年03月26日,29.60,2.60,3.59,0
099年03月29日,29.50,2.61,3.58,0
099年03月30日,29.20,2.64,3.54,0
099年03月31日,29.50,2.61,3.58,0
099年04月01日,30.35,2.54,3.68,0
099年04月02日,30.40,2.53,3.69,0
099年04月06日,30.15,2.55,3.66,0
099年04月07日,30.45,2.53,3.69,0
099年04月08日,29.85,2.58,3.51,0
099年04月09日,28.55,2.61,3.48,0
099年04月12日,28.26,2.63,3.44,0
099年04月13日,28.12,2.65,3.43,0
099年04月14日,28.50,2.61,3.47,0
099年04月15日,28.94,2.57,3.53,0
099年04月16日,28.36,2.62,3.45,0
099年04月19日,26.81,2.77,3.27,0
099年04月20日,27.15,2.74,3.31,0
099年04月21日,27.97,2.66,3.41,0
099年04月22日,27.78,2.68,3.38,0
099年04月23日,27.78,2.68,3.38,0
099年04月26日,28.07,2.65,3.42,0
099年04月27日,28.02,2.66,3.41,0
099年04月28日,27.58,2.70,3.25,0
099年04月29日,22.90,2.71,3.24,0
099年04月30日,22.34,2.78,3.16,0
099年05月03日,21.85,2.84,3.09,0
099年05月04日,21.73,2.86,3.07,0
099年05月05日,20.93,2.99,2.95,0
099年05月06日,20.93,2.99,2.95,0
099年05月07日,20.93,3.88,2.95,0
099年05月10日,21.06,3.86,2.97,0
099年05月11日,20.73,3.92,2.93,0
099年05月12日,21.10,3.85,2.98,0
099年05月13日,21.59,3.77,3.05,0
099年05月14日,21.63,3.76,3.05,0
099年05月17日,21.06,3.86,2.97,0
099年05月18日,20.89,3.89,2.95,0
099年05月19日,21.95,3.70,3.10,0
099年05月20日,21.18,3.84,2.99,0
099年05月21日,20.33,4.00,2.87,0
099年05月24日,20.57,3.95,2.90,0
099年05月25日,19.86,4.09,2.80,0
099年05月26日,19.92,4.08,2.81,0
099年05月27日,21.26,3.82,3.00,0
099年05月28日,21.22,3.83,2.99,0
099年05月31日,21.26,3.82,3.00,0
099年06月01日,21.26,3.82,3.00,0
099年06月02日,20.81,3.91,2.94,0
099年06月03日,21.30,3.82,3.01,0
099年06月04日,21.38,3.80,3.02,0
099年06月07日,21.14,3.85,2.98,0
099年06月08日,21.10,3.85,2.98,0
099年06月09日,20.41,3.98,2.88,0
099年06月10日,20.81,3.91,2.94,0
099年06月11日,20.98,3.88,2.96,0
099年06月14日,21.22,3.83,2.99,0
099年06月15日,21.06,3.86,2.97,0
099年06月17日,21.50,3.78,3.03,0
099年06月18日,21.14,3.85,2.98,0
099年06月21日,21.46,3.79,3.03,0
099年06月22日,21.34,3.81,3.01,0
099年06月23日,21.67,3.75,3.06,0
099年06月24日,21.54,3.77,3.04,0
099年06月25日,21.18,3.84,2.99,0
099年06月28日,20.77,3.91,2.93,0
099年06月29日,20.45,3.98,2.89,0
099年06月30日,20.33,4.00,2.87,0
099年07月01日,20.24,4.02,2.86,0
099年07月02日,20.33,4.00,2.87,0
099年07月05日,20.73,3.92,2.93,0
099年07月06日,20.93,3.88,2.95,0
099年07月07日,20.73,3.92,2.93,0
099年07月08日,22.15,3.67,3.13,0
099年07月09日,21.91,3.71,3.09,0
099年07月12日,22.07,3.68,3.12,0
099年07月13日,21.99,3.70,3.10,0
099年07月14日,22.36,3.64,3.16,0
099年07月15日,22.20,3.66,3.13,0
099年07月16日,21.79,3.73,3.08,0
099年07月19日,21.54,3.77,3.04,0
099年07月20日,21.71,3.75,3.06,0
099年07月21日,22.03,3.69,3.11,0
099年07月22日,21.95,3.70,3.10,0
099年07月23日,22.32,3.64,3.15,0
099年07月26日,22.11,3.68,3.12,0
099年07月27日,22.20,3.66,3.13,0
099年07月28日,22.11,3.68,3.12,0
099年07月29日,21.50,3.76,3.03,0
099年07月30日,21.30,3.80,3.01,0
099年08月02日,22.11,3.66,3.12,0
099年08月03日,22.36,3.62,3.16,0
099年08月04日,22.07,3.66,3.12,0
099年08月05日,21.91,3.69,3.09,0
099年08月06日,21.75,3.72,3.07,0
099年08月09日,22.07,3.66,3.12,0
099年08月10日,21.75,3.72,3.07,0
099年08月11日,21.54,3.75,3.04,0
099年08月12日,21.71,3.73,3.06,0
099年08月13日,23.21,3.49,3.28,0
099年08月16日,22.93,3.53,3.24,0
099年08月17日,23.05,3.51,3.25,0
099年08月18日,23.01,3.52,3.25,0
099年08月19日,23.82,3.40,3.36,0
099年08月20日,23.46,3.45,3.31,0
099年08月23日,23.13,3.50,3.26,0
099年08月24日,23.01,3.52,3.25,0
099年08月25日,21.79,3.71,3.32,0
099年08月26日,22.07,3.66,3.36,0
099年08月27日,22.44,3.61,3.42,0
099年08月30日,22.24,3.64,3.39,0
099年08月31日,21.26,3.80,3.24,0
099年09月01日,21.59,3.75,3.29,0
099年09月02日,22.24,3.64,3.39,0
099年09月03日,22.80,3.55,3.48,0
099年09月06日,23.33,3.47,3.56,0
099年09月07日,22.97,3.52,3.50,0
099年09月08日,23.94,3.38,3.65,0
099年09月09日,24.43,3.31,3.72,0
099年09月10日,24.63,3.28,3.75,0
099年09月13日,25.24,3.20,3.85,0
099年09月14日,25.33,3.19,3.86,0
099年09月15日,24.72,3.27,3.77,0
099年09月16日,24.67,3.28,3.76,0
099年09月17日,24.84,3.26,3.79,0
099年09月20日,24.88,3.25,3.79,0
099年09月21日,24.96,3.24,3.80,0
099年09月23日,25.00,3.24,3.81,0
099年09月24日,24.80,3.26,3.78,0
099年09月27日,24.19,3.34,3.69,0
099年09月28日,24.07,3.36,3.67,0
099年09月29日,24.31,3.33,3.71,0
099年09月30日,24.51,3.30,3.74,0
099年10月01日,23.98,3.37,3.66,0
099年10月04日,23.54,3.44,3.59,0
099年10月05日,23.74,3.41,3.62,0
099年10月06日,23.74,3.41,3.62,0
099年10月07日,24.07,3.36,3.67,0
099年10月08日,23.66,3.42,3.61,0
099年10月11日,23.86,3.39,3.64,0
099年10月12日,23.82,3.40,3.63,0
099年10月13日,24.15,3.35,3.68,0
099年10月14日,23.98,3.37,3.66,0
099年10月15日,23.86,3.39,3.64,0
099年10月18日,23.37,3.46,3.56,0
099年10月19日,23.86,3.39,3.64,0
099年10月20日,24.39,3.32,3.72,0
099年10月21日,24.35,3.32,3.71,0
099年10月22日,24.72,3.27,3.77,0
099年10月25日,24.63,3.28,3.75,0
099年10月26日,24.55,3.29,3.74,0
099年10月27日,23.86,3.39,3.64,0
099年10月28日,24.80,3.26,3.78,0
099年10月29日,24.51,3.30,3.54,0
099年11月01日,24.40,3.38,3.45,0
099年11月02日,23.98,3.44,3.39,0
099年11月03日,23.03,3.59,3.26,0
099年11月04日,23.07,3.58,3.26,0
099年11月05日,22.82,3.62,3.23,0
099年11月08日,22.45,3.68,3.18,0
099年11月09日,22.45,3.68,3.18,0
099年11月10日,22.57,3.66,3.19,0
099年11月11日,22.70,3.64,3.21,0
099年11月12日,22.74,3.63,3.22,0
099年11月15日,23.11,3.57,3.27,0
099年11月16日,23.11,3.57,3.27,0
099年11月17日,23.28,3.55,3.29,0
099年11月18日,23.44,3.52,3.32,0
099年11月19日,23.24,3.55,3.29,0
099年11月22日,23.44,3.52,3.32,0
099年11月23日,23.32,3.54,3.30,0
099年11月24日,22.90,3.61,3.24,0
099年11月25日,23.94,3.45,3.39,0
099年11月26日,23.86,3.46,3.38,0
099年11月29日,24.07,3.43,3.41,0
099年11月30日,24.44,3.38,3.46,0
099年12月01日,24.77,3.33,3.51,0
099年12月02日,24.69,3.34,3.49,0
099年12月03日,24.81,3.33,3.51,0
099年12月06日,24.81,3.33,3.51,0
099年12月07日,24.52,3.37,3.47,0
099年12月08日,24.61,3.36,3.48,0
099年12月09日,24.94,3.31,3.53,0
099年12月10日,24.73,3.34,3.50,0
099年12月13日,24.94,3.31,3.53,0
099年12月14日,24.65,3.35,3.49,0
099年12月15日,24.15,3.42,3.42,0
099年12月16日,24.11,3.43,3.41,0
099年12月17日,24.32,3.40,3.44,0
099年12月20日,24.07,3.43,3.41,0
099年12月21日,24.61,3.36,3.48,0
099年12月22日,24.85,3.32,3.52,0
099年12月23日,24.69,3.34,3.49,0
099年12月24日,24.36,3.39,3.45,0
099年12月27日,24.56,3.36,3.48,0
099年12月28日,24.23,3.41,3.43,0
099年12月29日,23.73,3.48,3.36,0
099年12月30日,23.49,3.52,3.32,0
099年12月31日,23.65,3.49,3.35,0
100年01月03日,24.19,3.41,3.42,0
100年01月04日,24.44,3.38,3.46,0
100年01月05日,24.07,3.43,3.41,0
100年01月06日,24.27,3.40,3.44,0
100年01月07日,24.69,3.34,3.49,0
100年01月10日,24.56,3.36,3.48,0
100年01月11日,24.61,3.36,3.48,0
100年01月12日,24.65,3.35,3.49,0
100年01月13日,24.40,3.38,3.45,0
100年01月14日,24.32,3.40,3.44,0
100年01月17日,26.02,3.17,3.68,0
100年01月18日,26.02,3.17,3.68,0
100年01月19日,25.81,3.20,3.65,0
100年01月20日,26.56,3.11,3.76,0
100年01月21日,26.14,3.16,3.70,0
100年01月24日,25.93,3.18,3.67,0
100年01月25日,26.14,3.16,3.70,0
100年01月26日,25.98,3.18,3.68,0
100年01月27日,26.39,3.13,3.73,0
100年01月28日,26.22,3.15,3.71,0
100年02月08日,25.77,3.20,3.65,0
100年02月09日,24.73,3.34,3.50,0
100年02月10日,24.81,3.33,3.51,0
100年02月11日,24.02,3.44,3.40,0
100年02月14日,23.61,3.50,3.34,0
100年02月15日,24.07,3.43,3.41,0
100年02月16日,24.48,3.37,3.46,0
100年02月17日,23.86,3.46,3.38,0
100年02月18日,23.98,3.44,3.39,0
100年02月21日,22.32,3.70,3.16,0
100年02月22日,20.79,3.97,2.94,0
100年02月23日,20.39,4.05,2.89,0
100年02月24日,20.37,4.05,2.88,0
100年02月25日,20.68,3.99,2.93,0
100年03月01日,20.66,4.00,2.92,0
100年03月02日,20.68,3.99,2.93,0
100年03月03日,20.67,4.03,2.92,0
100年03月04日,20.54,4.05,2.90,0
100年03月07日,19.92,4.18,2.81,0
100年03月08日,19.92,4.18,2.81,0
100年03月09日,20.00,4.16,2.82,0
100年03月10日,20.08,4.15,2.83,0
100年03月11日,19.75,4.22,2.79,0
100年03月14日,18.37,4.53,2.59,0
100年03月15日,17.09,4.87,2.41,0
100年03月16日,17.30,4.81,2.44,0
100年03月17日,18.20,4.57,2.57,0
100年03月18日,18.28,4.55,2.58,0
100年03月21日,18.26,4.56,2.58,0
100年03月22日,18.41,4.52,2.60,0
100年03月23日,18.45,4.51,2.60,0
100年03月24日,19.25,4.33,2.72,0
100年03月25日,18.85,4.42,2.66,0
100年03月28日,18.45,4.51,2.60,0
100年03月29日,18.62,4.47,2.63,0
100年03月30日,18.56,4.49,2.62,0
100年03月31日,18.72,4.45,2.64,0
100年04月01日,18.54,4.49,2.62,0
100年04月06日,18.79,4.43,2.65,0
100年04月07日,18.72,4.37,2.65,0
100年04月08日,18.54,4.42,2.62,0
100年04月11日,18.19,4.50,2.57,0
100年04月12日,17.65,4.64,2.50,0
100年04月13日,17.88,4.58,2.53,0
100年04月14日,18.05,4.54,2.55,0
100年04月15日,17.90,4.57,2.53,0
100年04月18日,17.45,4.69,2.47,0
100年04月19日,16.91,4.84,2.39,0
100年04月20日,17.43,4.70,2.47,0
100年04月21日,17.53,4.67,2.48,0
100年04月22日,18.05,4.54,2.55,0
100年04月25日,18.33,4.47,2.59,0
100年04月26日,18.25,4.49,2.58,0
100年04月27日,18.21,4.50,2.50,0
100年04月28日,18.54,4.61,2.44,0
100年04月29日,18.26,4.68,2.30,0
100年05月03日,19.90,4.81,2.23,0
100年05月04日,20.53,4.66,2.30,0
100年05月05日,20.19,4.74,2.27,0
100年05月06日,20.48,4.67,2.30,0
100年05月09日,20.34,4.70,2.28,0
100年05月10日,20.00,4.78,2.24,0
100年05月11日,19.81,4.83,2.22,0
100年05月12日,20.02,4.78,2.25,0
100年05月13日,21.25,4.50,2.38,0
100年05月16日,20.91,4.57,2.35,0
100年05月17日,20.67,4.63,2.32,0
100年05月18日,21.06,4.54,2.36,0
100年05月19日,20.50,4.67,2.30,0
100年05月20日,20.19,4.74,2.27,0
100年05月23日,20.24,4.73,2.27,0
100年05月24日,20.10,4.76,2.25,0
100年05月25日,20.19,4.74,2.27,0
100年05月26日,20.14,4.75,2.26,0
100年05月27日,21.54,4.44,2.42,0
100年05月30日,21.97,4.35,2.46,0
100年05月31日,21.92,4.36,2.46,0
100年06月01日,22.12,4.33,2.48,0
100年06月02日,21.92,4.36,2.46,0
100年06月03日,23.23,4.22,2.61,0
100年06月07日,23.08,4.25,2.60,0
100年06月08日,22.68,4.32,2.55,0
100年06月09日,22.56,4.34,2.54,0
100年06月10日,21.95,4.47,2.47,0
100年06月13日,21.60,4.54,2.43,0
100年06月14日,22.12,4.43,2.49,0
100年06月15日,22.32,4.39,2.51,0
100年06月16日,21.67,4.52,2.44,0
100年06月17日,21.01,4.67,2.36,0
100年06月20日,20.02,3.69,2.25,0
100年06月21日,20.10,3.68,2.26,0
100年06月22日,20.42,3.62,2.30,0
100年06月23日,20.20,3.66,2.27,0
100年06月24日,20.07,3.68,2.26,0
100年06月27日,19.90,3.71,2.24,0
100年06月28日,20.30,3.64,2.28,0
100年06月29日,21.40,3.45,2.41,0
100年06月30日,21.40,3.45,2.41,0
100年07月01日,21.31,3.47,2.40,0
100年07月04日,20.84,3.55,2.34,0
100年07月05日,20.54,3.60,2.31,0
100年07月06日,20.47,3.61,2.30,0
100年07月07日,20.81,3.55,2.34,0
100年07月08日,20.37,3.63,2.29,0
100年07月11日,19.78,3.74,2.22,0
100年07月12日,18.60,3.97,2.09,0
100年07月13日,18.18,4.07,2.04,0
100年07月14日,18.47,4.00,2.08,0
100年07月15日,19.21,3.85,2.16,0
100年07月18日,18.60,3.97,2.09,0
100年07月19日,18.60,3.97,2.09,0
100年07月20日,18.99,3.89,2.14,0
100年07月21日,18.77,3.94,2.11,0
100年07月22日,19.01,3.89,2.14,0
100年07月25日,18.77,3.94,2.11,0
100年07月26日,19.16,3.86,2.16,0
100年07月27日,19.36,3.82,2.18,0
100年07月28日,18.92,3.91,2.13,0
100年07月29日,18.37,4.02,2.07,0
100年08月01日,17.09,4.32,1.92,0
100年08月02日,16.38,4.51,1.84,0
100年08月03日,15.79,4.68,1.78,0
100年08月04日,15.59,4.74,1.75,0
100年08月05日,14.51,5.09,1.63,0
100年08月08日,13.50,5.47,1.52,0
100年08月09日,13.42,5.50,1.51,0
100年08月10日,14.36,5.15,1.61,0
100年08月11日,14.11,5.24,1.59,0
100年08月12日,14.29,5.17,1.61,0
100年08月15日,15.27,4.84,1.72,0
100年08月16日,14.95,5.23,1.68,0
100年08月17日,14.64,5.34,1.64,0
100年08月18日,13.96,5.60,1.57,0
100年08月19日,13.02,6.00,1.46,0
100年08月22日,13.23,5.91,1.48,0
100年08月23日,14.14,5.52,1.59,0
100年08月24日,14.27,5.47,1.74,0
100年08月25日,21.41,5.47,1.74,0
100年08月26日,21.72,5.40,1.77,0
100年08月29日,22.11,5.30,1.80,0
100年08月30日,22.34,5.24,1.82,0
100年08月31日,22.73,5.15,1.85,0
100年09月01日,22.23,5.27,1.81,0
100年09月02日,22.27,5.26,1.81,0
100年09月05日,21.52,5.44,1.75,0
100年09月06日,20.90,5.61,1.70,0
100年09月07日,21.88,5.36,1.78,0
100年09月08日,21.64,5.42,1.76,0
100年09月09日,21.72,5.40,1.77,0
100年09月13日,21.21,5.52,1.72,0
100年09月14日,20.31,5.77,1.65,0
100年09月15日,21.48,5.45,1.75,0
100年09月16日,22.97,5.10,1.87,0
100年09月19日,23.52,4.98,1.91,0
100年09月20日,24.18,4.85,1.97,0
100年09月21日,24.22,4.84,1.97,0
100年09月22日,23.67,4.95,1.93,0
100年09月23日,22.70,5.16,1.85,0
100年09月26日,23.28,5.03,1.89,0
100年09月27日,24.06,4.87,1.96,0
100年09月28日,23.36,5.02,1.90,0
100年09月29日,22.85,5.13,1.86,0
100年09月30日,23.28,5.03,1.89,0
100年10月03日,22.73,5.15,1.85,0
100年10月04日,23.16,5.06,1.88,0
100年10月05日,22.89,5.12,1.86,0
100年10月06日,24.18,4.85,1.97,0
100年10月07日,23.59,4.97,1.92,0
100年10月11日,23.83,4.92,1.94,0
100年10月12日,25.08,4.67,2.04,0
100年10月13日,24.77,4.73,2.01,0
100年10月14日,24.38,4.81,1.98,0
100年10月17日,24.38,4.81,1.98,0
100年10月18日,24.69,4.75,2.01,0
100年10月19日,24.34,4.82,1.98,0
100年10月20日,23.75,4.93,1.93,0
100年10月21日,23.75,4.93,1.93,0
100年10月24日,24.14,4.85,1.96,0
100年10月25日,24.10,4.86,1.96,0
100年10月26日,24.14,4.85,1.96,0
100年10月27日,23.75,4.93,1.93,0
100年10月28日,23.13,5.07,1.90,0
100年10月31日,67.20,5.44,1.76,0
100年11月01日,67.20,5.44,1.76,0
100年11月02日,68.41,5.35,1.80,0
100年11月03日,66.59,5.49,1.75,0
100年11月04日,66.95,5.46,1.76,0
100年11月07日,67.80,5.40,1.78,0
100年11月08日,67.56,5.42,1.77,0
100年11月09日,66.59,5.49,1.75,0
