data,volume,price,open,high,low,close,diff,times,result
102/12/20,37618688,3848115676,101.50,103.50,101.50,102.00,-0.50,8353,0
102/12/23,28393645,2950613229,103.00,104.50,103.00,104.00,+2.00,6994,1
102/12/24,14079188,1454251243,104.00,104.00,103.00,103.00,-1.00,3724,0
102/12/25,9789067,1008674401,102.50,103.50,102.50,103.00,0.00,2848,0
102/12/26,6793911,704185262,103.00,104.00,103.00,104.00,+1.00,1135,1
102/12/27,24135217,2507210568,103.50,104.50,103.00,104.50,+0.50,5626,1
102/12/30,44280098,4659244781,104.00,106.00,104.00,106.00,+1.50,10564,1
102/12/31,24484653,2582678065,105.50,106.00,105.00,105.50,-0.50,6632,0
103/01/02,15133724,1578860796,105.00,105.50,103.50,104.50,-1.00,4136,0
103/01/03,41160529,4220062918,103.00,103.00,102.00,102.50,-2.00,8524,0
103/01/06,23729719,2432745661,102.00,103.00,102.00,102.50,0.00,4874,0
103/01/07,18803694,1907188388,102.50,103.00,102.00,102.00,-0.50,5529,0
103/01/08,30933475,3209563219,103.00,104.50,102.50,104.00,+2.00,7305,1
103/01/09,64221769,6522626520,102.50,103.00,100.50,101.00,-3.00,19873,0
103/01/10,36289948,3703540624,102.00,102.50,101.50,102.00,+1.00,7619,1
103/01/13,22080716,2273073754,103.00,103.50,102.50,103.00,+1.00,6282,1
103/01/14,21718294,2237629782,102.50,103.50,102.00,103.50,+0.50,5256,1
103/01/15,54458036,5722578780,104.00,106.00,104.00,105.00,+1.50,15415,1
103/01/16,49601100,5301040094,106.00,107.50,106.00,107.00,+2.00,16279,1
103/01/17,55767194,6014453565,108.00,108.50,107.00,107.50,+0.50,15038,1
103/01/20,24299123,2622482683,107.00,108.50,107.00,107.50,0.00,8533,0
103/01/21,25121036,2695028292,108.50,108.50,106.00,106.50,-1.00,6334,0
103/01/22,28726849,3065077343,106.00,107.50,106.00,107.50,+1.00,7549,1
103/01/23,28308805,3055374935,108.50,108.50,107.50,107.50,0.00,7461,0
103/01/24,34059356,3671261247,107.00,108.50,107.00,108.00,+0.50,8172,1
103/01/27,65271057,6848753986,106.00,106.50,104.00,105.00,-3.00,17118,0
103/02/05,147198405,14922299001,102.00,102.00,100.50,100.50,-4.50,37866,0
103/02/06,73840243,7540841366,101.00,103.00,101.00,102.00,+1.50,16321,1
103/02/07,54185812,5628604948,103.50,104.50,103.00,104.00,+2.00,14854,1
103/02/10,26243521,2725145903,104.00,104.50,103.00,103.00,-1.00,7897,0
103/02/11,23523880,2436083720,104.50,105.00,104.00,104.50,+1.50,6947,1
103/02/12,25305882,2661441170,105.00,105.50,104.50,105.00,+0.50,7138,1
103/02/13,19625423,2067832915,105.00,106.00,105.00,105.00,0.00,5781,0
103/02/14,42737744,4578772108,106.50,107.50,106.50,107.50,+2.50,14580,1
103/02/17,34368373,3714458464,108.00,108.50,107.50,108.50,+1.00,11664,1
103/02/18,22289965,2403989204,108.50,108.50,107.50,108.00,-0.50,5778,0
103/02/19,28886535,3102602484,108.00,108.00,107.00,108.00,0.00,7006,0
