data,volume,price,open,high,low,close,diff,times,result
105/02/02,11088844,620529864,55.50,56.30,55.20,56.30,+0.70,4560,1
105/02/03,8290898,458761890,55.90,56.10,54.80,54.80,-1.50,4074,0
105/02/15,17059196,955373076,55.30,56.40,55.30,56.30,+1.50,5875,1
105/02/16,8595511,484100728,56.30,56.60,56.10,56.50,+0.20,3130,1
105/02/17,11664267,655442704,56.60,56.70,55.80,56.10,-0.40,5227,0
105/02/18,17730777,1007903980,56.80,57.20,56.40,57.00,+0.90,5174,1
105/02/19,4940261,280625667,57.00,57.00,56.50,57.00,0.00,2873,0
105/02/22,6012084,342064833,57.00,57.10,56.70,56.80,-0.20,2724,0
105/02/23,9487310,535819071,56.60,56.60,56.40,56.60,-0.20,3856,0
105/02/24,6953251,389062323,56.60,57.50,55.20,55.20,-1.40,3042,0
105/02/25,9523314,536109479,55.60,56.70,55.60,56.40,+1.20,4178,1
105/02/26,8094831,461656067,56.80,57.30,56.50,57.30,+0.90,3204,1
105/03/01,7286156,416490635,57.20,57.40,56.80,57.20,-0.10,3269,0
105/03/02,7681618,434329387,57.50,57.50,56.30,56.50,-0.70,3504,0
105/03/03,10315409,585501923,56.50,57.10,56.40,56.90,+0.40,4426,1
105/03/04,6340132,359240624,56.90,56.90,56.40,56.70,-0.20,3254,0
105/03/07,7288632,414966829,56.70,57.40,56.50,57.40,+0.70,4043,1
105/03/08,7016714,401636261,57.40,57.50,56.90,57.50,+0.10,4088,1
105/03/09,4265383,243435336,57.40,57.50,56.80,57.00,-0.50,1878,0
105/03/10,5362200,307569702,57.00,57.50,57.00,57.50,+0.50,3226,1
105/03/11,6957783,398220124,57.50,57.50,56.90,57.20,-0.30,3338,0
105/03/14,8996244,512676562,57.20,57.30,56.70,56.80,-0.40,2742,0
105/03/15,9727783,557179534,57.00,57.50,56.90,57.50,+0.70,4191,1
105/03/16,6802531,388471370,57.70,57.70,57.00,57.00,-0.50,3147,0
105/03/17,13663983,796575860,57.50,58.80,57.40,58.10,+1.10,5974,1
