StockName,precision_0,precision_1,precision_accuracy,precision_macro avg,precision_weighted avg,recall_0,recall_1,recall_accuracy,recall_macro avg,recall_weighted avg,f1-score_0,f1-score_1,f1-score_accuracy,f1-score_macro avg,f1-score_weighted avg,support_0,support_1,support_accuracy,support_macro avg,support_weighted avg,Matthew,10F-Score-mean,10F-Score-std
1210,0.8170731707317073,0.874251497005988,0.8459214501510574,0.8456623338688476,0.8474761478443158,0.864516129032258,0.8295454545454546,0.8459214501510574,0.8470307917888563,0.8459214501510574,0.8401253918495297,0.8513119533527697,0.8459214501510574,0.8457186726011496,0.8460735333134881,310.0,352.0,0.8459214501510574,662.0,662.0,0.6926917739199454,0.4729450783914251,0.1266457279722817
1231,0.8445121951219512,0.8832335329341318,0.8640483383685801,0.8638728640280415,0.8647502357307345,0.8765822784810127,0.8526011560693642,0.8640483383685801,0.8645917172751885,0.8640483383685801,0.860248447204969,0.8676470588235294,0.8640483383685801,0.8639477530142492,0.8641153952714673,316.0,346.0,0.8640483383685801,662.0,662.0,0.7284642266187813,0.38332923919276973,0.08807331264306244
2344,0.8626865671641791,0.8746177370030581,0.8685800604229608,0.8686521520836186,0.8686701749987831,0.8757575757575757,0.8614457831325302,0.8685800604229608,0.868601679445053,0.8685800604229608,0.869172932330827,0.8679817905918059,0.8685800604229608,0.8685773614613165,0.8685755621535537,330.0,332.0,0.8685800604229608,662.0,662.0,0.7372538298009849,0.4126128626009583,0.14026112467925217
2449,0.8317757009345794,0.8240469208211144,0.8277945619335347,0.8279113108778469,0.8278646113001221,0.8165137614678899,0.8388059701492537,0.8277945619335347,0.8276598658085719,0.8277945619335347,0.8240740740740741,0.8313609467455622,0.8277945619335347,0.8277175104098181,0.8277615398519419,327.0,335.0,0.8277945619335347,662.0,662.0,0.655571128465396,0.3488109007095911,0.062472094972924753
2603,0.848,0.8989547038327527,0.8700906344410876,0.8734773519163763,0.8722458182889985,0.9164265129682997,0.819047619047619,0.8700906344410876,0.8677370660079593,0.8700906344410876,0.8808864265927978,0.8571428571428572,0.8700906344410876,0.8690146418678275,0.8695885045735662,347.0,315.0,0.8700906344410876,662.0,662.0,0.7411921899592584,0.4299829063828051,0.10170395183009083
2633,0.9057971014492754,0.8356164383561644,0.8697183098591549,0.8707067699027199,0.8724365749789585,0.8389261744966443,0.9037037037037037,0.8697183098591549,0.871314939100174,0.8697183098591549,0.8710801393728224,0.8683274021352313,0.8697183098591549,0.8697037707540268,0.8697716199112914,149.0,135.0,0.8697183098591549,284.0,284.0,0.7420214597717526,0.37710172491508737,0.13823291226689
3596,0.8847262247838616,0.8603174603174604,0.8731117824773413,0.872521842550661,0.8732592674590114,0.8746438746438746,0.8713826366559485,0.8731117824773413,0.8730132556499115,0.8731117824773413,0.8796561604584526,0.865814696485623,0.8731117824773413,0.8727354284720379,0.8731535995890418,351.0,311.0,0.8731117824773413,662.0,662.0,0.7455349362451792,0.3466432503860834,0.0770028615767752
1215,0.8589743589743589,0.8628571428571429,0.8610271903323263,0.8609157509157509,0.861003729402521,0.8481012658227848,0.8728323699421965,0.8610271903323263,0.8604668178824906,0.8610271903323263,0.8535031847133757,0.8678160919540231,0.8610271903323263,0.8606596383336994,0.8609839489207232,316.0,346.0,0.8610271903323263,662.0,662.0,0.7213824291075306,0.3568037484385304,0.05692958060267104
1232,0.850187265917603,0.850632911392405,0.850453172205438,0.850410088655004,0.850440381776403,0.7937062937062938,0.8936170212765957,0.850453172205438,0.8436616574914447,0.850453172205438,0.8209764918625677,0.8715953307392996,0.850453172205438,0.8462859113009337,0.8497267689285061,286.0,376.0,0.850453172205438,662.0,662.0,0.6940389380111257,0.3381257403822272,0.03374076534143498
2345,0.8338983050847457,0.8419618528610354,0.8383685800604229,0.8379300789728905,0.8382589547885397,0.8092105263157895,0.8631284916201117,0.8383685800604229,0.8361695089679506,0.8383685800604229,0.8213689482470784,0.8524137931034482,0.8383685800604229,0.8368913706752633,0.8381575501482573,304.0,358.0,0.8383685800604229,662.0,662.0,0.6740972888650937,0.3505231426147299,0.013786259347739195
