data,volume,price,open,high,low,close,diff,times,result
102/08/05,79511177,1275207275,14.70,18.00,14.50,17.75,X0.00,19186,0
102/08/06,83422580,1561424087,17.80,19.80,17.80,18.85,+1.10,21806,1
102/08/07,38064386,675110903,18.70,18.80,17.15,17.35,-1.50,11758,0
102/08/08,28249336,475555221,17.35,17.35,16.50,16.55,-0.80,8100,0
102/08/09,36551280,584413680,16.55,16.55,15.65,15.90,-0.65,9958,0
102/08/12,22010815,361082150,15.90,16.80,15.90,16.35,+0.45,6429,1
102/08/13,17925078,289955408,16.45,16.55,15.80,16.15,-0.20,4633,0
102/08/14,11758450,190820085,16.10,16.35,16.05,16.20,+0.05,2988,1
102/08/15,8778250,140075100,16.05,16.10,15.80,15.95,-0.25,2559,0
102/08/16,18215962,284341693,15.80,15.90,15.35,15.40,-0.55,5084,0
102/08/19,15936185,245677410,15.30,16.10,14.95,16.00,+0.60,4973,1
102/08/20,11873141,188961327,15.90,16.20,15.70,15.70,-0.30,3615,0
102/08/22,5654000,88320786,15.65,15.80,15.40,15.60,-0.10,1814,0
102/08/23,4317410,67875681,15.75,15.95,15.60,15.60,0.00,1538,0
102/08/26,13018191,205101692,15.65,16.10,15.45,15.70,+0.10,3670,1
102/08/27,10803092,167149875,15.80,15.85,15.20,15.25,-0.45,3639,0
102/08/28,15020785,234897539,15.05,15.90,15.05,15.70,+0.45,4404,1
102/08/29,10840288,169511821,15.80,15.80,15.50,15.55,-0.15,3128,0
102/08/30,38827562,633091014,15.65,16.60,15.65,16.55,+1.00,10195,1
102/09/02,24620931,410678182,16.55,16.95,16.40,16.85,+0.30,6897,1
102/09/03,20298920,334380574,16.95,16.95,16.10,16.40,-0.45,6151,0
102/09/04,18606000,310889440,16.40,16.95,16.40,16.80,+0.40,5134,1
102/09/05,34806191,607261263,16.95,17.70,16.95,17.50,+0.70,9292,1
102/09/06,30542947,538877886,17.50,17.95,17.20,17.90,+0.40,7883,1
102/09/09,28330182,504581925,17.65,18.15,17.40,17.85,-0.05,7227,0
102/09/10,16739842,298825887,18.00,18.00,17.70,17.70,-0.15,4481,0
102/09/11,19298775,338980454,17.45,17.85,17.35,17.60,-0.10,5473,0
102/09/12,11235321,197563047,17.60,17.80,17.40,17.55,-0.05,3241,0
102/09/13,8092199,141778530,17.55,17.65,17.45,17.45,-0.10,2673,0
102/09/14,10169241,175690343,17.45,17.55,17.10,17.10,-0.35,2960,0
102/09/16,9654170,166011056,17.10,17.30,17.10,17.15,+0.05,2733,1
102/09/17,14759668,259572233,17.20,17.75,17.20,17.55,+0.40,4631,1
102/09/18,21002954,375060069,17.70,18.05,17.65,17.85,+0.30,5894,1
102/09/23,14078845,252034076,17.95,18.00,17.80,17.90,+0.05,3861,1
102/09/24,10669864,189864661,17.95,17.95,17.70,17.75,-0.15,2931,0
102/09/25,11789049,207456804,17.75,17.90,17.40,17.65,-0.10,3191,0
102/09/26,7931658,139021015,17.65,17.65,17.40,17.50,-0.15,2546,0
102/09/27,7883700,138553019,17.55,17.80,17.50,17.60,+0.10,2436,1
102/09/30,11217007,195207915,17.50,17.60,17.30,17.55,-0.05,2894,0
102/10/01,7996000,141012846,17.50,17.75,17.45,17.55,0.00,2110,0
102/10/02,8455070,149265339,17.60,17.75,17.55,17.65,+0.10,2380,1
102/10/03,9185004,162626966,17.70,17.80,17.60,17.70,+0.05,2616,1
102/10/04,10052850,176487203,17.70,17.75,17.50,17.55,-0.15,2939,0
102/10/07,8759409,154335283,17.60,17.70,17.55,17.60,+0.05,2477,1
102/10/08,43327268,784195361,17.70,18.45,17.60,18.20,+0.60,9665,1
102/10/09,19763451,355935618,18.15,18.15,17.85,17.95,-0.25,5971,0
102/10/11,13142132,235178099,18.10,18.20,17.80,17.80,-0.15,3631,0
102/10/14,17247158,302348840,17.70,17.70,17.40,17.65,-0.15,4873,0
102/10/15,19162000,342345739,17.70,18.10,17.60,17.85,+0.20,4800,1
102/10/16,22557026,407396868,17.85,18.20,17.85,18.00,+0.15,5135,1
102/10/17,16616688,300700912,18.10,18.25,18.00,18.05,+0.05,4289,1
102/10/18,14234204,254275749,18.05,18.05,17.70,17.90,-0.15,4702,0
102/10/21,15565860,274411235,17.85,17.85,17.55,17.55,-0.35,3870,0
102/10/22,37845550,626369161,17.40,17.40,16.35,16.50,-1.05,10715,0
102/10/23,24000350,402207550,16.25,16.95,16.25,16.80,+0.30,6416,1
102/10/24,9935429,166536626,16.75,16.90,16.55,16.85,+0.05,3101,1
102/10/25,15360291,262094519,16.80,17.15,16.80,17.10,+0.25,3650,1
102/10/28,6505264,110850042,17.10,17.15,16.95,17.10,0.00,2129,0
102/10/29,5614355,94994494,17.05,17.05,16.80,16.85,-0.25,2018,0
102/10/30,20520718,353090432,16.85,17.50,16.85,17.35,+0.50,5303,1
102/10/31,39607824,707504076,17.50,18.30,17.50,17.90,+0.55,9187,1
102/11/01,23180918,410895428,18.00,18.10,17.55,17.70,-0.20,5727,0
102/11/04,10284202,181609121,17.70,17.80,17.55,17.60,-0.10,2880,0
102/11/05,20711178,368801610,17.70,18.00,17.65,17.80,+0.20,5362,1
102/11/06,17170466,304491487,17.80,17.85,17.55,17.80,0.00,4004,0
102/11/07,15348020,272293799,17.80,17.85,17.65,17.85,+0.05,3192,1
102/11/08,58312090,1063701471,18.20,18.60,18.05,18.20,+0.35,11222,1
102/11/11,20929725,376074016,18.20,18.25,17.80,17.95,-0.25,4731,0
