data,volume,price,open,high,low,close,diff,times,result
99/01/04,24167880,699300954,28.60,29.50,28.40,29.05,+0.45,6735,1
99/01/05,36468055,1076537948,29.40,30.10,28.90,29.25,+0.20,9440,1
99/01/06,14409564,417077594,29.40,29.50,28.75,28.75,-0.50,4385,0
99/01/07,16348706,473701144,28.85,29.40,28.50,28.50,-0.25,4567,0
99/01/08,40656266,1204097484,28.75,30.10,28.65,29.70,+1.20,11194,1
99/01/11,43598841,1331864337,29.70,31.20,29.35,30.50,+0.80,11808,1
99/01/12,18675341,561289751,30.50,30.90,29.55,29.80,-0.70,5634,0
99/01/13,15507317,452927493,29.55,29.70,29.00,29.00,-0.80,4356,0
99/01/14,10133717,293811912,29.20,29.40,28.85,28.90,-0.10,3164,0
99/01/15,8527406,247440983,29.15,29.35,28.80,28.90,0.00,2784,0
99/01/18,9296573,270336917,28.55,29.40,28.50,29.00,+0.10,2822,1
99/01/19,17694695,520935100,29.50,29.80,29.00,29.15,+0.15,5358,1
99/01/20,7430599,215104524,29.15,29.50,28.70,28.70,-0.45,2460,0
99/01/21,6183885,175428330,28.70,28.85,28.00,28.00,-0.70,2236,0
99/01/22,6821545,187477551,27.90,27.90,27.30,27.30,-0.70,2522,0
99/01/25,6967299,188296377,26.90,27.45,26.80,26.80,-0.50,2258,0
99/01/26,10205115,263960484,27.00,27.15,24.95,25.10,-1.70,3707,0
99/01/27,5646832,142056550,25.35,25.50,24.80,24.90,-0.20,2100,0
99/01/28,4826215,123447617,25.10,25.90,25.10,25.80,+0.90,1704,1
99/01/29,4484166,113035744,25.20,25.50,24.90,25.25,-0.55,1742,0
99/02/01,3367750,84668286,25.30,25.55,25.00,25.00,-0.25,1240,0
99/02/02,5292177,129540198,25.45,25.45,23.50,24.00,-1.00,1965,0
99/02/03,7053920,170893850,24.15,24.90,23.75,24.90,+0.90,2180,1
99/02/04,5562453,138514463,24.90,25.20,24.55,25.20,+0.30,1541,1
99/02/05,8306775,202030250,24.35,24.80,23.60,24.20,-1.00,2564,0
99/02/06,7790302,188565541,24.70,25.00,23.20,25.00,+0.80,2311,1
99/02/08,6559947,166327910,24.95,26.00,24.50,25.05,+0.05,2431,1
99/02/09,6771910,171607388,25.10,25.80,24.85,25.70,+0.65,2335,1
99/02/10,7101563,184130460,26.40,26.40,25.55,25.55,-0.15,2432,0
99/02/22,2774320,71512223,26.00,26.10,25.50,25.50,-0.05,1186,0
99/02/23,4784584,124083568,25.80,26.10,25.60,25.90,+0.40,1950,1
99/02/24,2422864,62119985,25.70,25.85,25.45,25.45,-0.45,1094,0
99/02/25,2928262,73829923,25.70,25.70,24.90,24.90,-0.55,1313,0
99/02/26,3146650,78455231,25.15,25.40,24.65,24.70,-0.20,1190,0
99/03/01,3510029,88988633,24.80,25.65,24.80,25.50,+0.80,1496,1
99/03/02,2401703,61091947,25.70,25.70,25.25,25.25,-0.25,869,0
99/03/03,10029690,262006419,25.50,26.45,25.30,26.05,+0.80,3345,1
99/03/04,5531728,141939912,26.15,26.25,25.25,25.30,-0.75,2123,0
99/03/05,3392423,87157744,25.50,25.90,25.50,25.60,+0.30,1357,1
99/03/08,4311529,111656514,25.80,26.25,25.60,25.70,+0.10,1706,1
99/03/09,2147425,54986911,25.75,25.80,25.50,25.55,-0.15,891,0
99/03/10,3272770,84278097,25.70,25.95,25.50,25.65,+0.10,1139,1
99/03/11,2509673,64703792,25.75,25.95,25.55,25.55,-0.10,933,0
99/03/12,1724593,44041385,25.80,25.80,25.40,25.45,-0.10,770,0
99/03/15,2422346,61131650,25.50,25.65,25.00,25.00,-0.45,1010,0
99/03/16,1371112,34570320,25.00,25.35,25.00,25.20,+0.20,642,1
99/03/17,2876708,73502421,25.50,25.70,25.35,25.60,+0.40,1194,1
99/03/18,4739549,122550707,25.80,26.10,25.60,25.85,+0.25,1757,1
99/03/19,2649138,68357456,25.90,25.95,25.70,25.80,-0.05,963,0
99/03/22,11755332,307615382,25.70,26.50,25.30,26.10,+0.30,3830,1
99/03/23,7749480,202542553,26.15,26.60,25.65,25.65,-0.45,2363,0
99/03/24,3360266,86753281,26.00,26.05,25.55,25.55,-0.10,1131,0
99/03/25,3810744,97501419,25.55,25.85,25.45,25.50,-0.05,1203,0
99/03/26,3355115,85599814,25.50,25.70,25.35,25.35,-0.15,1237,0
99/03/29,3510445,90165931,25.50,25.85,25.40,25.70,+0.35,1229,1
99/03/30,5828015,151752340,25.85,26.20,25.80,26.00,+0.30,1973,1
99/03/31,23675835,635673576,26.40,27.15,26.35,26.60,+0.60,6903,1
99/04/01,9288537,248508877,26.60,27.10,26.45,26.55,-0.05,3142,0
99/04/02,5223097,138505298,26.90,26.95,26.30,26.30,-0.25,1623,0
99/04/06,3625217,95432842,26.40,26.55,26.10,26.10,-0.20,1363,0
99/04/07,5460397,144845028,26.35,26.70,26.25,26.65,+0.55,1772,1
99/04/08,8463511,226242934,26.70,27.10,26.35,26.40,-0.25,2567,0
99/04/09,3538810,93733368,26.50,26.70,26.35,26.45,+0.05,1196,1
99/04/12,3140229,82551810,26.60,26.70,26.00,26.05,-0.40,1122,0
99/04/13,2637026,68408716,26.05,26.20,25.70,25.70,-0.35,1057,0
99/04/14,1735407,44796566,25.85,26.00,25.70,25.90,+0.20,660,1
99/04/15,17181643,462660319,26.20,27.15,26.20,26.95,+1.05,5102,1
99/04/16,19874370,541976927,26.90,27.85,26.30,27.25,+0.30,6056,1
99/04/19,35737389,987311641,27.25,28.30,26.50,26.50,-0.75,10646,0
99/04/20,10408100,278774164,26.85,27.10,26.45,26.60,+0.10,3421,1
99/04/21,6986604,185522619,26.90,26.95,26.30,26.45,-0.15,2408,0
99/04/22,4464387,118298511,26.40,26.65,26.40,26.45,0.00,1670,0
99/04/23,4259670,112311150,26.60,26.70,26.20,26.20,-0.25,1611,0
99/04/26,3441558,91408446,26.40,26.70,26.40,26.50,+0.30,1304,1
99/04/27,4195838,111533220,26.65,26.85,26.40,26.40,-0.10,1214,0
99/04/28,3773808,98244358,26.00,26.30,25.75,26.00,-0.40,1482,0
99/04/29,3465413,90486946,26.20,26.35,25.90,25.95,-0.05,1323,0
99/04/30,4520889,118984464,26.10,26.70,25.90,26.00,+0.05,1773,1
99/05/03,3726779,95819650,25.90,26.15,25.50,25.60,-0.40,1238,0
99/05/04,4001613,101142516,25.90,25.90,25.05,25.10,-0.50,1556,0
99/05/05,6685159,161343261,24.50,24.55,23.80,23.95,-1.15,2135,0
99/05/06,4485708,105876808,24.00,24.15,23.15,23.20,-0.75,1613,0
99/05/07,5350513,119761599,22.20,23.00,21.65,22.95,-0.25,1989,0
99/05/10,2624160,61633240,23.10,23.80,23.05,23.80,+0.85,1075,1
99/05/11,2994095,70887758,24.00,24.20,23.30,23.35,-0.45,1168,0
99/05/12,2299800,54595764,23.55,24.00,23.35,23.40,+0.05,1026,1
99/05/13,4244705,101928346,23.90,24.25,23.80,23.90,+0.50,1370,1
99/05/14,2216508,53510892,24.20,24.35,23.90,24.00,+0.10,875,1
99/05/17,2239870,52348880,23.60,23.75,23.10,23.10,-0.90,914,0
99/05/18,2312718,54019464,23.30,23.75,23.05,23.10,0.00,927,0
99/05/19,3446790,81102473,24.00,24.00,23.20,23.40,+0.30,1304,1
99/05/20,2508551,58082914,23.60,23.60,22.70,23.00,-0.40,954,0
99/05/21,4145491,90992022,22.00,22.20,21.70,22.00,-1.00,1352,0
99/05/24,2136488,47955529,22.30,22.75,22.10,22.55,+0.55,945,1
99/05/25,4577842,98566781,22.20,22.40,21.00,21.10,-1.45,1598,0
99/05/26,7168957,158008179,21.40,22.55,21.20,22.55,+1.45,2140,1
99/05/27,4515358,101445901,22.55,22.70,21.90,22.50,-0.05,1673,0
99/05/28,6213873,143204195,22.80,23.50,22.75,22.85,+0.35,1987,1
99/05/31,2094745,48455868,22.85,23.35,22.85,23.10,+0.25,809,1
99/06/01,2718349,61748278,23.20,23.20,22.45,22.45,-0.65,943,0
99/06/02,2239124,50039606,22.20,22.70,22.10,22.15,-0.30,805,0
99/06/03,2372157,53810997,22.50,22.80,22.50,22.70,+0.55,870,1
99/06/04,1197582,27098493,22.70,22.75,22.50,22.50,-0.20,425,0
99/06/07,3450029,75008287,21.80,22.05,21.50,21.85,-0.65,1038,0
99/06/08,1699680,37311110,21.70,22.10,21.70,21.90,+0.05,644,1
99/06/09,1961145,42834780,22.20,22.25,21.55,21.60,-0.30,835,0
99/06/10,1252573,27525113,21.70,22.20,21.70,22.10,+0.50,536,1
99/06/11,2495173,55931638,22.70,22.70,22.20,22.20,+0.10,727,1
99/06/14,4148414,94739812,22.50,23.15,22.50,22.95,+0.75,1387,1
99/06/15,4281711,99042132,22.90,23.45,22.80,23.05,+0.10,1700,1
99/06/17,2589559,59803822,23.10,23.40,22.90,23.10,+0.05,929,1
