X,volume,price,open,high,low,close,times,K,D,J,rsi10,rsi5,macd,WR5,WR10,Prediction_Result
2047,7676548,2592094224,338.5,346.0,334.5,337.0,5152,36.86893926,49.21805894,73.91629829,48.11223864,39.10442091,7.4494976,-100.0,-81.96721311,1
2048,12585799,4183385670,341.0,344.5,321.0,323.5,8400,26.13692524,41.52434771,72.29919264,39.59413721,27.45756504,6.860750412,-100.0,-100.0,1
2049,8263068,2754050073,337.0,339.5,325.5,339.5,6059,28.95109658,37.333264,54.09759883,50.92210634,49.04276782,6.307580758,-40.74074074,-58.44155844,0
2050,10585708,3555601220,328.0,341.0,327.0,340.0,6560,31.13873728,35.26842176,43.52779071,51.23645452,49.60508582,5.799309435,-8.333333333,-57.14285714,0
2051,9126980,3057254740,341.5,343.0,330.0,331.0,5643,26.98968778,32.50884377,43.54715573,45.46992571,40.05714187,5.189016396,-54.54545455,-80.51948052,1
2052,12988126,4144889072,328.0,329.0,312.0,320.0,8795,23.22188336,29.4131903,41.79580417,39.49394993,31.23844389,4.359445299,-100.0,-100.0,1
2053,6275448,2029315218,315.0,328.0,315.0,325.5,4269,24.30478498,27.71038853,34.52159561,43.57278276,39.2614999,3.51373568,-72.5,-84.05797101,1
2054,7337344,2353204780,332.0,332.5,317.0,318.5,5521,21.36192015,25.5942324,34.0588569,39.81515662,33.32325458,2.582554818,-100.0,-100.0,1
2055,5086816,1649148200,319.0,326.0,319.0,325.0,3741,26.98637814,26.05828098,24.20208666,44.68741415,42.93983815,1.744433815,-48.0,-71.73913043,1
2056,4855243,1592056447,325.5,330.5,322.5,328.0,3478,34.40117517,28.83924571,17.71538679,46.87102441,47.16062331,1.052463947,0.0,-55.81395349,1
2057,4831038,1591581711,328.0,331.5,326.0,329.5,2729,41.75132108,33.14327083,15.92717034,48.00008306,49.40610547,0.509905829,0.0,-48.8372093,1
2058,11336872,3655616336,329.5,330.5,317.0,319.5,6141,35.89873018,34.06175728,30.38781148,41.52821376,36.87102511,-0.071268444,-90.90909091,-95.34883721,1
2059,5398227,1733270017,325.0,326.0,318.0,320.0,3892,32.53463733,33.5527173,35.58887724,41.95862945,37.81762201,-0.638040816,-95.0,-93.02325581,1
2060,3768594,1206626462,324.0,324.0,318.5,319.0,2769,33.07187204,33.39243554,34.03356256,41.28996394,36.50394855,-1.180575402,-100.0,-96.0,1
2061,3594624,1145588680,320.0,322.0,315.0,319.0,2657,29.66696231,32.15061113,37.11790878,41.28996394,36.50394855,-1.676786885,-100.0,-95.45454545,1
2062,8766504,2723461981,318.5,318.5,307.0,310.0,5677,23.6995435,29.33358859,40.60167877,35.18392232,25.17179596,-2.257719726,-100.0,-100.0,1
2063,5357335,1665111011,311.5,315.0,307.0,313.0,3646,23.96296097,27.54337938,34.70421621,38.51770115,33.43720094,-2.808291764,-70.0,-84.61538462,1
2064,3005338,946411308,315.5,317.0,313.5,314.0,2250,25.49911684,26.86195854,29.58764193,39.65575118,36.25372596,-3.288617263,-55.55555556,-79.48717949,0
2065,6695276,2131424596,315.0,322.0,313.0,320.5,4551,35.36675817,29.69689175,18.35715891,46.70874132,52.0721876,-3.588535008,0.0,-46.15384615,1
2066,6587676,2109013187,323.0,323.0,317.5,320.0,3893,42.01755509,33.80377953,17.3762284,46.25132578,50.90613679,-3.759452695,-4.761904762,-48.71794872,1
2067,4097555,1316904710,323.0,323.0,318.0,322.0,2629,54.32749287,40.64501731,13.28006619,48.47162678,55.67090476,-3.800078472,0.0,0.0,0
2068,4971678,1611594672,322.0,326.5,319.0,324.0,3328,65.27815764,48.85606408,16.01187698,50.71129748,60.29513565,-3.716340154,0.0,0.0,1
2069,3884905,1247808195,324.0,325.5,318.5,318.5,2888,63.17689142,53.62967319,34.53523675,44.81851298,44.85435644,-3.638321528,-100.0,-39.28571429,1
2070,2389488,756471208,319.0,319.5,315.0,315.0,1890,55.79314129,54.35082923,51.4662051,41.44712821,37.51753664,-3.615525746,-100.0,-64.28571429,0
2071,5019062,1561375974,312.5,313.5,310.0,310.0,3541,42.32363265,50.3417637,66.3780258,37.06568169,29.30129441,-3.700069129,-100.0,-100.0,1
2072,10028970,3115230639,313.0,313.0,308.5,311.5,4437,33.77131066,44.81827935,66.91221674,39.18713026,34.46779189,-3.815093889,-89.28571429,-89.28571429,1
2073,3291068,1041189192,313.5,319.0,313.0,319.0,2601,41.95865155,43.86507008,47.67790716,48.69840143,54.44299407,-3.814840506,0.0,-35.71428571,1
2074,9003494,2945547026,319.5,330.5,319.5,329.5,5632,59.79061618,49.17358545,27.93952399,58.65640032,69.8714836,-3.566130138,0.0,0.0,1
2075,4005678,1309186448,330.5,330.5,324.5,325.0,2703,64.86041079,54.40252723,33.48676011,53.73888495,59.50714056,-3.238396495,-23.07692308,-23.07692308,1
2076,5500800,1822798000,329.5,334.0,327.0,331.0,3798,72.65203857,60.48569768,36.1530159,58.80428536,67.27413409,-2.775205476,0.0,0.0,1
2077,3642395,1202086533,331.0,332.0,328.0,331.0,2542,77.84645708,66.27261748,43.12493827,58.80428536,67.27413409,-2.245068382,0.0,0.0,0
2078,3846689,1264655512,329.0,330.0,326.5,330.0,2277,80.00221322,70.84914939,52.54302174,57.53384236,64.31347948,-1.711598898,-16.66666667,-4.761904762,0
2079,5830621,1937420550,331.0,334.5,330.5,332.5,2209,84.10403958,75.26744612,57.5942592,59.91537598,68.47554126,-1.16021897,0.0,0.0,1
2080,3972024,1291982460,329.0,330.5,323.0,324.0,2832,75.94115459,75.49201561,74.59373765,49.52740111,46.39755099,-0.75948553,-100.0,-37.77777778,1
2081,3639873,1172683566,322.5,326.0,320.5,320.5,2847,62.25534337,71.07979153,88.72868785,45.92121778,40.02155055,-0.528290934,-100.0,-57.14285714,1
2082,3938428,1253631998,320.0,322.5,315.0,315.0,2635,41.50356225,61.22104844,100.6560208,40.78766076,31.78490932,-0.502024811,-100.0,-100.0,1
2083,5146049,1623103533,316.0,318.5,312.5,315.0,2531,31.45692029,51.29967239,90.98517659,40.78766076,31.78490932,-0.604436581,-100.0,-100.0,1
2084,4698793,1471989209,311.5,318.0,311.0,312.0,3143,22.38971991,41.66302156,80.20962487,37.98505693,27.36185009,-0.828618182,-100.0,-100.0,1
2085,5656714,1756514428,312.0,313.0,309.0,310.0,3626,16.23366948,33.18657087,67.09237364,36.16285281,24.62093089,-1.147391027,-100.0,-100.0,1
2086,3846807,1200868205,312.0,313.5,310.5,312.0,2384,14.74401495,27.03905223,51.62912679,39.36261282,32.70973403,-1.474217265,-60.0,-91.11111111,1
2087,3055482,946277366,310.0,311.0,308.0,310.5,1953,12.97399739,22.35070061,41.10410707,37.79952207,29.82893021,-1.809530026,-90.0,-97.77777778,0
2088,2955202,914297120,307.0,311.0,307.0,310.0,1758,12.90465074,19.20201732,31.79675049,37.25704657,28.81385544,-2.136437249,-100.0,-100.0,0
2089,10965073,3273899254,305.0,305.5,293.0,296.5,7162,12.13845403,16.84749622,26.26558062,26.12263533,13.70412562,-2.65145427,-100.0,-100.0,0
2090,6511777,1938129379,297.0,302.0,296.0,296.5,4582,12.04710495,15.2473658,21.6478875,26.12263533,13.70412562,-3.251333625,-100.0,-100.0,1
2091,4398790,1299489420,295.0,299.0,292.0,297.0,3321,14.32071147,14.93848102,16.17402012,27.09900415,16.05194505,-3.857568723,-96.42857143,-97.2972973,1
2092,4915252,1475236967,298.5,302.0,298.5,300.0,3372,19.80355124,16.5601711,10.07341081,32.94771341,29.80272701,-4.379352206,-74.07407407,-81.08108108,1
2093,5740591,1760190346,301.0,312.5,301.0,305.0,4377,33.35740625,22.15924948,-0.237064062,41.54548785,47.12476731,-4.731096791,0.0,-45.16129032,0
2094,3870712,1184177660,305.0,309.0,303.0,304.5,2872,41.6181158,28.64553825,2.700383165,40.96764972,45.76946589,-4.955019338,-5.882352941,-48.38709677,1
2095,3724168,1123543900,303.5,306.5,297.0,298.0,2668,37.50150809,31.5975282,19.78956841,34.17124587,31.59448337,-5.17949733,-87.5,-90.32258065,1
2096,9900612,2836080144,295.0,295.0,280.5,281.5,6996,26.04267206,29.74590949,37.15238434,23.35321736,16.25727581,-5.643998698,-100.0,-100.0,1
2097,9758208,2784490196,282.0,288.0,282.0,285.0,5676,22.04928137,27.18036678,37.4425376,28.62559596,25.46704456,-6.165887868,-85.10638298,-87.71929825,1
2098,7374647,2027096778,278.0,279.5,271.0,272.5,4583,15.90434019,23.42169125,38.45639337,22.53560625,17.30886262,-6.881765202,-100.0,-100.0,1
2099,4904871,1362518190,274.5,280.0,274.0,280.0,3345,17.83180912,21.55839721,29.01157338,32.0733597,32.80676397,-7.546360032,-70.58823529,-76.92307692,0
2100,3684846,1015965751,277.0,278.5,273.5,276.0,2643,15.90393701,19.67357714,27.21285741,29.91267856,29.29310715,-8.190590805,-72.0,-89.23076923,1
2101,4540240,1279941160,276.0,285.0,276.0,283.0,3322,20.24117889,19.86277772,19.1059754,37.95831733,42.27600456,-8.657937215,-16.0,-67.69230769,1
2102,3578038,1018138368,281.5,286.0,281.0,285.0,2540,25.77482101,21.83345882,13.95073444,40.11872997,45.69473613,-8.938274841,0.0,-61.53846154,0
2103,1934940,550236400,285.0,286.5,282.5,282.5,1365,27.98133607,23.88275124,15.68558157,38.28560789,41.96650617,-9.106217125,-27.77777778,-68.75,1
2104,3209658,916487509,283.0,287.5,283.0,285.5,2274,38.79311294,28.85287181,8.972389538,41.79611699,48.06797337,-9.126290215,0.0,-49.01960784,0
2105,5334897,1517803064,287.0,288.5,281.0,281.0,4014,44.90969434,34.20514598,12.79604927,38.20984769,40.41884473,-9.103623706,-100.0,-34.61538462,1
2106,3739955,1059742140,283.5,284.5,281.5,284.0,1731,54.70170099,41.03733099,13.70859098,41.86769784,47.14727181,-8.986744811,-33.33333333,-11.53846154,0
2107,4735839,1332397609,282.0,284.0,280.0,280.0,2255,50.9122451,44.32896902,31.16241687,38.52299096,39.93209879,-8.860277458,-100.0,-42.30769231,1
2108,10295269,2807183937,278.5,278.5,271.0,271.5,6856,34.89387769,41.18393858,53.76406036,32.46126801,28.72319559,-8.849848044,-100.0,-100.0,1
2109,18771099,4861250740,270.0,270.0,254.0,255.0,12278,24.2287687,35.53221529,58.13910846,24.29743353,17.36732906,-9.155772958,-100.0,-100.0,1
2110,8034621,2091192065,255.0,264.0,254.0,262.5,5721,24.36507285,31.80983448,46.69935772,32.75350021,32.02584231,-9.503419569,-74.13793103,-75.40983607,1
2111,6743232,1761316480,259.0,263.0,259.0,263.0,4108,24.93903408,29.51956768,38.68063487,33.29986903,32.97699883,-9.829354897,-68.0,-73.7704918,1
2112,8246218,2211411430,263.0,271.5,263.0,267.5,4487,29.66950098,29.56954544,29.36963437,38.26555199,41.77601011,-10.03039799,-24.24242424,-59.01639344,1
2113,6557869,1712969223,263.5,265.0,258.5,260.0,4464,25.57676877,28.23861988,33.56232212,33.67000774,33.0881553,-10.23941884,-60.0,-83.60655738,1
2114,13736789,3475740444,256.0,257.0,250.0,254.0,7555,20.91591348,25.79771775,35.56132629,30.45172939,27.58163933,-10.51487158,-100.0,-100.0,1
