X,data,volume,price,open,high,low,close,diff,times,result,K,D,J,rsi10,rsi5,macd,WR5,WR10,Prediction_Result
2658,109/10/21,49826768,892908382.0,18.05,18.1,17.8,17.255,-0.0999999999999978,10791,1,88.99309802,88.01079576,86.04619125,67.9949523080526,76.44572768528784,0.3480636521344731,-22.22222222222178,-6.060606060605936,1
2659,109/10/22,50550645,898951863.0,17.75,17.95,17.65,17.380000000000003,0.0499999999999971,9878,1,89.41003282,88.47720812,86.6115587,68.58068474660716,77.47194251367404,0.380765430292581,-16.666666666666863,-3.030303030303076,1
2660,109/10/23,158690785,2935431618.0,18.0,18.9,17.9,17.575,0.7000000000000028,29848,1,88.77335522,88.57592382,88.18106101,75.48888087812009,86.9926181028255,0.419728757232996,0.0,0.0,1
2661,109/10/26,285498066,5608684737.0,18.7,20.15,18.7,17.925,1.1999999999999993,57971,0,89.13392763,88.76192509,88.01792,82.67292615513757,93.04186510191454,0.4787628320669083,0.0,0.0,1
2662,109/10/27,101642263,1993139417.0,19.6,20.0,19.3,18.189999999999998,-0.1500000000000021,22248,0,87.29147088,88.27177369,90.2323793,79.47024878615252,86.97457186765757,0.5437978393622785,-7.6923076923078035,-5.660377358490642,1
2663,109/10/28,169937078,3257054922.0,19.7,20.0,18.65,18.355,-0.8499999999999979,33981,1,74.86098059,83.80150932,101.6825668,64.0128217534412,60.2554651935825,0.5943841934832794,-52.63157894736836,-43.4782608695652,1
2664,109/10/29,130293593,2427909827.0,18.45,19.0,18.15,18.5,0.1499999999999985,23171,0,68.1463141,78.58311091,99.45670454,65.3221537114322,62.68312842958801,0.6343010320231575,-70.8333333333335,-39.53488372093026,1
2665,109/10/30,119787035,2273449049.0,19.05,19.4,18.5,18.625,-0.0500000000000007,24917,1,63.04093896,73.40238693,94.12528287,64.46219325508949,61.1881385384454,0.6631944971083367,-90.00000000000021,-46.15384615384628,1
2666,109/11/02,152583818,2946890500.0,19.05,19.7,18.9,18.759999999999998,0.3000000000000007,26408,1,62.69395931,69.83291106,84.11081455,67.30316935172108,66.87615486837232,0.6869388524633516,-52.94117647058828,-30.76923076923085,1
2667,109/11/03,98068221,1886620311.0,19.45,19.55,18.9,18.89,0.0500000000000007,15888,1,63.1293062,67.59837611,76.53651591,67.77545547004542,67.81939139633906,0.7054431754504483,0.0,-28.20512820512825,1
2668,109/11/04,108048050,2114456568.0,19.3,19.95,19.15,19.085,0.5500000000000007,20183,0,70.23435228,68.47703483,64.96239993,72.56965554576425,76.61095740977552,0.7268602015592973,0.0,0.0,1
2669,109/11/05,142684056,2842752565.0,19.85,20.3,19.55,19.275,0.0,26139,1,72.40429687,69.78612218,64.54977279,72.56965554576425,76.61095740977552,0.7473234762297849,0.0,0.0,1
2670,109/11/06,127865487,2570100500.0,19.9,20.4,19.8,19.45,0.5500000000000007,27417,1,80.86212384,73.47812273,58.71012052,76.75429021314328,83.21441029542079,0.7731878667083634,0.0,0.0,1
2671,109/11/09,250436920,5365227567.0,20.7,22.05,20.65,19.639999999999997,1.349999999999998,53377,0,84.2499629,77.06873612,62.70628256,83.53584746516233,90.83552554184205,0.8208579278410942,0.0,0.0,1
2672,109/11/10,353167309,7286110420.0,21.9,22.2,19.55,19.67,-1.75,72664,1,70.98145675,75.039643,83.1560155,58.99463142721222,53.23648183976663,0.8499052883379224,-92.1052631578948,-60.344827586206925,1
2673,109/11/11,271902030,5360000911.0,20.05,20.45,19.05,19.81,0.25,51086,0,62.63628648,70.90519083,87.44299951,60.80412961987206,56.33489135091552,0.8678090881404191,-78.94736842105269,-53.57142857142856,1
2674,109/11/12,156354937,3063892712.0,20.3,20.3,19.2,19.865,-0.6999999999999993,29292,1,47.81813038,63.20950401,93.99225127,53.52875600207428,46.07705761206686,0.8646437695963879,-100.0,-78.57142857142853,0
2675,109/11/13,247574806,4994084610.0,20.25,20.9,19.8,19.985000000000003,0.6000000000000014,43081,1,43.99996571,56.80632458,82.41904231,58.23993189011063,54.58314282247592,0.8560406186002115,-72.72727272727265,-63.99999999999992,1
2676,109/11/16,99760683,2031772313.0,20.4,20.65,20.1,20.115,0.3999999999999986,20993,1,44.67722582,52.76329166,68.93542334,61.12970832877117,59.6723387424651,0.848910807615368,0.0,-48.97959183673469,1
2677,109/11/17,165470224,3461447346.0,20.6,21.3,20.4,20.3,0.6000000000000014,30431,1,51.4779389,52.33484074,54.04864441,65.11307004405158,66.44114044209086,0.8507160242046599,0.0,-27.27272727272718,0
2678,109/11/18,284156714,6237447825.0,21.45,22.5,21.35,20.57,1.3999999999999986,58932,0,67.65195927,57.44054692,37.01772221,72.37833251773391,77.17032162310099,0.8784241389754435,0.0,0.0,1
2679,109/11/19,199767413,4407985573.0,22.35,22.55,21.7,20.785,-0.5500000000000007,42819,1,72.7203538,62.53381588,42.16074003,66.40247591650056,67.06255146252256,0.9101381482674952,-22.91666666666671,-18.33333333333336,1
2680,109/11/20,165711198,3684665022.0,21.8,22.7,21.7,21.005000000000003,0.6000000000000014,32781,1,80.44370619,68.50377931,44.62392557,69.43114619071946,71.88353427420958,0.9501987344971292,0.0,0.0,1
2681,109/11/23,176656463,4099675189.0,23.0,23.45,22.85,21.18,0.8999999999999986,34627,0,86.96247079,74.65667647,50.04508784,73.38923889273931,77.74649043449821,1.0055840305616492,0.0,0.0,1
2682,109/11/24,159191701,3736132394.0,23.85,24.15,23.1,21.5,-0.3000000000000007,37372,1,84.57430713,77.96255336,64.73904582,70.0629010775217,71.76094083859931,1.0605929149214348,-20.00000000000005,-7.5949367088607795,1
2683,109/11/25,248048444,5933140502.0,23.75,24.4,23.45,21.865000000000002,0.7000000000000028,47059,1,85.7306975,80.55193474,70.19440921,73.18264778980593,76.76880767118398,1.1212330004800843,0.0,0.0,1
2684,109/11/26,274435954,6692245543.0,24.3,24.9,24.0,22.380000000000003,0.7999999999999972,53399,1,88.75102056,83.28496335,72.35284892,76.2889584494628,81.31349343003257,1.192431776321034,0.0,0.0,1
