stockID,profit
1210,1.6000000000000085
1231,0.3400000000000176
2344,-24.185
2449,-37.64
2603,-92.12
2633,0.7199999999999989
3596,6.049999999999997
1215,81.02999999999999
1232,6.450000000000017
2345,53.0
2454,1.5
2607,2.070000000000004
2634,-27.230000000000004
3682,8.481999999999998
1216,1.0399999999999778
1434,1.6050000000000004
2379,-0.35000000000002274
2455,11.850000000000023
2609,-88.92999999999998
2637,-66.54999999999998
4904,1.309999999999988
1218,0.980000000000004
1702,1.8950000000000031
2408,15.250000000000014
2459,59.960000000000015
2610,11.309999999999995
3034,1.25
5388,1.4899999999999949
1227,54.029999999999994
2330,6.899999999999977
2412,1.0499999999999972
2468,-12.755
2615,-141.95000000000002
3035,10.69999999999996
1229,0.7700000000000031
2337,1.375000000000007
2439,16.84999999999998
2498,5.239999999999995
2618,-16.41
3045,-96.85000000000002
stockID,profit
1210,14.15999999999999
1231,7.075000000000017
stockID,profit
1210,14.15999999999999
1231,7.8850000000000335
stockID,profit
1210,14.15999999999999
1231,7.575000000000031
stockID,profit
1210,14.240000000000002
1231,7.045000000000016
2344,24.150000000000013
2449,22.059999999999988
2603,123.56000000000003
2633,2.1800000000000033
3596,63.92
1215,90.79
1232,33.04999999999998
2345,471.54999999999995
2454,359.7999999999997
2607,54.315
2634,36.285
3682,-6.422000000000004
1216,-48.02000000000001
1434,10.929999999999982
2379,-95.45000000000005
2455,-4.0499999999999545
2609,251.405
2637,49.959999999999994
4904,-51.63999999999996
1218,9.78500000000001
1702,16.809999999999995
2408,137.08000000000004
2459,12.225000000000009
2610,37.94000000000001
3034,315.3500000000001
5388,34.15000000000005
1227,18.689999999999955
2330,-262.2500000000001
2412,10.75
2468,-8.69
2615,193.77499999999995
3035,0.29999999999998295
1229,-28.65499999999998
2337,26.86999999999999
2439,94.38999999999996
2498,-6.234999999999999
2618,25.81
3045,14.870000000000005
stockID,profit
1210,0.8000000000000043
1231,-9.300000000000011
2344,1.3499999999999943
2449,3.749999999999993
2603,26.549999999999997
2633,-1.1000000000000014
3596,17.499999999999986
1215,81.59999999999998
1232,10.5
2345,303.5
2454,-241.0
2607,30.249999999999993
2634,31.499999999999996
3682,-9.11
1216,-69.39999999999999
1434,0.4499999999999993
2379,-282.5
2455,-104.0
2609,175.65
2637,-6.749999999999986
4904,-64.00000000000001
1218,0.5999999999999943
1702,7.34999999999998
2408,93.4
2459,-2.29999999999999
2610,27.469999999999995
3034,41.0
5388,5.999999999999986
1227,6.699999999999996
2330,-506.0
2412,-3.0
2468,-11.749999999999996
2615,46.69999999999999
3035,-118.10000000000001
1229,-43.55000000000002
2337,35.15000000000003
2439,46.900000000000006
2498,-39.449999999999996
2618,14.900000000000002
3045,-2.6999999999999886
