stockID,profit
1210,53.81
1231,0.17000000000003013
2344,6.034999999999997
2449,5.170000000000002
2603,-91.04
2633,29.984999999999996
3596,5.5
1215,0.44999999999998863
1232,164.85
2345,45.599999999999966
2454,1067.5
2607,-27.60000000000001
2634,0.8399999999999963
3682,8.423
1216,69.41000000000003
1434,1.6799999999999962
2379,563.95
2455,10.700000000000017
2609,33.55
2637,-67.05999999999999
4904,-60.45
1218,27.915000000000003
1702,1.8399999999999963
2408,13.38000000000001
2459,58.53
2610,2.2000000000000064
3034,-21.650000000000034
5388,66.60999999999999
1227,53.91999999999998
2330,2.6000000000000227
2412,0.45000000000000284
2468,0.24999999999999822
2615,-141.45
3035,-19.849999999999994
1229,-1.259999999999998
2337,42.834999999999994
2439,13.46999999999997
2498,1.25
2618,28.43
3045,-96.89
stockID,profit
1210,8.484999999999964
1231,22.46500000000001
stockID,profit
1210,5.945
1231,22.215000000000018
stockID,profit
1210,9.744999999999997
1231,22.710000000000008
stockID,profit
1210,10.305
1231,23.030000000000022
stockID,profit
1210,10.444999999999979
1231,22.880000000000038
2344,46.29499999999999
2449,19.705000000000034
2603,-71.80000000000004
2633,30.68999999999999
3596,33.58000000000001
1215,85.37000000000006
1232,152.49999999999994
2345,-167.99999999999994
2454,814.0
2607,11.295000000000002
2634,4.070000000000004
3682,10.565000000000005
1216,18.679999999999964
1434,-20.46500000000003
2379,133.34999999999997
2455,-21.720000000000013
2609,86.46500000000003
2637,6.025000000000006
4904,-52.97
1218,7.930000000000025
1702,-29.53
2408,61.47999999999996
2459,14.190000000000012
2610,1.681999999999995
3034,173.44999999999993
5388,94.47999999999999
1227,70.15
2330,557.8499999999999
2412,6.099999999999994
2468,3.4950000000000117
2615,122.98999999999992
3035,186.44000000000005
1229,-35.565000000000005
2337,23.64999999999999
2439,174.58999999999992
2498,-8.034999999999997
2618,23.459999999999997
3045,-84.82000000000006
